language,model,layer_index,layer_number_one_based,distance_mode,method,graph,head_index,head_number_one_based,ged_per_node
go,codebert,0,1,legacy,legacy_networkx_optimize_first_candidate,ast,9,10,2.5194457086799704
go,codebert,0,1,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,1.29628332473898
go,codebert,0,1,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,0.3854607344444675
go,codebert,1,2,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,2.4855307664070545
go,codebert,1,2,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,5,6,1.1765050709546399
go,codebert,1,2,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,0.2535956328296473
go,codebert,2,3,legacy,legacy_networkx_optimize_first_candidate,ast,9,10,2.510188578142887
go,codebert,2,3,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,1.3113250327907453
go,codebert,2,3,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,0.7127198408337259
go,codebert,3,4,legacy,legacy_networkx_optimize_first_candidate,ast,1,2,2.428959163573161
go,codebert,3,4,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,2,3,1.2146467972310329
go,codebert,3,4,legacy,legacy_networkx_optimize_first_candidate,dfg,2,3,0.36170921894384955
go,codebert,4,5,legacy,legacy_networkx_optimize_first_candidate,ast,2,3,2.646224236678823
go,codebert,4,5,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,5,6,1.4810905200625997
go,codebert,4,5,legacy,legacy_networkx_optimize_first_candidate,dfg,1,2,0.9345756207260252
go,codebert,5,6,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,2.49165745418966
go,codebert,5,6,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,11,12,1.227641570791023
go,codebert,5,6,legacy,legacy_networkx_optimize_first_candidate,dfg,11,12,0.30692127241536743
go,codebert,6,7,legacy,legacy_networkx_optimize_first_candidate,ast,4,5,2.6210508680823628
go,codebert,6,7,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,1.4406903089990604
go,codebert,6,7,legacy,legacy_networkx_optimize_first_candidate,dfg,11,12,1.1857326973549542
go,codebert,7,8,legacy,legacy_networkx_optimize_first_candidate,ast,6,7,2.62300527447626
go,codebert,7,8,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,1.5139452060546768
go,codebert,7,8,legacy,legacy_networkx_optimize_first_candidate,dfg,1,2,1.1287120424477612
go,codebert,8,9,legacy,legacy_networkx_optimize_first_candidate,ast,0,1,2.560537246815264
go,codebert,8,9,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,8,9,1.170752501245725
go,codebert,8,9,legacy,legacy_networkx_optimize_first_candidate,dfg,8,9,0.36529704568364857
go,codebert,9,10,legacy,legacy_networkx_optimize_first_candidate,ast,4,5,2.429459693379604
go,codebert,9,10,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,3,4,1.2656608205743465
go,codebert,9,10,legacy,legacy_networkx_optimize_first_candidate,dfg,3,4,0.3956275464616098
go,codebert,10,11,legacy,legacy_networkx_optimize_first_candidate,ast,0,1,2.6931218479698065
go,codebert,10,11,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,0,1,1.1450547890805252
go,codebert,10,11,legacy,legacy_networkx_optimize_first_candidate,dfg,7,8,0.30341575481609107
go,codebert,11,12,legacy,legacy_networkx_optimize_first_candidate,ast,2,3,2.7293557568578906
go,codebert,11,12,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,1.1516229120264574
go,codebert,11,12,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,0.23627325246097416
