language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
go,codebert,0,1,ast,6,7,0.29806717836679014,0.24840851280838527,0.3824494748299528
go,codebert,0,1,dfg,7,8,0.1086371598388782,0.06291127985631347,0.5763338138974975
go,codebert,1,2,ast,0,1,0.31587950722658886,0.34084693740687516,0.30024639632647565
go,codebert,1,2,dfg,9,10,0.15825130777381521,0.09689121251071314,0.5339238720157659
go,codebert,2,3,ast,0,1,0.29205482537118205,0.37536011667708713,0.24354827386028757
go,codebert,2,3,dfg,6,7,0.10686433650070865,0.0610212545435681,0.5440663228828456
go,codebert,3,4,ast,1,2,0.3186843938348969,0.5187079856550985,0.23327095448237006
go,codebert,3,4,dfg,4,5,0.10274138113004165,0.05780709896340993,0.582420187124985
go,codebert,4,5,ast,7,8,0.33459598091459936,0.44684041788928996,0.27423585493703484
go,codebert,4,5,dfg,6,7,0.13676855277966093,0.08155660293512883,0.5451049017847144
go,codebert,5,6,ast,8,9,0.35825536665607843,0.37675844987911145,0.3492446485477591
go,codebert,5,6,dfg,6,7,0.13364689873290617,0.0780153465208318,0.6011193899379956
go,codebert,6,7,ast,4,5,0.34388115118780765,0.43496772522129884,0.2892168838149079
go,codebert,6,7,dfg,2,3,0.13342600978406793,0.07862832238156246,0.5654478543660642
go,codebert,7,8,ast,11,12,0.36551867483789,0.4476557570925433,0.31450958544077373
go,codebert,7,8,dfg,9,10,0.07399786957763654,0.041312607916532275,0.47525010033760273
go,codebert,8,9,ast,6,7,0.2894444711978708,0.351173659263116,0.25202613206646146
go,codebert,8,9,dfg,1,2,0.016582382118637235,0.01089577024193485,0.038201676523251175
go,codebert,9,10,ast,9,10,0.24351217850203496,0.40828583533933793,0.1755488863740372
go,codebert,9,10,dfg,6,7,0.05537967103090595,0.04055387978468389,0.11773353259751275
go,codebert,10,11,ast,2,3,0.2176433191050893,0.27637068353717154,0.18427817093086613
go,codebert,10,11,dfg,6,7,0.11157075990071845,0.06720695493740919,0.42316750578551554
go,codebert,11,12,ast,5,6,0.22811327801271208,0.20819530789122973,0.2592479580085248
go,codebert,11,12,dfg,2,3,0.03007444796422372,0.022270856344995135,0.06793023066887449
