language,model,layer_index,layer_number_one_based,distance_mode,method,graph,head_index,head_number_one_based,ged_per_node
java,codebert,0,1,legacy,legacy_networkx_optimize_first_candidate,ast,9,10,3.1448755331815788
java,codebert,0,1,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,1.5443433902388957
java,codebert,0,1,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,0.29530209930508017
java,codebert,1,2,legacy,legacy_networkx_optimize_first_candidate,ast,4,5,3.1902196960841636
java,codebert,1,2,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,5,6,1.4417299759011073
java,codebert,1,2,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,0.18465889535544613
java,codebert,2,3,legacy,legacy_networkx_optimize_first_candidate,ast,9,10,3.1698397197166717
java,codebert,2,3,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,11,12,1.5346977371269064
java,codebert,2,3,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,0.6526742068156025
java,codebert,3,4,legacy,legacy_networkx_optimize_first_candidate,ast,6,7,3.3061739313624585
java,codebert,3,4,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,2,3,1.4669624377645838
java,codebert,3,4,legacy,legacy_networkx_optimize_first_candidate,dfg,2,3,0.2862200655737308
java,codebert,4,5,legacy,legacy_networkx_optimize_first_candidate,ast,2,3,3.1220958428398555
java,codebert,4,5,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,5,6,1.5918446204618082
java,codebert,4,5,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,0.7017391417727049
java,codebert,5,6,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.109607134413715
java,codebert,5,6,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,11,12,1.525513567336075
java,codebert,5,6,legacy,legacy_networkx_optimize_first_candidate,dfg,11,12,0.2777072014526798
java,codebert,6,7,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.242389700056006
java,codebert,6,7,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,1.4480528363733374
java,codebert,6,7,legacy,legacy_networkx_optimize_first_candidate,dfg,11,12,0.8330285740346232
java,codebert,7,8,legacy,legacy_networkx_optimize_first_candidate,ast,6,7,3.2053240441478437
java,codebert,7,8,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,1.543625769577772
java,codebert,7,8,legacy,legacy_networkx_optimize_first_candidate,dfg,7,8,0.8161619535816271
java,codebert,8,9,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.16570129088942
java,codebert,8,9,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,8,9,1.4198668572695103
java,codebert,8,9,legacy,legacy_networkx_optimize_first_candidate,dfg,8,9,0.300686936320132
java,codebert,9,10,legacy,legacy_networkx_optimize_first_candidate,ast,8,9,3.242182515474063
java,codebert,9,10,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,1.5128395848322687
java,codebert,9,10,legacy,legacy_networkx_optimize_first_candidate,dfg,3,4,0.3752171900123123
java,codebert,10,11,legacy,legacy_networkx_optimize_first_candidate,ast,8,9,3.4244655182248898
java,codebert,10,11,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,0,1,1.3511408299620729
java,codebert,10,11,legacy,legacy_networkx_optimize_first_candidate,dfg,7,8,0.3188501656930011
java,codebert,11,12,legacy,legacy_networkx_optimize_first_candidate,ast,2,3,3.488353432828634
java,codebert,11,12,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,1.4265589576822255
java,codebert,11,12,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,0.17752671475678403
