language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
java,codebert,0,1,ast,6,7,0.3428169405931659,0.324990183998824,0.37429968252420037
java,codebert,0,1,dfg,7,8,0.12325068461936729,0.07208729531815508,0.6441859432037561
java,codebert,1,2,ast,0,1,0.30919016966263657,0.38412289362300134,0.26422792912886767
java,codebert,1,2,dfg,9,10,0.15700183356860073,0.09321748882022067,0.595603127198125
java,codebert,2,3,ast,3,4,0.3197539117257788,0.3508440678859874,0.30218020672329193
java,codebert,2,3,dfg,6,7,0.10703036109730459,0.059658893597692476,0.6235172295626827
java,codebert,3,4,ast,9,10,0.3492300449208575,0.37825833529505987,0.33224514944438616
java,codebert,3,4,dfg,4,5,0.10077807426188937,0.055301479800391,0.6910248748555644
java,codebert,4,5,ast,2,3,0.2999423216420038,0.4246889920400272,0.235197622001126
java,codebert,4,5,dfg,6,7,0.12466316556683561,0.07020959676056657,0.673308395158403
java,codebert,5,6,ast,8,9,0.36841173699732,0.45242443144372807,0.3185337116328153
java,codebert,5,6,dfg,6,7,0.15019515190142863,0.08695751648128489,0.679804576501295
java,codebert,6,7,ast,6,7,0.3463061157224253,0.3684061727895993,0.3364877508348664
java,codebert,6,7,dfg,2,3,0.1250886600230168,0.07062363065561468,0.6774810938960082
java,codebert,7,8,ast,11,12,0.33214602692489364,0.48803704870252046,0.2567807463481773
java,codebert,7,8,dfg,9,10,0.07544854301018832,0.04154977614750666,0.5161892453142128
java,codebert,8,9,ast,3,4,0.30619497172071186,0.5910680725014457,0.20970829931880344
java,codebert,8,9,dfg,1,2,0.012090540035176702,0.0076934499424266296,0.032005374604102015
java,codebert,9,10,ast,2,3,0.25956413043325016,0.479313839462632,0.1809072477031165
java,codebert,9,10,dfg,6,7,0.04739716369211109,0.03461002246298117,0.10183852190336055
java,codebert,10,11,ast,2,3,0.16573804217825777,0.25987108072190057,0.12464818554941175
java,codebert,10,11,dfg,6,7,0.11280251374299637,0.066637879797987,0.46395256950809705
java,codebert,11,12,ast,5,6,0.23948424236596183,0.2669595375809801,0.22503295046605845
java,codebert,11,12,dfg,2,3,0.027462591733841482,0.02646044648921217,0.04629272264496809
