language,model,layer_index,layer_number_one_based,distance_mode,method,graph,head_index,head_number_one_based,ged_per_node
javascript,codebert,0,1,legacy,legacy_networkx_optimize_first_candidate,ast,9,10,2.998369081757528
javascript,codebert,0,1,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,1.6938943432177147
javascript,codebert,0,1,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,0.33484547133576403
javascript,codebert,1,2,legacy,legacy_networkx_optimize_first_candidate,ast,4,5,3.0250541212272815
javascript,codebert,1,2,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,5,6,1.6365355380202908
javascript,codebert,1,2,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,0.26586000370222357
javascript,codebert,2,3,legacy,legacy_networkx_optimize_first_candidate,ast,9,10,3.0142999502521053
javascript,codebert,2,3,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,11,12,1.6731121526698665
javascript,codebert,2,3,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,0.696403759390269
javascript,codebert,3,4,legacy,legacy_networkx_optimize_first_candidate,ast,6,7,3.035889658420759
javascript,codebert,3,4,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,2,3,1.7410961347709946
javascript,codebert,3,4,legacy,legacy_networkx_optimize_first_candidate,dfg,2,3,0.43232515861506265
javascript,codebert,4,5,legacy,legacy_networkx_optimize_first_candidate,ast,2,3,2.9964480367267923
javascript,codebert,4,5,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,5,6,1.8193514003270657
javascript,codebert,4,5,legacy,legacy_networkx_optimize_first_candidate,dfg,1,2,0.8620840189662339
javascript,codebert,5,6,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.0015633034401095
javascript,codebert,5,6,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,11,12,1.6774613696790754
javascript,codebert,5,6,legacy,legacy_networkx_optimize_first_candidate,dfg,11,12,0.323422746145755
javascript,codebert,6,7,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.0733385688280674
javascript,codebert,6,7,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,1.602938888841834
javascript,codebert,6,7,legacy,legacy_networkx_optimize_first_candidate,dfg,11,12,0.9328071695726734
javascript,codebert,7,8,legacy,legacy_networkx_optimize_first_candidate,ast,6,7,3.062089814911868
javascript,codebert,7,8,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,1.7023872691228183
javascript,codebert,7,8,legacy,legacy_networkx_optimize_first_candidate,dfg,7,8,0.9016110162568305
javascript,codebert,8,9,legacy,legacy_networkx_optimize_first_candidate,ast,0,1,3.122725162300115
javascript,codebert,8,9,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,8,9,1.6079224767224838
javascript,codebert,8,9,legacy,legacy_networkx_optimize_first_candidate,dfg,8,9,0.35548026034998503
javascript,codebert,9,10,legacy,legacy_networkx_optimize_first_candidate,ast,4,5,3.0172028054344375
javascript,codebert,9,10,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,1.6278854517418022
javascript,codebert,9,10,legacy,legacy_networkx_optimize_first_candidate,dfg,3,4,0.4920391377067987
javascript,codebert,10,11,legacy,legacy_networkx_optimize_first_candidate,ast,0,1,3.211146751285719
javascript,codebert,10,11,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,0,1,1.5188165680449652
javascript,codebert,10,11,legacy,legacy_networkx_optimize_first_candidate,dfg,7,8,0.29363238838307565
javascript,codebert,11,12,legacy,legacy_networkx_optimize_first_candidate,ast,10,11,3.3125582982375126
javascript,codebert,11,12,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,1.6013393175201858
javascript,codebert,11,12,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,0.24218488837371682
