language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
javascript,codebert,0,1,ast,6,7,0.3124604188265849,0.2809207019168704,0.36277838811433255
javascript,codebert,0,1,dfg,7,8,0.1313468771887641,0.0773846117614793,0.5705384742285408
javascript,codebert,1,2,ast,0,1,0.3020818122916441,0.3553609830828926,0.26889930617371766
javascript,codebert,1,2,dfg,9,10,0.13977352465835235,0.08392509214894849,0.5000054438606056
javascript,codebert,2,3,ast,7,8,0.2952400854597218,0.3424831620045129,0.2653747669197567
javascript,codebert,2,3,dfg,6,7,0.10446537182263291,0.058619578603546225,0.5748313665696577
javascript,codebert,3,4,ast,9,10,0.32520203581103413,0.34009412983022536,0.3193940653866131
javascript,codebert,3,4,dfg,4,5,0.09429159296447102,0.052115509994955345,0.5935002106016832
javascript,codebert,4,5,ast,0,1,0.3235141567321374,0.3256078571478263,0.33136859695790655
javascript,codebert,4,5,dfg,9,10,0.11834127125765108,0.06833278478250783,0.586993439567535
javascript,codebert,5,6,ast,8,9,0.34420915324444257,0.40115998568209066,0.308919049004917
javascript,codebert,5,6,dfg,6,7,0.14819924399056747,0.08685050461225781,0.6101556846517976
javascript,codebert,6,7,ast,4,5,0.31582443436721236,0.4437854840276343,0.2504507310150126
javascript,codebert,6,7,dfg,2,3,0.12448617871011025,0.07192975517365852,0.5614453978035565
javascript,codebert,7,8,ast,11,12,0.3387527194605143,0.4701439957696702,0.26998538370547837
javascript,codebert,7,8,dfg,9,10,0.07134358154821864,0.039901169455741715,0.412443337600478
javascript,codebert,8,9,ast,6,7,0.3077983571753465,0.459688252049835,0.23651331695112227
javascript,codebert,8,9,dfg,1,2,0.018747295997238147,0.012367620435872256,0.044157205417460016
javascript,codebert,9,10,ast,2,3,0.28004337641046473,0.4668005781191716,0.20395347610694198
javascript,codebert,9,10,dfg,6,7,0.03532336417450232,0.02535959372306245,0.07404879030494362
javascript,codebert,10,11,ast,2,3,0.2062426086837612,0.2855101588201339,0.16640799002699586
javascript,codebert,10,11,dfg,7,8,0.11546026745402514,0.1537934692468552,0.11529460388591947
javascript,codebert,11,12,ast,5,6,0.24160531129021623,0.24747757232201775,0.24375380308905364
javascript,codebert,11,12,dfg,2,3,0.021479015786160568,0.02239528218835126,0.027628881253871033
