layer_index,layer_number_one_based,graph,metric,pilot,reference,difference,absolute_difference
0,1,ast,fscore,0.3370487154730552,0.3371454157778587,-9.670030480352088e-05,9.670030480352088e-05
1,2,ast,fscore,0.30651687604824845,0.3066018844588872,-8.500841063874276e-05,8.500841063874276e-05
2,3,ast,fscore,0.32272716117171873,0.3227321374266964,-4.976254977639982e-06,4.976254977639982e-06
3,4,ast,fscore,0.3471149928514294,0.34720779781463595,-9.280496320657194e-05,9.280496320657194e-05
4,5,ast,fscore,0.3502114459166444,0.35019440027923526,1.7045637409118797e-05,1.7045637409118797e-05
5,6,ast,fscore,0.35867274587810066,0.3586873510102366,-1.460513213591419e-05,1.460513213591419e-05
6,7,ast,fscore,0.3263822458633762,0.32645843612154535,-7.619025816912872e-05,7.619025816912872e-05
7,8,ast,fscore,0.3357219817462766,0.33572670930152915,-4.72755525254831e-06,4.72755525254831e-06
8,9,ast,fscore,0.34513529595608294,0.34506254920464946,7.274675143348341e-05,7.274675143348341e-05
9,10,ast,fscore,0.2746033609567392,0.2745489251349334,5.4435821805809415e-05,5.4435821805809415e-05
10,11,ast,fscore,0.21231783834800175,0.21231673806871088,1.100279290872086e-06,1.100279290872086e-06
11,12,ast,fscore,0.2600278177754301,0.2600076830242034,2.0134751226696945e-05,2.0134751226696945e-05
0,1,ast,precision,0.3234238372459955,0.32355960653254273,-0.0001357692865472382,0.0001357692865472382
1,2,ast,precision,0.38182149014717365,0.3819920826674972,-0.00017059252032353145,0.00017059252032353145
2,3,ast,precision,0.39911368984441714,0.39919444798967774,-8.075814526059544e-05,8.075814526059544e-05
3,4,ast,precision,0.3895674728711393,0.38972998109727663,-0.00016250822613733673,0.00016250822613733673
4,5,ast,precision,0.3722048169404009,0.37225104167660533,-4.622473620441436e-05,4.622473620441436e-05
5,6,ast,precision,0.45372465172710813,0.4538239492711967,-9.929754408855018e-05,9.929754408855018e-05
6,7,ast,precision,0.3516444647248561,0.3517762454530035,-0.0001317807281474015,0.0001317807281474015
7,8,ast,precision,0.4958402467798479,0.4959519595991614,-0.00011171281931349197,0.00011171281931349197
8,9,ast,precision,0.5589551130593317,0.5589768335414942,-2.172048216253497e-05,2.172048216253497e-05
9,10,ast,precision,0.4759961860273047,0.47602823177889764,-3.20457515929351e-05,3.20457515929351e-05
10,11,ast,precision,0.3342964559929734,0.334377155299906,-8.069930693260785e-05,8.069930693260785e-05
11,12,ast,precision,0.2787732416137151,0.27880250651964217,-2.9264905927084417e-05,2.9264905927084417e-05
0,1,ast,recall,0.3690029008314449,0.36903514392346787,-3.2243092022987696e-05,3.2243092022987696e-05
1,2,ast,recall,0.2653164523996115,0.26534518737473917,-2.8734975127675533e-05,2.8734975127675533e-05
2,3,ast,recall,0.27986338306196806,0.27981716755768327,4.6215504284796705e-05,4.6215504284796705e-05
3,4,ast,recall,0.324897662749245,0.3249279842582293,-3.0321508984298973e-05,3.0321508984298973e-05
4,5,ast,recall,0.3490204295177299,0.34893443617401504,8.59933437148408e-05,8.59933437148408e-05
5,6,ast,recall,0.30726410398421616,0.3072214005265426,4.2703457673543e-05,4.2703457673543e-05
6,7,ast,recall,0.31799593916350055,0.3180111859811035,-1.52468176029541e-05,1.52468176029541e-05
7,8,ast,recall,0.26150786659761405,0.2614709275705013,3.6939027112770084e-05,3.6939027112770084e-05
8,9,ast,recall,0.25699388682999336,0.25689856615262235,9.532067737100247e-05,9.532067737100247e-05
9,10,ast,recall,0.19793393259341455,0.1978661772247372,6.775536867734133e-05,6.775536867734133e-05
10,11,ast,recall,0.1612212123444604,0.16119514768600499,2.6064658455421386e-05,2.6064658455421386e-05
11,12,ast,recall,0.25404830405707435,0.2539749393392635,7.336471781083098e-05,7.336471781083098e-05
0,1,dfg,fscore,0.17589250655274855,0.17575137881463496,0.00014112773811358892,0.00014112773811358892
1,2,dfg,fscore,0.16812980054292767,0.16820724784154698,-7.744729861930422e-05,7.744729861930422e-05
2,3,dfg,fscore,0.13579790977947762,0.1358491661293638,-5.125634988617511e-05,5.125634988617511e-05
3,4,dfg,fscore,0.13623505703731867,0.1362197776462825,1.5279391036154832e-05,1.5279391036154832e-05
4,5,dfg,fscore,0.1556914630281272,0.15562904177671574,6.242125141145416e-05,6.242125141145416e-05
5,6,dfg,fscore,0.20635467681605452,0.20630465801558512,5.0018800469397995e-05,5.0018800469397995e-05
6,7,dfg,fscore,0.1822113468376499,0.1822169004511603,-5.5536135104006235e-06,5.5536135104006235e-06
7,8,dfg,fscore,0.1077641912821409,0.10776271543715638,1.4758449845275745e-06,1.4758449845275745e-06
8,9,dfg,fscore,0.02005566319842428,0.020058978511518454,-3.315313094175848e-06,3.315313094175848e-06
9,10,dfg,fscore,0.0562444300351405,0.05628020962846028,-3.5779593319781866e-05,3.5779593319781866e-05
10,11,dfg,fscore,0.13160809265440845,0.13156868178161815,3.9410872790301976e-05,3.9410872790301976e-05
11,12,dfg,fscore,0.08609454326736325,0.08617101510632882,-7.647183896557219e-05,7.647183896557219e-05
0,1,dfg,precision,0.11316484807323768,0.11303798567083342,0.00012686240240425417,0.00012686240240425417
1,2,dfg,precision,0.1065676554556184,0.10661364094289634,-4.598548727793861e-05,4.598548727793861e-05
2,3,dfg,precision,0.084058435065134,0.08407915651594641,-2.0721450812416498e-05,2.0721450812416498e-05
3,4,dfg,precision,0.07923947273791014,0.07922622293760284,1.3249800307299497e-05,1.3249800307299497e-05
4,5,dfg,precision,0.09693278549642868,0.09687843513974684,5.43503566818454e-05,5.43503566818454e-05
5,6,dfg,precision,0.13210589007610563,0.13205452340745716,5.136666864846706e-05,5.136666864846706e-05
6,7,dfg,precision,0.1140668892263245,0.11406016241206117,6.7268142633358785e-06,6.7268142633358785e-06
7,8,dfg,precision,0.06433784289457398,0.06432757710590528,1.0265788668695208e-05,1.0265788668695208e-05
8,9,dfg,precision,0.014332106420725504,0.01433179733300821,3.0908771729391826e-07,3.0908771729391826e-07
9,10,dfg,precision,0.05039371803097362,0.050405784531406046,-1.2066500432429683e-05,1.2066500432429683e-05
10,11,dfg,precision,0.08328431113129907,0.08324530644443336,3.9004686865712346e-05,3.9004686865712346e-05
11,12,dfg,precision,0.07902457761844542,0.07904278591427416,-1.820829582874217e-05,1.820829582874217e-05
0,1,dfg,recall,0.5178085472939233,0.518249363662074,-0.00044081636815063163,0.00044081636815063163
1,2,dfg,recall,0.45904236393779185,0.4593716582979262,-0.00032929436013434676,0.00032929436013434676
2,3,dfg,recall,0.4039027817936235,0.4043559654187001,-0.00045318362507662524,0.00045318362507662524
3,4,dfg,recall,0.5549620845215717,0.5552798524285767,-0.00031776790700499546,0.00031776790700499546
4,5,dfg,recall,0.5135246976334193,0.5140160070527391,-0.0004913094193197409,0.0004913094193197409
5,6,dfg,recall,0.5484787288841967,0.5488207691648579,-0.0003420402806612044,0.0003420402806612044
6,7,dfg,recall,0.5301215693152679,0.5305292637147587,-0.0004076943994908433,0.0004076943994908433
7,8,dfg,recall,0.38495705307621064,0.3853306806857415,-0.0003736276095308577,0.0003736276095308577
8,9,dfg,recall,0.03619825292196416,0.03621988824116634,-2.1635319202184533e-05,2.1635319202184533e-05
9,10,dfg,recall,0.07785396042080352,0.07794593836690196,-9.197794609844268e-05,9.197794609844268e-05
10,11,dfg,recall,0.37335567860468744,0.373611558544627,-0.000255879939939585,0.000255879939939585
11,12,dfg,recall,0.1205001250690262,0.12068825953325338,-0.00018813446422717706,0.00018813446422717706
