language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
python,codebert,0,1,ast,6,7,0.3370487154730552,0.3234238372459955,0.3690029008314449
python,codebert,0,1,dfg,7,8,0.17589250655274855,0.11316484807323768,0.5178085472939233
python,codebert,1,2,ast,0,1,0.30651687604824845,0.38182149014717365,0.2653164523996115
python,codebert,1,2,dfg,9,10,0.16812980054292767,0.1065676554556184,0.45904236393779185
python,codebert,2,3,ast,7,8,0.32272716117171873,0.39911368984441714,0.27986338306196806
python,codebert,2,3,dfg,4,5,0.13579790977947762,0.084058435065134,0.4039027817936235
python,codebert,3,4,ast,9,10,0.3471149928514294,0.3895674728711393,0.324897662749245
python,codebert,3,4,dfg,4,5,0.13623505703731867,0.07923947273791014,0.5549620845215717
python,codebert,4,5,ast,0,1,0.3502114459166444,0.3722048169404009,0.3490204295177299
python,codebert,4,5,dfg,9,10,0.1556914630281272,0.09693278549642868,0.5135246976334193
python,codebert,5,6,ast,8,9,0.35867274587810066,0.45372465172710813,0.30726410398421616
python,codebert,5,6,dfg,6,7,0.20635467681605452,0.13210589007610563,0.5484787288841967
python,codebert,6,7,ast,6,7,0.3263822458633762,0.3516444647248561,0.31799593916350055
python,codebert,6,7,dfg,2,3,0.1822113468376499,0.1140668892263245,0.5301215693152679
python,codebert,7,8,ast,11,12,0.3357219817462766,0.4958402467798479,0.26150786659761405
python,codebert,7,8,dfg,9,10,0.1077641912821409,0.06433784289457398,0.38495705307621064
python,codebert,8,9,ast,6,7,0.34513529595608294,0.5589551130593317,0.25699388682999336
python,codebert,8,9,dfg,1,2,0.02005566319842428,0.014332106420725504,0.03619825292196416
python,codebert,9,10,ast,2,3,0.2746033609567392,0.4759961860273047,0.19793393259341455
python,codebert,9,10,dfg,6,7,0.0562444300351405,0.05039371803097362,0.07785396042080352
python,codebert,10,11,ast,2,3,0.21231783834800175,0.3342964559929734,0.1612212123444604
python,codebert,10,11,dfg,6,7,0.13160809265440845,0.08328431113129907,0.37335567860468744
python,codebert,11,12,ast,5,6,0.2600278177754301,0.2787732416137151,0.25404830405707435
python,codebert,11,12,dfg,2,3,0.08609454326736325,0.07902457761844542,0.1205001250690262
