language,model,layer_index,layer_number_one_based,distance_mode,method,graph,head_index,head_number_one_based,ged_per_node
go,codet5,0,1,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.046936938343552
go,codet5,0,1,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,2.821178050802838
go,codet5,0,1,legacy,legacy_networkx_optimize_first_candidate,dfg,7,8,2.4263149877459407
go,codet5,1,2,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.023734183044437
go,codet5,1,2,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,3,4,2.0148089020723994
go,codet5,1,2,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,1.2805714055009634
go,codet5,2,3,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,2.93880967870453
go,codet5,2,3,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,1.8839535963911025
go,codet5,2,3,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,0.9365775173791825
go,codet5,3,4,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,2.9609354965815147
go,codet5,3,4,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,3,4,2.493880034976967
go,codet5,3,4,legacy,legacy_networkx_optimize_first_candidate,dfg,0,1,1.5616941054447204
go,codet5,4,5,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.1622929511407856
go,codet5,4,5,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,8,9,2.3639273203034104
go,codet5,4,5,legacy,legacy_networkx_optimize_first_candidate,dfg,8,9,1.5576057817880558
go,codet5,5,6,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.2345555977265223
go,codet5,5,6,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,2.2011540018891385
go,codet5,5,6,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,1.4490054122692946
go,codet5,6,7,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.38757602898259
go,codet5,6,7,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,11,12,2.5922933830438506
go,codet5,6,7,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,1.7036393671971544
go,codet5,7,8,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,2.935117874226701
go,codet5,7,8,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,6,7,2.1260319845753854
go,codet5,7,8,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,1.380133210964556
go,codet5,8,9,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,2.841452526187295
go,codet5,8,9,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,2.210263844338312
go,codet5,8,9,legacy,legacy_networkx_optimize_first_candidate,dfg,7,8,1.7123279275139454
go,codet5,9,10,legacy,legacy_networkx_optimize_first_candidate,ast,2,3,3.356690184810276
go,codet5,9,10,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,2,3,2.3983882307882904
go,codet5,9,10,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,1.7504416152771873
go,codet5,10,11,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,2.953107027812705
go,codet5,10,11,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,2,3,2.2445749471259218
go,codet5,10,11,legacy,legacy_networkx_optimize_first_candidate,dfg,2,3,1.3747605602091557
go,codet5,11,12,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.3841652770488677
go,codet5,11,12,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,3,4,2.882871139115132
go,codet5,11,12,legacy,legacy_networkx_optimize_first_candidate,dfg,3,4,2.282991091254161
