language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
go,codet5,0,1,ast,7,8,0.3366265696144192,0.36530583147914036,0.3177977362696216
go,codet5,0,1,dfg,4,5,0.07011681100811501,0.0396558075209076,0.5862120792864007
go,codet5,1,2,ast,7,8,0.3326013020099881,0.39475574093478905,0.29212624316698527
go,codet5,1,2,dfg,4,5,0.10891953124807961,0.06366036160222152,0.517673207262526
go,codet5,2,3,ast,7,8,0.30518007216052007,0.42930316278813857,0.24046776942793488
go,codet5,2,3,dfg,0,1,0.14162970162041758,0.08623130196450544,0.5682546798301515
go,codet5,3,4,ast,7,8,0.3572448748781958,0.42457010521510435,0.31385423053681705
go,codet5,3,4,dfg,0,1,0.13245227265777823,0.07740297323629756,0.5898517434465166
go,codet5,4,5,ast,7,8,0.3415080416056478,0.38986841984078335,0.30979322733334
go,codet5,4,5,dfg,4,5,0.10279727877622467,0.07304572520738606,0.45866095523149775
go,codet5,5,6,ast,7,8,0.34015522253739183,0.3752328848862683,0.3185075575724543
go,codet5,5,6,dfg,0,1,0.08031686035248686,0.04654924035742748,0.47217258796284334
go,codet5,6,7,ast,7,8,0.330589847001856,0.35755062189770154,0.3137892052056257
go,codet5,6,7,dfg,0,1,0.10506205158339597,0.06000638434726261,0.5462567591590834
go,codet5,7,8,ast,7,8,0.328319458681952,0.4253778558151985,0.27248776655474405
go,codet5,7,8,dfg,5,6,0.08618168406683047,0.05219739811235962,0.34437063758720804
go,codet5,8,9,ast,3,4,0.3315313116692314,0.4354736495464705,0.27198738076515366
go,codet5,8,9,dfg,5,6,0.1072189555031658,0.060813204341758395,0.5921607290546703
go,codet5,9,10,ast,7,8,0.3243259543225491,0.35507478364040845,0.304684368593314
go,codet5,9,10,dfg,5,6,0.11080088295495114,0.06322144749082638,0.5844782262599191
go,codet5,10,11,ast,3,4,0.2732947829083445,0.3776261600387279,0.217781748073754
go,codet5,10,11,dfg,2,3,0.11510164259564273,0.06766807884491252,0.49126337538512915
go,codet5,11,12,ast,7,8,0.299263311805752,0.3058928691095525,0.30090004124333375
go,codet5,11,12,dfg,6,7,0.04893924765084193,0.026477932209073022,0.5063181769132002
