x,y,role,token
94.54340362548828,-142.4449920654297,func,func
77.20258331298828,16.285707473754883,identifier,New
-133.0569610595703,-74.10138702392578,(,(
-50.73410415649414,45.40166473388672,identifier,opts
49.63650894165039,-2.980872869491577,identifier,Options
-144.05364990234375,-16.715404510498047,),)
-156.79461669921875,-78.23123931884766,(,(
38.009361267089844,49.955387115478516,identifier,genny
-37.7586555480957,156.19137573242188,.,.
42.0451774597168,50.92948913574219,identifier,Generator
42.703941345214844,85.3693618774414,",",","
148.29612731933594,44.20602798461914,identifier,error
-125.6015625,-16.201648712158203,),)
-130.5779571533203,82.38542938232422,{,{
-0.8826277852058411,44.678802490234375,identifier,g
-75.79828643798828,-135.04791259765625,:=,:=
38.29908752441406,49.830657958984375,identifier,genny
-18.947629928588867,168.33763122558594,.,.
76.48473358154297,15.268755912780762,identifier,New
-22.189332962036133,-60.34516906738281,(,(
-111.15377044677734,-1.7365351915359497,),)
-16.286264419555664,-145.865478515625,if,if
172.52850341796875,-57.54641342163086,identifier,err
-68.634521484375,-148.41537475585938,:=,:=
-49.96098327636719,44.58538055419922,identifier,opts
-16.766616821289062,166.2393798828125,.,.
66.61231231689453,5.729650020599365,identifier,Validate
-23.844192504882812,-59.39271545410156,(,(
-109.91856384277344,-4.729969024658203,),)
165.06430053710938,-47.36764144897461,identifier,err
115.5618667602539,-73.79083251953125,!=,!=
-106.19998931884766,104.5154800415039,{,{
39.84568405151367,-168.48580932617188,return,return
-0.7916491627693176,45.52137756347656,identifier,g
60.52391815185547,-55.215728759765625,",",","
181.8115692138672,-43.89188003540039,identifier,err
-72.34231567382812,-75.6844711303711,},}
-2.040212869644165,45.998775482177734,identifier,g
-10.6532564163208,164.19900512695312,.,.
42.456016540527344,17.388973236083984,identifier,Box
-2.577692985534668,-67.58697509765625,(,(
42.67314529418945,20.504026412963867,identifier,packr
-19.446767807006836,168.60177612304688,.,.
76.609130859375,15.078408241271973,identifier,New
-9.827890396118164,-88.03445434570312,(,(
112.23175048828125,101.62504577636719,"""",""""
136.57412719726562,120.37643432617188,"""",""""
50.45517349243164,-19.837121963500977,",",","
116.11936950683594,104.91062927246094,"""",""""
141.81910705566406,119.36561584472656,"""",""""
-78.61554718017578,4.239938735961914,),)
-107.64569091796875,14.327527046203613,),)
66.55034637451172,94.03124237060547,identifier,ctx
-79.21136474609375,-143.90499877929688,:=,:=
40.23875045776367,45.405799865722656,identifier,plush
-19.235830307006836,167.19984436035156,.,.
64.36178588867188,86.17427062988281,identifier,NewContext
-23.448715209960938,-58.351715087890625,(,(
-109.35607147216797,1.0863384008407593,),)
65.69144439697266,93.4842758178711,identifier,ctx
-10.031994819641113,166.2476043701172,.,.
75.89916229248047,-13.81363296508789,identifier,Set
-7.851906776428223,-85.2228012084961,(,(
112.0321044921875,101.5305404663086,"""",""""
138.6144256591797,122.20162963867188,"""",""""
45.17099380493164,-25.784656524658203,",",","
-49.805660247802734,44.53738021850586,identifier,opts
-23.71744155883789,145.7516326904297,.,.
11.866679191589355,47.854209899902344,identifier,App
-103.35650634765625,15.692394256591797,),)
-2.0636606216430664,46.055606842041016,identifier,g
-10.090625762939453,164.86358642578125,.,.
57.97695541381836,4.220366477966309,identifier,Transformer
-3.1970555782318115,-71.05370330810547,(,(
40.20429611206055,45.38932800292969,identifier,plushgen
-22.40350341796875,162.00518798828125,.,.
57.9780158996582,4.162182331085205,identifier,Transformer
-17.02889633178711,-75.94290161132812,(,(
65.5901107788086,91.8742904663086,identifier,ctx
-82.47103118896484,4.448065757751465,),)
-102.18603515625,18.04833221435547,),)
-2.1820783615112305,46.090354919433594,identifier,g
-9.938176155090332,164.88731384277344,.,.
57.981407165527344,4.139583110809326,identifier,Transformer
-3.329859495162964,-71.24897003173828,(,(
38.49726104736328,49.76642990112305,identifier,genny
-22.36998748779297,161.86175537109375,.,.
41.11533737182617,17.546493530273438,identifier,Dot
-28.976760864257812,-56.158416748046875,(,(
-106.19384765625,-8.462723731994629,),)
-99.95012664794922,17.767578125,),)
33.38050079345703,-182.43826293945312,return,return
-0.44944268465042114,46.20320129394531,identifier,g
52.44046401977539,-53.07725524902344,",",","
-187.61788940429688,-43.38778305053711,},}
84.95458984375,-136.67327880859375,func,func
-128.94618225097656,-58.80503463745117,(,(
13.556035995483398,36.36128234863281,identifier,jb
51.028221130371094,34.200340270996094,identifier,Build
-165.36892700195312,13.695180892944336,),)
29.23348617553711,19.041940689086914,identifier,BuildID
-136.65823364257812,-82.98925018310547,(,(
-132.6956329345703,-13.227606773376465,),)
109.6615219116211,37.39651107788086,identifier,string
-133.7762451171875,78.45556640625,{,{
28.68714141845703,19.060016632080078,identifier,buildID
111.90283203125,41.38221740722656,identifier,string
29.824275970458984,23.91197967529297,identifier,hasProwJobID
-82.84879302978516,-141.75735473632812,:=,:=
2.2228946685791016,-134.4130096435547,for,for
62.5457878112793,-92.59896850585938,identifier,_
66.61996459960938,-80.83089447021484,",",","
13.507615089416504,25.80024528503418,identifier,action
-78.44795989990234,-156.09341430664062,:=,:=
13.552579879760742,36.36257553100586,identifier,jb
-20.040363311767578,155.6296844482422,.,.
13.709054946899414,26.27069091796875,identifier,Actions
-120.34373474121094,93.16944122314453,{,{
1.587043285369873,-134.1559295654297,for,for
63.092864990234375,-92.4322280883789,identifier,_
67.104248046875,-80.85472869873047,",",","
-9.810832977294922,41.33207702636719,identifier,p
-77.9544906616211,-156.2884979248047,:=,:=
13.45949935913086,25.781864166259766,identifier,action
-20.002347946166992,155.3876953125,.,.
5.474991321563721,15.07104206085205,identifier,Parameters
-120.53059387207031,93.88680267333984,{,{
29.757246017456055,23.947477340698242,identifier,hasProwJobID
94.70197296142578,-20.336950302124023,=,=
29.823890686035156,23.99057960510254,identifier,hasProwJobID
-10.12229061126709,43.809417724609375,identifier,p
-19.31505584716797,150.7119598388672,.,.
12.486010551452637,-1.8395252227783203,identifier,Name
103.62481689453125,-52.08631134033203,==,==
30.640501022338867,24.327260971069336,identifier,prowJobID
-12.442975997924805,-151.91769409179688,if,if
-10.144956588745117,43.8189582824707,identifier,p
-19.29387664794922,150.70216369628906,.,.
12.810613632202148,-1.5831879377365112,identifier,Name
103.7464828491211,-52.38542556762695,==,==
29.04422950744629,19.257843017578125,identifier,statusBuildID
-116.6874771118164,94.9078140258789,{,{
-36.96874237060547,6.2568745613098145,identifier,value
70.23402404785156,-73.79393005371094,",",","
162.63290405273438,-60.030704498291016,identifier,ok
-71.21593475341797,-146.77110290527344,:=,:=
-10.276206016540527,43.878868103027344,identifier,p
-15.785682678222656,156.92916870117188,.,.
-34.27262496948242,5.334297180175781,identifier,Value
-0.0535615012049675,166.67282104492188,.,.
8.701140403747559,-72.95512390136719,(,(
111.85041809082031,43.19190216064453,identifier,string
-100.58426666259766,5.038018703460693,),)
-4.779430389404297,-152.4219970703125,if,if
160.84410095214844,-58.94047164916992,identifier,ok
-111.36070251464844,100.55882263183594,{,{
65.07868957519531,-28.091039657592773,identifier,logrus
-19.75481605529785,180.98529052734375,.,.
97.2524642944336,73.09980773925781,identifier,Errorf
-5.084594249725342,-90.30805969238281,(,(
109.08151245117188,97.94775390625,"""",""""
140.49850463867188,125.90532684326172,"""",""""
45.969337463378906,-28.44744873046875,",",","
-9.846845626831055,43.89204025268555,identifier,p
-23.916217803955078,143.54373168945312,.,.
13.351922035217285,-1.911475658416748,identifier,Name
32.35310363769531,-17.540075302124023,",",","
13.549938201904297,36.36387634277344,identifier,jb
-96.359375,18.622926712036133,),)
-71.14627075195312,-80.16542053222656,},}
28.50696563720703,19.127593994140625,identifier,buildID
92.1431884765625,-16.692354202270508,=,=
-36.69612503051758,7.17255973815918,identifier,value
-87.12417602539062,-83.49668884277344,},}
-86.44513702392578,-84.45238494873047,},}
-82.15016174316406,-86.86478424072266,},}
-9.413400650024414,-145.72532653808594,if,if
29.773778915405273,23.925090789794922,identifier,hasProwJobID
-106.09371948242188,98.1311264038086,{,{
34.88893127441406,-167.3176727294922,return,return
111.90437316894531,106.46819305419922,"""",""""
146.14071655273438,118.44564056396484,"""",""""
-77.4166259765625,-81.82137298583984,},}
32.19767761230469,-184.22030639648438,return,return
28.401947021484375,19.113143920898438,identifier,buildID
-190.14352416992188,-39.641197204589844,},}
90.3481216430664,-143.1118927001953,func,func
46.654640197753906,30.327571868896484,identifier,checkExistingStatus
