language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
go,codet5p_220,0,1,ast,7,8,0.3447547848240108,0.3667301895186967,0.3343417742867568
go,codet5p_220,0,1,dfg,4,5,0.09030631094031064,0.0765343492438284,0.3726371909278455
go,codet5p_220,1,2,ast,7,8,0.35065155886899096,0.36958544722995695,0.3439627895122508
go,codet5p_220,1,2,dfg,4,5,0.100032353488174,0.05724929324153932,0.591488836374084
go,codet5p_220,2,3,ast,7,8,0.3210096461121168,0.42941408881445287,0.2609067958674353
go,codet5p_220,2,3,dfg,0,1,0.1843806807019603,0.12790999359966151,0.5312267520368199
go,codet5p_220,3,4,ast,7,8,0.33977627424787227,0.3617728706933298,0.32940538884304243
go,codet5p_220,3,4,dfg,0,1,0.07583620960176372,0.04223614026083301,0.4586849491641249
go,codet5p_220,4,5,ast,7,8,0.2613820001607735,0.5309763609873622,0.1790958632260507
go,codet5p_220,4,5,dfg,4,5,0.14952052395352383,0.10579808104294582,0.4310130013854877
go,codet5p_220,5,6,ast,7,8,0.31091772237720067,0.4685081169981208,0.23725030868912442
go,codet5p_220,5,6,dfg,0,1,0.18634796424203665,0.13935347190750408,0.4038499679717186
go,codet5p_220,6,7,ast,7,8,0.29127470808151207,0.40436638512952133,0.23128819499996323
go,codet5p_220,6,7,dfg,0,1,0.09982717655502457,0.05652495775640183,0.5511750362559354
go,codet5p_220,7,8,ast,7,8,0.37240826927734716,0.46256310162521935,0.3168608479591308
go,codet5p_220,7,8,dfg,0,1,0.06544456969179305,0.0359883735119122,0.5374104300163612
go,codet5p_220,8,9,ast,6,7,0.3473934458743164,0.3939301435334466,0.3202124148077036
go,codet5p_220,8,9,dfg,5,6,0.08949534867916971,0.04972837425497404,0.581104411445941
go,codet5p_220,9,10,ast,7,8,0.31416733887076725,0.39985842670522515,0.2633771002908032
go,codet5p_220,9,10,dfg,0,1,0.09985116297782823,0.05962588385597639,0.482118775919479
go,codet5p_220,10,11,ast,7,8,0.3328367657995873,0.4078977226855178,0.28704590533556956
go,codet5p_220,10,11,dfg,2,3,0.11146514287647259,0.06832906677514348,0.38790368327865166
go,codet5p_220,11,12,ast,7,8,0.33597683840182657,0.3553490612018962,0.32679553836362607
go,codet5p_220,11,12,dfg,10,11,0.06864462874966601,0.03827701812094118,0.449402865837698
