x,y,role,token
-111.31182861328125,119.18624114990234,func,func
-43.390464782714844,12.83275318145752,identifier,New
-51.90142822265625,156.62901306152344,(,(
36.80763244628906,3.658782720565796,identifier,opts
-31.639572143554688,5.35130500793457,identifier,Options
140.7509307861328,71.68829345703125,),)
-37.15169143676758,140.37957763671875,(,(
-20.796630859375,-3.6826040744781494,identifier,genny
95.50914764404297,-148.55313110351562,.,.
-28.31011199951172,6.768708229064941,identifier,Generator
187.7627716064453,-25.50960350036621,",",","
-121.62821197509766,-42.77230453491211,identifier,error
120.48233032226562,79.42010498046875,),)
74.4281997680664,124.69607543945312,{,{
15.905837059020996,-32.42864227294922,identifier,g
-162.60498046875,54.924354553222656,:=,:=
-20.708173751831055,-4.386925220489502,identifier,genny
82.12127685546875,-139.56838989257812,.,.
-71.51700592041016,-24.612232208251953,identifier,New
-10.80524730682373,145.5422821044922,(,(
113.51972961425781,54.43476867675781,),)
-54.43366622924805,93.83236694335938,if,if
-118.33125305175781,-90.66582489013672,identifier,err
-174.5076904296875,54.729068756103516,:=,:=
38.10635757446289,4.864771366119385,identifier,opts
79.32806396484375,-141.29739379882812,.,.
-51.4166374206543,10.39273738861084,identifier,Validate
-8.936851501464844,149.0539093017578,(,(
111.11557006835938,57.154876708984375,),)
-120.32151794433594,-83.5048828125,identifier,err
-9.261800765991211,-160.3837432861328,!=,!=
66.3681869506836,98.46334838867188,{,{
-185.9493408203125,-19.21782112121582,return,return
16.508821487426758,-30.294458389282227,identifier,g
159.62266540527344,-42.7095947265625,",",","
-130.83387756347656,-77.80867004394531,identifier,err
-20.18834686279297,62.3847541809082,},}
17.8403377532959,-31.077068328857422,identifier,g
75.03839111328125,-135.45423889160156,.,.
-40.720542907714844,-13.691131591796875,identifier,Box
-5.204269886016846,174.359375,(,(
-31.60930061340332,-14.862428665161133,identifier,packr
66.63059997558594,-140.22113037109375,.,.
-71.91130065917969,-26.03041648864746,identifier,New
15.014128684997559,194.77529907226562,(,(
-65.56851959228516,-100.57608032226562,"""",""""
-68.25492858886719,-161.34812927246094,"""",""""
146.0292205810547,-31.38926887512207,",",","
-63.98776626586914,-92.26166534423828,"""",""""
-67.25843811035156,-167.22308349609375,"""",""""
102.33779907226562,50.946800231933594,),)
130.6358642578125,55.66981506347656,),)
25.99351692199707,22.735599517822266,identifier,ctx
-172.376220703125,61.066646575927734,:=,:=
-30.315956115722656,-15.558196067810059,identifier,plush
82.04093933105469,-138.63284301757812,.,.
-73.33816528320312,-16.620975494384766,identifier,NewContext
-6.261294364929199,146.013916015625,(,(
117.82536315917969,58.265220642089844,),)
26.585542678833008,21.544292449951172,identifier,ctx
75.75151824951172,-134.74732971191406,.,.
-57.28817367553711,-21.367708206176758,identifier,Set
14.643960952758789,192.01858520507812,(,(
-65.55536651611328,-98.54405212402344,"""",""""
-67.29662322998047,-159.7187957763672,"""",""""
140.78114318847656,-30.116981506347656,",",","
37.42500305175781,6.086950302124023,identifier,opts
59.90949630737305,-143.79356384277344,.,.
10.935078620910645,2.928443193435669,identifier,App
125.25471496582031,54.43984603881836,),)
17.945247650146484,-30.838571548461914,identifier,g
73.86592102050781,-135.16647338867188,.,.
-59.248165130615234,-5.639805316925049,identifier,Transformer
7.4511189460754395,176.6643524169922,(,(
-30.55339241027832,-15.535384178161621,identifier,plushgen
58.59001922607422,-141.41061401367188,.,.
-59.349700927734375,-5.649463176727295,identifier,Transformer
6.953524112701416,168.89173889160156,(,(
26.579978942871094,20.726360321044922,identifier,ctx
108.9688949584961,30.486080169677734,),)
129.08865356445312,52.83303451538086,),)
17.97684097290039,-30.83622932434082,identifier,g
73.6700210571289,-134.98553466796875,.,.
-59.35715103149414,-5.652037143707275,identifier,Transformer
7.4171977043151855,176.73216247558594,(,(
-19.584579467773438,-4.2823028564453125,identifier,genny
58.514549255371094,-141.50790405273438,.,.
-41.24597930908203,-18.977638244628906,identifier,Dot
-3.0500965118408203,143.61984252929688,(,(
106.73506164550781,57.10466384887695,),)
128.59652709960938,49.157955169677734,),)
-198.4476776123047,-23.85243797302246,return,return
16.42811393737793,-29.096939086914062,identifier,g
157.60546875,-55.14830780029297,",",","
79.98268127441406,172.87794494628906,},}
-117.82085418701172,111.27063751220703,func,func
-77.36180114746094,157.6319122314453,(,(
41.34147644042969,-13.380474090576172,identifier,jb
-37.29893493652344,10.225695610046387,identifier,Build
156.9524383544922,69.47872161865234,),)
-37.543312072753906,9.328696250915527,identifier,BuildID
-14.21183967590332,143.7790985107422,(,(
117.10566711425781,64.48199462890625,),)
-96.01924896240234,27.405221939086914,identifier,string
69.42776489257812,122.95823669433594,{,{
-16.869197845458984,-15.644607543945312,identifier,buildID
-100.954345703125,33.95967102050781,identifier,string
-29.613445281982422,-18.645132064819336,identifier,hasProwJobID
-168.13333129882812,66.21505737304688,:=,:=
-69.36233520507812,105.12492370605469,for,for
38.327423095703125,57.95588302612305,identifier,_
169.62454223632812,1.9850744009017944,",",","
-19.87989044189453,-27.1362361907959,identifier,action
-163.88238525390625,69.063720703125,:=,:=
41.34446334838867,-13.30978012084961,identifier,jb
77.13819122314453,-147.1070556640625,.,.
-19.687166213989258,-26.41353988647461,identifier,Actions
67.05985260009766,117.7210922241211,{,{
-65.6278305053711,105.8146743774414,for,for
39.120845794677734,56.10070037841797,identifier,_
169.0690155029297,2.1167731285095215,",",","
16.725467681884766,-39.7133903503418,identifier,p
-163.3451385498047,70.04627990722656,:=,:=
-19.8131046295166,-26.93939208984375,identifier,action
76.77788543701172,-146.47329711914062,.,.
-39.01380920410156,-5.571897029876709,identifier,Parameters
60.846153259277344,115.62568664550781,{,{
-29.516685485839844,-18.79082489013672,identifier,hasProwJobID
-23.04393768310547,-100.1781234741211,=,=
-29.441253662109375,-18.733428955078125,identifier,hasProwJobID
19.340085983276367,-38.367557525634766,identifier,p
69.67340850830078,-148.35748291015625,.,.
-56.266910552978516,-43.40653991699219,identifier,Name
-22.104795455932617,-154.0709686279297,==,==
-29.415468215942383,-17.88324546813965,identifier,prowJobID
-59.20557403564453,93.81340789794922,if,if
19.55980682373047,-38.43645095825195,identifier,p
69.63407135009766,-148.6270751953125,.,.
-55.84788513183594,-42.94940185546875,identifier,Name
-21.961992263793945,-154.26368713378906,==,==
-29.422815322875977,-17.486114501953125,identifier,statusBuildID
59.06170654296875,113.5841293334961,{,{
2.00760817527771,4.906575679779053,identifier,value
164.11087036132812,-6.067273139953613,",",","
-105.30039978027344,-85.28507995605469,identifier,ok
-170.91458129882812,55.89063262939453,:=,:=
19.989269256591797,-38.39519119262695,identifier,p
74.56623077392578,-143.19390869140625,.,.
-1.2130662202835083,6.774117469787598,identifier,Value
76.31058502197266,-169.51419067382812,.,.
-8.304004669189453,161.09304809570312,(,(
-102.28215789794922,28.351116180419922,identifier,string
