language,model,layer_index,layer_number_one_based,distance_mode,method,graph,head_index,head_number_one_based,ged_per_node
go,graphcodebert,0,1,legacy,legacy_networkx_optimize_first_candidate,ast,9,10,2.5457397317741126
go,graphcodebert,0,1,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,1.2708172837106024
go,graphcodebert,0,1,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,0.34595555845506637
go,graphcodebert,1,2,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,2.5640240589405994
go,graphcodebert,1,2,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,5,6,1.2154517291620826
go,graphcodebert,1,2,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,0.33717376314402153
go,graphcodebert,2,3,legacy,legacy_networkx_optimize_first_candidate,ast,9,10,2.544993264376615
go,graphcodebert,2,3,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,1.2182676332170685
go,graphcodebert,2,3,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,0.6417535743555015
go,graphcodebert,3,4,legacy,legacy_networkx_optimize_first_candidate,ast,1,2,2.5189258278954405
go,graphcodebert,3,4,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,2,3,1.2203185956298486
go,graphcodebert,3,4,legacy,legacy_networkx_optimize_first_candidate,dfg,2,3,0.36880157946051806
go,graphcodebert,4,5,legacy,legacy_networkx_optimize_first_candidate,ast,2,3,2.630744892513026
go,graphcodebert,4,5,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,5,6,1.4587848140782325
go,graphcodebert,4,5,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,0.9981885130738279
go,graphcodebert,5,6,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,2.5811490271444213
go,graphcodebert,5,6,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,11,12,1.492799010155291
go,graphcodebert,5,6,legacy,legacy_networkx_optimize_first_candidate,dfg,11,12,0.6471791028290715
go,graphcodebert,6,7,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,2.668829225664672
go,graphcodebert,6,7,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,1.4298462049672649
go,graphcodebert,6,7,legacy,legacy_networkx_optimize_first_candidate,dfg,11,12,1.1490976654078975
go,graphcodebert,7,8,legacy,legacy_networkx_optimize_first_candidate,ast,11,12,2.7035111764299318
go,graphcodebert,7,8,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,1.3607501905039892
go,graphcodebert,7,8,legacy,legacy_networkx_optimize_first_candidate,dfg,7,8,0.9625336820795087
go,graphcodebert,8,9,legacy,legacy_networkx_optimize_first_candidate,ast,0,1,2.594181921662986
go,graphcodebert,8,9,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,8,9,1.2017538921995998
go,graphcodebert,8,9,legacy,legacy_networkx_optimize_first_candidate,dfg,8,9,0.3578027720277534
go,graphcodebert,9,10,legacy,legacy_networkx_optimize_first_candidate,ast,8,9,2.5623436899579963
go,graphcodebert,9,10,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,3,4,1.2691544567055104
go,graphcodebert,9,10,legacy,legacy_networkx_optimize_first_candidate,dfg,6,7,0.36261559467605875
go,graphcodebert,10,11,legacy,legacy_networkx_optimize_first_candidate,ast,11,12,2.668181080818172
go,graphcodebert,10,11,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,0,1,1.2367487363483038
go,graphcodebert,10,11,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,0.38904091140914565
go,graphcodebert,11,12,legacy,legacy_networkx_optimize_first_candidate,ast,5,6,2.721828938543506
go,graphcodebert,11,12,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,1.2839996876263169
go,graphcodebert,11,12,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,0.34837946308856627
