language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
go,graphcodebert,0,1,ast,6,7,0.3010762454681685,0.25259347744505095,0.382223911957439
go,graphcodebert,0,1,dfg,7,8,0.10771766175558412,0.06327569403327439,0.5730098026372611
go,graphcodebert,1,2,ast,0,1,0.32870439051282946,0.3537971946214444,0.31295198042546973
go,graphcodebert,1,2,dfg,9,10,0.10873542149199991,0.06188377543297267,0.5585620262685821
go,graphcodebert,2,3,ast,0,1,0.31646876057979806,0.4047876435892884,0.2642393553501423
go,graphcodebert,2,3,dfg,6,7,0.09980873823640275,0.05590232523803939,0.5790175494630149
go,graphcodebert,3,4,ast,1,2,0.3514977083126973,0.5125844490721804,0.2716221713520476
go,graphcodebert,3,4,dfg,4,5,0.09421681497723144,0.05240260881685495,0.5888555133931116
go,graphcodebert,4,5,ast,7,8,0.32657853054571184,0.4257074038368563,0.27100533125799336
go,graphcodebert,4,5,dfg,6,7,0.12612921350225617,0.07329167061711529,0.5697475907146062
go,graphcodebert,5,6,ast,3,4,0.356793497052588,0.4768831633535923,0.28955682562804674
go,graphcodebert,5,6,dfg,6,7,0.12501966577328372,0.07231010904163755,0.6039996591879366
go,graphcodebert,6,7,ast,4,5,0.3388374316939695,0.39481534330235846,0.3020525393437016
go,graphcodebert,6,7,dfg,2,3,0.11552684460632251,0.06629432588471229,0.5849017359892832
go,graphcodebert,7,8,ast,11,12,0.32575965785424693,0.45807477729534374,0.25751373060363825
go,graphcodebert,7,8,dfg,9,10,0.09265310769002241,0.052325660672545904,0.5275044574187565
go,graphcodebert,8,9,ast,6,7,0.2979671127873535,0.3891193594382892,0.24615125630370055
go,graphcodebert,8,9,dfg,1,2,0.019221092640731713,0.012085354885831874,0.05222442308739797
go,graphcodebert,9,10,ast,9,10,0.254534190090918,0.3438767925872654,0.2051429758081664
go,graphcodebert,9,10,dfg,10,11,0.04792492640317112,0.034340503991022696,0.0972095164825318
go,graphcodebert,10,11,ast,4,5,0.15954101221444378,0.22842251761203136,0.12856220991872908
go,graphcodebert,10,11,dfg,10,11,0.18812252156920165,0.16731280168940274,0.26875074775638325
go,graphcodebert,11,12,ast,3,4,0.17791908094902742,0.25400788977375627,0.14091568876668
go,graphcodebert,11,12,dfg,2,3,0.1017930613367524,0.057382070484162495,0.5750233413786626
