x,y,role,token
-32.02300262451172,-773.707275390625,declaration,func
-46.870487213134766,-826.1629638671875,identifier,Open
-261.59368896484375,-839.9847412109375,delimiter,(
-361.131103515625,-938.5778198242188,identifier,url
-303.4132385253906,-956.1812133789062,identifier,string
-326.5472412109375,-820.241943359375,delimiter,","
-376.5053405761719,-715.694580078125,identifier,c
-444.8363342285156,-653.9210205078125,other,*
-444.8363342285156,-653.9210205078125,identifier,Config
-275.61932373046875,-775.060302734375,delimiter,)
174.45997619628906,-884.4027709960938,delimiter,(
269.9593200683594,-1059.2274169921875,identifier,io
207.2919464111328,-1088.4356689453125,delimiter,.
263.6733703613281,-1127.463134765625,identifier,ReadCloser
110.0233154296875,-901.8436279296875,delimiter,","
206.81622314453125,-798.6312255859375,identifier,error
123.54338836669922,-836.2377319335938,delimiter,)
586.5296630859375,230.01797485351562,delimiter,{
609.7691650390625,1341.4140625,control_flow,if
496.4425354003906,1238.003173828125,identifier,c
458.8187255859375,1296.44482421875,logical_comparison,==
427.7742614746094,1235.242919921875,literal,nil
662.6063842773438,1487.7740478515625,delimiter,{
736.5262451171875,1604.9031982421875,identifier,c
669.698974609375,1581.8221435546875,assignment_operator,=
638.3687133789062,1645.115478515625,identifier,DefaultConfig
609.4263305664062,1508.4263916015625,delimiter,}
950.6028442382812,319.74755859375,identifier,r
886.17431640625,340.79901123046875,delimiter,","
902.9218139648438,271.5994873046875,identifier,_
805.7756958007812,285.1405029296875,assignment_operator,:=
-5.56822395324707,-3265.414306640625,identifier,http
61.18534469604492,-3251.580322265625,delimiter,.
39.68846130371094,-3315.816162109375,identifier,NewRequest
-77.45645904541016,-2905.16455078125,delimiter,(
-69.23956298828125,-2743.64306640625,other,""""
-10.062270164489746,-2740.086181640625,other,""""
-29.46640396118164,-2962.340087890625,delimiter,","
13.627202033996582,-2901.21630859375,identifier,url
-101.02934265136719,-2988.96337890625,delimiter,","
43.98675537109375,-2982.65234375,literal,nil
-26.540725708007812,-3036.701904296875,delimiter,)
-1304.450927734375,133.92588806152344,identifier,r
-1227.3963623046875,129.5668182373047,delimiter,.
-1269.2564697265625,73.3182373046875,identifier,Header
-1291.2073974609375,224.9881134033203,delimiter,.
-1230.762451171875,221.53350830078125,identifier,Set
-1259.028076171875,604.4066772460938,delimiter,(
-1140.6005859375,620.3284912109375,other,""""
-1169.5972900390625,563.6012573242188,other,""""
-1227.01513671875,667.8983764648438,delimiter,","
-835.7225952148438,1379.252685546875,identifier,time
