language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
go,plbart,0,1,ast,7,8,0.07768862792604948,0.07431211407177092,0.09519814492916691
go,plbart,0,1,dfg,5,6,0.11961106440912513,0.07098215840837493,0.5724140485335641
go,plbart,1,2,ast,3,4,0.3747856253241115,0.32055897282125884,0.46190481076488615
go,plbart,1,2,dfg,0,1,0.12950576373398012,0.07613759441279029,0.5836642997957362
go,plbart,2,3,ast,7,8,0.3135398242204976,0.2704444271291622,0.38162912254277237
go,plbart,2,3,dfg,8,9,0.07808520394099858,0.04346244744390466,0.5836347056799749
go,plbart,3,4,ast,1,2,0.3377188799853137,0.27659716762982195,0.445646883747168
go,plbart,3,4,dfg,7,8,0.07889310111591391,0.04316545991182386,0.5772181295482356
go,plbart,4,5,ast,0,1,0.3580179840271387,0.335488393863705,0.3927541935471256
go,plbart,4,5,dfg,5,6,0.02364430702717432,0.013084233841593037,0.1388371690578368
go,plbart,5,6,ast,4,5,0.33171702523039537,0.4167022122866387,0.2799644327835342
go,plbart,5,6,dfg,7,8,0.07360832682239388,0.0400034364400439,0.5971210703152113
