language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
go,unixcoder,0,1,ast,6,7,0.3337115861974654,0.3677900791891512,0.3117089861750021
go,unixcoder,0,1,dfg,5,6,0.1109618742336008,0.06350517599422462,0.5819232880286243
go,unixcoder,1,2,ast,9,10,0.2970855976944006,0.5188793566869108,0.21044952385316712
go,unixcoder,1,2,dfg,10,11,0.1348280709940699,0.07852776037309471,0.5849115306112361
go,unixcoder,2,3,ast,8,9,0.2945068708530817,0.40050040999486447,0.23596779637379006
go,unixcoder,2,3,dfg,2,3,0.11823664744239436,0.06764952302700435,0.5884698061147223
go,unixcoder,3,4,ast,11,12,0.34234716196339754,0.45781129043793134,0.2792709766586733
go,unixcoder,3,4,dfg,9,10,0.14776266645486796,0.10839426138082353,0.3601931327603239
go,unixcoder,4,5,ast,9,10,0.3211987825332817,0.4313731352479539,0.2596247516067831
go,unixcoder,4,5,dfg,1,2,0.11458529796039336,0.06580865393171015,0.5684514665468207
go,unixcoder,5,6,ast,0,1,0.31252115350147314,0.393118428091975,0.2631288269479366
go,unixcoder,5,6,dfg,10,11,0.15959364823014932,0.10249253149378117,0.48616994877181774
go,unixcoder,6,7,ast,11,12,0.3324088619176851,0.3732273143418775,0.306559152318908
go,unixcoder,6,7,dfg,0,1,0.055459237496297824,0.031283575934844175,0.3414916344639125
go,unixcoder,7,8,ast,10,11,0.29109682931757097,0.4555127316583442,0.21818346343407322
go,unixcoder,7,8,dfg,8,9,0.045153950885227855,0.02654335010501421,0.17021816951563615
go,unixcoder,8,9,ast,5,6,0.18300111253955959,0.4370409377734642,0.12230116235953611
go,unixcoder,8,9,dfg,6,7,0.0200856022536032,0.011467678110858042,0.11386706140922966
go,unixcoder,9,10,ast,10,11,0.11316998085299539,0.13236632736408868,0.11279976624939189
go,unixcoder,9,10,dfg,5,6,0.07581838307719233,0.05155142091571401,0.26760130050841013
go,unixcoder,10,11,ast,8,9,0.0992951799159657,0.18166739586136904,0.08605906928824934
go,unixcoder,10,11,dfg,9,10,0.08003147319944383,0.07226161405725723,0.14926769153944344
go,unixcoder,11,12,ast,11,12,0.1003832474722242,0.22800489185800163,0.10095551058913416
go,unixcoder,11,12,dfg,2,3,0.048597326296695005,0.028549269479080153,0.42088172702195636
