x,y,role,token
68.18565368652344,-143.31175231933594,func,func
40.06026840209961,-30.44901466369629,identifier,New
-24.168888092041016,-49.39427947998047,(,(
149.3526611328125,-17.314952850341797,identifier,opts
39.8104248046875,-35.7059326171875,identifier,Options
-17.433616638183594,-139.74542236328125,),)
-2.9081647396087646,-153.6519775390625,(,(
58.72187423706055,-5.232039928436279,identifier,genny
62.011924743652344,65.43241882324219,.,.
41.96472930908203,-43.523963928222656,identifier,Generator
-123.06412506103516,90.3744125366211,",",","
-3.661236524581909,-105.33370208740234,identifier,error
-19.43180274963379,-111.14900970458984,),)
-39.4562873840332,-103.91340637207031,{,{
120.15188598632812,-6.19692850112915,identifier,g
-44.68284606933594,118.19745635986328,:=,:=
58.76343536376953,-5.785543918609619,identifier,genny
62.94233322143555,72.41173553466797,.,.
37.13764572143555,-17.39046287536621,identifier,New
-20.104782104492188,-9.531593322753906,(,(
-63.24374008178711,-22.315446853637695,),)
-164.8991241455078,7.0446672439575195,if,if
129.5463409423828,62.74797058105469,identifier,err
-29.201208114624023,113.57804870605469,:=,:=
147.86325073242188,-16.651962280273438,identifier,opts
71.46504974365234,96.56199645996094,.,.
35.08557891845703,-27.172849655151367,identifier,Validate
-23.272571563720703,-5.890236854553223,(,(
-57.97771072387695,-15.500957489013672,),)
128.94317626953125,54.62883758544922,identifier,err
11.067193031311035,108.40506744384766,!=,!=
-93.1830062866211,-97.31805419921875,{,{
-64.2457275390625,-169.185546875,return,return
118.58074951171875,-5.075860023498535,identifier,g
-141.0594482421875,76.46930694580078,",",","
145.825927734375,49.04494094848633,identifier,err
-130.09657287597656,-46.51131820678711,},}
119.84163665771484,-4.030686378479004,identifier,g
76.11261749267578,90.1594009399414,.,.
54.604549407958984,-24.210176467895508,identifier,Box
-10.198118209838867,3.5737552642822266,(,(
61.24184036254883,-8.900359153747559,identifier,packr
65.7513656616211,72.95816802978516,.,.
36.85564041137695,-16.842365264892578,identifier,New
7.18457555770874,14.82358169555664,(,(
14.599623680114746,159.51104736328125,"""",""""
-11.449908256530762,207.1147003173828,"""",""""
-79.428955078125,76.52254486083984,",",","
15.001799583435059,165.7527313232422,"""",""""
-6.822152614593506,207.80992126464844,"""",""""
-70.08370971679688,-2.6357979774475098,),)
-75.51432800292969,-22.19040870666504,),)
82.02212524414062,33.28009033203125,identifier,ctx
-42.479549407958984,119.52491760253906,:=,:=
61.96611022949219,-6.9568190574646,identifier,plush
64.31877136230469,72.1720962524414,.,.
39.75213623046875,-16.95785140991211,identifier,NewContext
-21.92995262145996,-9.90371036529541,(,(
-64.68721771240234,-23.570186614990234,),)
82.19730377197266,32.856300354003906,identifier,ctx
76.93119812011719,86.63159942626953,.,.
15.272494316101074,19.504396438598633,identifier,Set
15.211090087890625,19.72119903564453,(,(
12.178462982177734,160.1112060546875,"""",""""
-10.334844589233398,209.97259521484375,"""",""""
-74.70950317382812,73.79254913330078,",",","
147.68112182617188,-16.901243209838867,identifier,opts
73.10826110839844,104.20460510253906,.,.
70.14027404785156,-6.354094505310059,identifier,App
-80.25176239013672,-22.169517517089844,),)
120.41120910644531,-4.0614423751831055,identifier,g
75.53568267822266,90.24948120117188,.,.
31.239473342895508,-21.445945739746094,identifier,Transformer
-11.081068992614746,3.294586658477783,(,(
61.42876434326172,-7.115187644958496,identifier,plushgen
64.17671966552734,73.41432189941406,.,.
31.074369430541992,-21.49139976501465,identifier,Transformer
-12.145484924316406,3.4241976737976074,(,(
83.74275970458984,34.620052337646484,identifier,ctx
-72.2872085571289,-2.817955493927002,),)
-78.75448608398438,-20.09368324279785,),)
120.35513305664062,-4.12006139755249,identifier,g
75.55567932128906,90.2503662109375,.,.
31.143362045288086,-21.478355407714844,identifier,Transformer
-10.839810371398926,3.3265938758850098,(,(
59.2899169921875,-5.654223918914795,identifier,genny
63.71466827392578,73.80308532714844,.,.
53.44648361206055,-17.999862670898438,identifier,Dot
-27.441762924194336,-8.483986854553223,(,(
-61.15336227416992,-9.351615905761719,),)
-80.82747650146484,-17.116966247558594,),)
-75.60755157470703,-156.4751434326172,return,return
117.86519622802734,-6.24273681640625,identifier,g
-137.52330017089844,78.57282257080078,",",","
-152.7393798828125,-91.7969741821289,},}
59.42377471923828,-140.8552703857422,func,func
34.65631866455078,-167.29095458984375,(,(
133.3630828857422,5.798506259918213,identifier,jb
41.784912109375,-33.42344665527344,identifier,Build
-0.034985728561878204,-208.52476501464844,),)
42.4373664855957,-32.853057861328125,identifier,BuildID
-22.268951416015625,-39.04811477661133,(,(
-16.52710723876953,-144.2163848876953,),)
19.57928466796875,-83.98807525634766,identifier,string
-40.264503479003906,-100.23204040527344,{,{
91.62718963623047,-24.36116600036621,identifier,buildID
22.15404510498047,-84.28372192382812,identifier,string
82.27871704101562,-24.97685432434082,identifier,hasProwJobID
-45.02404022216797,127.45441436767578,:=,:=
-155.301513671875,25.024316787719727,for,for
-82.94890594482422,128.942626953125,identifier,_
-80.10538482666016,125.98857116699219,",",","
123.82781982421875,-36.77485656738281,identifier,action
-32.38569641113281,126.19842529296875,:=,:=
133.26406860351562,5.680323600769043,identifier,jb
75.97579956054688,98.43325805664062,.,.
62.859859466552734,-39.79084777832031,identifier,Actions
