language,model,layer_index,layer_number_one_based,distance_mode,method,graph,head_index,head_number_one_based,ged_per_node
java,codet5,0,1,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.4749859660514884
java,codet5,0,1,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,2.9819121306095635
java,codet5,0,1,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,1.9833449316894591
java,codet5,1,2,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.5432317872241494
java,codet5,1,2,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,3,4,2.2360046986237316
java,codet5,1,2,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,1.0216331246211285
java,codet5,2,3,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.4257646594788045
java,codet5,2,3,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,1.942656415968437
java,codet5,2,3,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,0.6775727187973363
java,codet5,3,4,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.3808108245013155
java,codet5,3,4,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,2.520645964405746
java,codet5,3,4,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,1.4711594781471482
java,codet5,4,5,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.4807289679768805
java,codet5,4,5,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,8,9,2.3697760432867976
java,codet5,4,5,legacy,legacy_networkx_optimize_first_candidate,dfg,8,9,1.2476250134656006
java,codet5,5,6,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.493820890755896
java,codet5,5,6,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,6,7,2.44257066104829
java,codet5,5,6,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,1.4070674910907155
java,codet5,6,7,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.671171763599224
java,codet5,6,7,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,2.4159221535984567
java,codet5,6,7,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,1.2475659404221466
java,codet5,7,8,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.3252797326436365
java,codet5,7,8,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,6,7,2.300973230976102
java,codet5,7,8,legacy,legacy_networkx_optimize_first_candidate,dfg,6,7,1.2402429885634505
java,codet5,8,9,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.3389621910135734
java,codet5,8,9,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,2.373155444480508
java,codet5,8,9,legacy,legacy_networkx_optimize_first_candidate,dfg,7,8,1.6463636932439185
java,codet5,9,10,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.615705616187811
java,codet5,9,10,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,2,3,2.5632117916183312
java,codet5,9,10,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,1.620783371020439
java,codet5,10,11,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.7163906084359484
java,codet5,10,11,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,2,3,2.652167963053712
java,codet5,10,11,legacy,legacy_networkx_optimize_first_candidate,dfg,2,3,1.457624355925531
java,codet5,11,12,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.9409574169454706
java,codet5,11,12,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,3,4,2.9767422167680735
java,codet5,11,12,legacy,legacy_networkx_optimize_first_candidate,dfg,3,4,2.1308608591157685
