language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
java,codet5,0,1,ast,7,8,0.33528436381214355,0.4202205832952501,0.2843801566012708
java,codet5,0,1,dfg,4,5,0.08698591959930946,0.05057080466977222,0.6789121808567427
java,codet5,1,2,ast,7,8,0.34691863287032904,0.46039997456772314,0.283632413201133
java,codet5,1,2,dfg,4,5,0.1276065857000923,0.07535158540496212,0.5782080862787241
java,codet5,2,3,ast,7,8,0.33836067155054095,0.5147530891838855,0.25704284074725
java,codet5,2,3,dfg,0,1,0.1356289309182336,0.08200248343646535,0.6104480668448374
java,codet5,3,4,ast,7,8,0.3655116399572783,0.49760332242367056,0.2944629942156055
java,codet5,3,4,dfg,0,1,0.12272541807380971,0.06881324893991296,0.6895578820289943
java,codet5,4,5,ast,7,8,0.36345165557269193,0.479912679370874,0.29890380149290174
java,codet5,4,5,dfg,5,6,0.11439070617396283,0.06457524236753258,0.6682478718851622
java,codet5,5,6,ast,7,8,0.36811566077645547,0.4715626391389748,0.3096067887506382
java,codet5,5,6,dfg,0,1,0.07081510607600872,0.04032113926387768,0.4517529403911953
java,codet5,6,7,ast,7,8,0.3618245601602129,0.4513475488830864,0.3090010956086001
java,codet5,6,7,dfg,0,1,0.09678771162913728,0.05329977917490209,0.6479470070491937
java,codet5,7,8,ast,2,3,0.33934477543765285,0.42503213813137625,0.290596815787907
java,codet5,7,8,dfg,5,6,0.08428444794558711,0.04759641769321779,0.45214102079489515
java,codet5,8,9,ast,7,8,0.3076250466169287,0.4928759309867991,0.2268409573479412
java,codet5,8,9,dfg,5,6,0.1024376514551554,0.05646735694237753,0.6937433028632047
java,codet5,9,10,ast,7,8,0.37825770187760704,0.4660243883566529,0.325603108533896
java,codet5,9,10,dfg,5,6,0.1111605053420447,0.06193180842119031,0.6728887709053993
java,codet5,10,11,ast,1,2,0.2594398442581258,0.25466380041729003,0.2734392829488719
java,codet5,10,11,dfg,2,3,0.10902606197205193,0.06149566145321127,0.5931354889581036
java,codet5,11,12,ast,7,8,0.32221552266835846,0.36494927484686696,0.2965641107215782
java,codet5,11,12,dfg,6,7,0.05509482432220368,0.02943845394119495,0.6190452967373933
