x,y,role,token
1714.0377197265625,-2690.349365234375,other,public
1714.0377197265625,-2690.349365234375,other,static
2083.37353515625,-2664.50341796875,other,byte
2178.7314453125,-2761.241455078125,delimiter,[
2215.32177734375,-2692.482666015625,delimiter,]
1919.4810791015625,-2661.61083984375,identifier,encrypt
1665.9515380859375,-3490.058837890625,delimiter,(
1499.4193115234375,-3778.9609375,other,byte
1517.639892578125,-3907.830322265625,delimiter,[
1592.003173828125,-3873.7763671875,delimiter,]
1574.89208984375,-3617.95361328125,identifier,keyParam
1570.5008544921875,-3459.765380859375,delimiter,","
1999.1463623046875,-3417.381591796875,other,byte
2056.9609375,-3536.833251953125,delimiter,[
2114.087890625,-3478.34521484375,delimiter,]
1827.74951171875,-3439.154052734375,identifier,dataToEncryptParam
1601.5679931640625,-3364.652099609375,delimiter,","
1325.11474609375,-3223.851318359375,other,byte
1215.845703125,-3299.71923828125,delimiter,[
1194.9942626953125,-3220.67919921875,delimiter,]
1461.256591796875,-3332.001220703125,identifier,ivParam
1691.9130859375,-3393.883056640625,delimiter,)
1817.68408203125,-2105.61669921875,delimiter,{
-193.4159393310547,-4253.94482421875,control_flow,if
-323.343017578125,-4018.5068359375,delimiter,(
-288.9197082519531,-3846.113525390625,identifier,dataToEncryptParam
-389.2376708984375,-3886.043701171875,logical_comparison,==
-370.5087890625,-3787.167236328125,literal,null
-244.504150390625,-3987.38623046875,delimiter,)
-185.33816528320312,-4551.6044921875,delimiter,{
-137.0911102294922,-4734.92626953125,return_exception,throw
-131.09768676757812,-4946.9052734375,declaration,new
-213.5603485107422,-4953.3759765625,identifier,FluidClientException
-123.28180694580078,-5179.1943359375,delimiter,(
-3.2071940898895264,-5246.43798828125,other,"""No data to encrypt provided. """
-212.31790161132812,-5216.58056640625,delimiter,","
-371.582275390625,-5716.22265625,identifier,FluidClientException
-386.32550048828125,-5616.5478515625,delimiter,.
-289.09307861328125,-5658.39990234375,identifier,ErrorCode
-268.6444396972656,-5476.08203125,delimiter,.
-268.6444396972656,-5476.08203125,identifier,AES_256
-137.1273193359375,-5277.61328125,delimiter,)
-221.6958465576172,-4738.1533203125,delimiter,;
-185.33816528320312,-4551.6044921875,delimiter,}
1930.383544921875,-1917.5870361328125,identifier,Key
2134.176513671875,-1823.7315673828125,identifier,key
2078.41845703125,-1763.0159912109375,assignment_operator,=
2304.466064453125,-1647.3470458984375,declaration,new
2304.466064453125,-1647.3470458984375,identifier,SecretKeySpec
2513.102294921875,-1515.0263671875,delimiter,(
2472.9384765625,-1419.996337890625,identifier,keyParam
2589.394287109375,-1584.2646484375,delimiter,","
2580.18310546875,-1403.8602294921875,identifier,KEY_ALGO
2640.5537109375,-1488.57568359375,delimiter,)
1995.5714111328125,-1970.1068115234375,delimiter,;
-415.41839599609375,109.74169921875,return_exception,try
1190.8948974609375,1197.1944580078125,delimiter,{
969.7030029296875,1336.704345703125,identifier,Cipher
747.571044921875,1400.733642578125,identifier,cipher
780.9603271484375,1476.5087890625,assignment_operator,=
567.3493041992188,1505.7369384765625,identifier,Cipher
477.4885559082031,1539.2813720703125,delimiter,.
556.9700317382812,1603.8162841796875,identifier,getInstance
423.8236999511719,1727.3822021484375,delimiter,(
325.38848876953125,1752.141357421875,identifier,ALGO_CBC
347.5559387207031,1652.890380859375,delimiter,)
969.7030029296875,1336.704345703125,delimiter,;
1681.037109375,1605.7254638671875,identifier,cipher
1646.670166015625,1514.321044921875,delimiter,.
1584.6182861328125,1590.7283935546875,identifier,init
1983.5914306640625,1937.2716064453125,delimiter,(
2382.1943359375,1723.6839599609375,identifier,Cipher
2382.1943359375,1723.6839599609375,delimiter,.
2382.1943359375,1723.6839599609375,identifier,ENCRYPT_MODE
2111.940673828125,1895.6058349609375,delimiter,","
