language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
java,graphcodebert,0,1,ast,6,7,0.3415141562207786,0.32523981740249264,0.3707593643969697
java,graphcodebert,0,1,dfg,7,8,0.12695221562520653,0.07602404754871771,0.6308353376094256
java,graphcodebert,1,2,ast,0,1,0.3255333924692385,0.4007572370283066,0.280189607248791
java,graphcodebert,1,2,dfg,9,10,0.09943015202083086,0.054984349626004465,0.6249138820357952
java,graphcodebert,2,3,ast,3,4,0.33497672298621256,0.3705435457084305,0.3157682177506755
java,graphcodebert,2,3,dfg,4,5,0.09020531141870018,0.05051572839973212,0.5304624688158204
java,graphcodebert,3,4,ast,9,10,0.3600646025522728,0.3800096277733395,0.35072448664156697
java,graphcodebert,3,4,dfg,4,5,0.09260901096899014,0.050366586629713536,0.6946972579280224
java,graphcodebert,4,5,ast,3,4,0.32266787463336116,0.329669187205469,0.32535004162433123
java,graphcodebert,4,5,dfg,6,7,0.1189980510810393,0.06633493792438772,0.6974244564651224
java,graphcodebert,5,6,ast,8,9,0.3543804797872922,0.42716201950878563,0.3114163760855221
java,graphcodebert,5,6,dfg,6,7,0.15152099716908757,0.0879422684931923,0.6854503892953767
java,graphcodebert,6,7,ast,6,7,0.336837206810574,0.357315463543979,0.32806927020397425
java,graphcodebert,6,7,dfg,2,3,0.11509994254008611,0.06410467131010665,0.7008383757413951
java,graphcodebert,7,8,ast,11,12,0.3021825600126966,0.509679614447376,0.21872809532963405
java,graphcodebert,7,8,dfg,9,10,0.09324952573617878,0.051556651333146915,0.6051084269500516
java,graphcodebert,8,9,ast,6,7,0.25988760792790827,0.423387783207592,0.1913034945631521
java,graphcodebert,8,9,dfg,1,2,0.010630385378851151,0.006752878068072487,0.028404268829080367
java,graphcodebert,9,10,ast,2,3,0.2343115584653035,0.44593227950266784,0.1619971747016458
java,graphcodebert,9,10,dfg,10,11,0.05978842001955655,0.043006694706956686,0.12228617393935567
java,graphcodebert,10,11,ast,4,5,0.13298941090878236,0.2475647423429258,0.09465559477470378
java,graphcodebert,10,11,dfg,6,7,0.2145339733894519,0.13195240318748983,0.7171100527265895
java,graphcodebert,11,12,ast,11,12,0.18334171176729644,0.2878678421093961,0.13872109202112387
java,graphcodebert,11,12,dfg,2,3,0.11803654294354002,0.06591635868489483,0.7144779587153445
