x,y,role,token
1606.9139404296875,78.03153228759766,other,public
1561.1121826171875,106.68559265136719,other,static
1736.2442626953125,144.07247924804688,other,byte
1804.6427001953125,98.77342987060547,delimiter,[
1764.0986328125,65.50138854980469,delimiter,]
1627.84423828125,169.7658233642578,identifier,encrypt
1618.130615234375,287.3562927246094,delimiter,(
1772.199951171875,364.23114013671875,other,byte
1757.212646484375,445.1053771972656,delimiter,[
1757.212646484375,445.1053771972656,delimiter,]
1673.822021484375,359.2794494628906,identifier,keyParam
1536.2132568359375,327.8628234863281,delimiter,","
1547.122314453125,509.08978271484375,other,byte
1463.647705078125,494.0669860839844,delimiter,[
1478.460693359375,549.3607788085938,delimiter,]
1538.0125732421875,413.2862854003906,identifier,dataToEncryptParam
1594.319091796875,347.3081970214844,delimiter,","
1394.17431640625,225.11073303222656,other,byte
1363.4068603515625,304.63958740234375,delimiter,[
1324.099609375,263.1140441894531,delimiter,]
1470.0791015625,282.5542297363281,identifier,ivParam
1558.220947265625,267.12994384765625,delimiter,)
1714.810546875,-191.369873046875,delimiter,{
2013.64111328125,-362.2668762207031,control_flow,if
1991.812255859375,-269.622314453125,delimiter,(
2012.975341796875,-192.9439239501953,identifier,dataToEncryptParam
2085.0146484375,-208.67626953125,logical_comparison,==
2060.249755859375,-148.8126220703125,literal,null
2052.056640625,-279.17962646484375,delimiter,)
2071.44287109375,-457.364013671875,delimiter,{
2142.4208984375,-532.1072998046875,return_exception,throw
2259.37646484375,-557.5430908203125,declaration,new
2213.929931640625,-602.0694580078125,identifier,FluidClientException
2265.40234375,-685.0353393554688,delimiter,(
2395.149658203125,-602.737548828125,other,"""No data to encrypt provided. """
2319.83154296875,-640.7112426757812,delimiter,","
2443.959716796875,-754.7484741210938,identifier,FluidClientException
2443.47216796875,-823.698974609375,delimiter,.
2376.982666015625,-810.572265625,identifier,ErrorCode
2321.980712890625,-754.5755615234375,delimiter,.
2377.673828125,-716.3186645507812,identifier,AES_256
2319.83154296875,-640.7112426757812,delimiter,)
2186.975341796875,-489.5986022949219,delimiter,;
2115.272216796875,-419.6936340332031,delimiter,}
1595.9073486328125,-253.75721740722656,identifier,Key
1575.2957763671875,-370.81378173828125,identifier,key
1528.3751220703125,-332.7096862792969,assignment_operator,=
1465.95166015625,-403.38555908203125,declaration,new
1518.9691162109375,-445.92437744140625,identifier,SecretKeySpec
1386.79443359375,-443.855224609375,delimiter,(
1497.768798828125,-532.0756225585938,identifier,keyParam
1442.5260009765625,-487.6503601074219,delimiter,","
1430.2271728515625,-561.9954223632812,identifier,KEY_ALGO
1373.2232666015625,-516.6250610351562,delimiter,)
1640.40234375,-289.79705810546875,delimiter,;
-394.9549560546875,257.4112548828125,return_exception,try
44.18742370605469,-1914.988037109375,delimiter,{
166.71597290039062,-1927.7060546875,identifier,Cipher
274.13446044921875,-1943.0146484375,identifier,cipher
265.2315368652344,-1881.718017578125,assignment_operator,=
362.6170959472656,-1899.9571533203125,identifier,Cipher
348.372314453125,-1837.37255859375,delimiter,.
366.6165466308594,-1963.99462890625,identifier,getInstance
