x,y,role,token
-2.135366916656494,-23.549768447875977,other,public
-3.189770221710205,-22.685842514038086,other,static
-18.402732849121094,-142.05633544921875,other,byte
-10.732266426086426,-161.21693420410156,delimiter,[
-8.710321426391602,-159.9014129638672,delimiter,]
-43.78927230834961,-21.36856460571289,identifier,encrypt
-13.264298439025879,-27.93001937866211,delimiter,(
-18.88114356994629,-144.32284545898438,other,byte
-13.472681999206543,-161.83526611328125,delimiter,[
-7.2401275634765625,-156.92860412597656,delimiter,]
-51.39092254638672,-27.926464080810547,identifier,keyParam
-12.32120132446289,-29.919973373413086,delimiter,","
-17.157072067260742,-145.0168914794922,other,byte
-14.459125518798828,-160.3646240234375,delimiter,[
-8.404333114624023,-155.62564086914062,delimiter,]
-45.121376037597656,-24.972522735595703,identifier,dataToEncryptParam
-11.607159614562988,-31.123199462890625,delimiter,","
-16.337778091430664,-143.51748657226562,other,byte
-13.321423530578613,-158.96839904785156,delimiter,[
-10.063265800476074,-156.38047790527344,delimiter,]
-48.88449478149414,-27.50277328491211,identifier,ivParam
-1.5007336139678955,-34.917110443115234,delimiter,)
-2.0970075130462646,-33.508480072021484,delimiter,{
-6.0190887451171875,3.594397783279419,control_flow,if
-7.229470252990723,2.991816759109497,delimiter,(
-43.62696838378906,-25.82976722717285,identifier,dataToEncryptParam
-7.628077030181885,8.432242393493652,logical_comparison,==
-7.770844459533691,9.886229515075684,literal,null
1.4415407180786133,1.3563921451568604,delimiter,)
2.828766107559204,1.445575475692749,delimiter,{
83.99742889404297,-4.109597206115723,return_exception,throw
85.17022705078125,2.438084602355957,declaration,new
72.8502426147461,62.89056396484375,identifier,FluidClientException
8.301841735839844,11.566475868225098,delimiter,(
-3.9298808574676514,15.827232360839844,other,"""No data to encrypt provided. """
-29.30483627319336,20.849870681762695,delimiter,","
71.07784271240234,61.42325210571289,identifier,FluidClientException
37.97752380371094,104.3061752319336,delimiter,.
45.1309700012207,86.50151824951172,identifier,ErrorCode
36.46023178100586,103.56690216064453,delimiter,.
24.180742263793945,73.93998718261719,identifier,AES_256
4.933823108673096,-40.27128601074219,delimiter,)
1.964863657951355,-57.74525833129883,delimiter,;
5.938992977142334,-55.863460540771484,delimiter,}
-57.094974517822266,-34.3785514831543,identifier,Key
-57.234649658203125,-32.760013580322266,identifier,key
-23.51075553894043,-61.01368713378906,assignment_operator,=
-28.955841064453125,-65.31448364257812,declaration,new
-51.900413513183594,-33.27499008178711,identifier,SecretKeySpec
-23.718149185180664,-47.34193420410156,delimiter,(
