language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
java,plbart,0,1,ast,7,8,0.07478327035849426,0.08681420695987482,0.07738267237477289
java,plbart,0,1,dfg,5,6,0.14093089007035617,0.08532573641052714,0.6484732018792124
java,plbart,1,2,ast,3,4,0.3904848088706244,0.3776564915972201,0.4161856243865542
java,plbart,1,2,dfg,0,1,0.13573135201624797,0.0798593671316935,0.6581242045151171
java,plbart,2,3,ast,7,8,0.346635328079394,0.3391684079502455,0.3645629963322226
java,plbart,2,3,dfg,8,9,0.0894084559957397,0.050038797106097925,0.6914816961121146
java,plbart,3,4,ast,1,2,0.33499232602656065,0.3195860234752994,0.364043723186398
java,plbart,3,4,dfg,7,8,0.08246780179480684,0.04440942400044451,0.7074583857549026
java,plbart,4,5,ast,4,5,0.34044909727503475,0.3486289220856652,0.3434047259450951
java,plbart,4,5,dfg,10,11,0.021122961737551,0.011045036291795539,0.3351902094971969
java,plbart,5,6,ast,5,6,0.37326465446119356,0.46634055015197745,0.3186835886336591
java,plbart,5,6,dfg,7,8,0.08595719130452144,0.04655174259014389,0.718456752862655
