language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
java,unixcoder,0,1,ast,6,7,0.33462214817014185,0.4427456501555889,0.27526239098380806
java,unixcoder,0,1,dfg,5,6,0.13331574415685682,0.07675324931022075,0.6752267620395672
java,unixcoder,1,2,ast,6,7,0.3319372165646793,0.3619918423861064,0.3150947500531527
java,unixcoder,1,2,dfg,10,11,0.12565288202274896,0.07044456469461094,0.6946107761092816
java,unixcoder,2,3,ast,6,7,0.32616628022936006,0.3346100168262574,0.33008432606135474
java,unixcoder,2,3,dfg,2,3,0.1034518238190122,0.05677968128724018,0.7059733107255985
java,unixcoder,3,4,ast,11,12,0.3304289180412747,0.5670756552717491,0.23887493528463283
java,unixcoder,3,4,dfg,9,10,0.12470409268886408,0.09579990206584135,0.27348931812381333
java,unixcoder,4,5,ast,9,10,0.29812150833315215,0.44959288667890746,0.22690104709132478
java,unixcoder,4,5,dfg,1,2,0.10467535852092963,0.05814109002239828,0.6537372744346409
java,unixcoder,5,6,ast,0,1,0.27556526318016034,0.40830220166227194,0.21181367166084514
java,unixcoder,5,6,dfg,10,11,0.1361013522436547,0.0795160211420177,0.5774100220549568
java,unixcoder,6,7,ast,11,12,0.35533033263697017,0.47056297029272676,0.2918728410742643
java,unixcoder,6,7,dfg,0,1,0.06166447707284696,0.03471999117740872,0.3837744180025695
java,unixcoder,7,8,ast,10,11,0.26489346988110846,0.5054502782065254,0.18275161614497723
java,unixcoder,7,8,dfg,8,9,0.025268399915268167,0.014606640219590792,0.11023773511658609
java,unixcoder,8,9,ast,5,6,0.14615012963266302,0.5277007855130728,0.08780504809964623
java,unixcoder,8,9,dfg,6,7,0.01908976613993745,0.010818974250301396,0.11820930580292946
java,unixcoder,9,10,ast,10,11,0.13340167279957904,0.20032442681062956,0.11366159815208196
java,unixcoder,9,10,dfg,5,6,0.0906714289705583,0.06253052898847959,0.35778773782113893
java,unixcoder,10,11,ast,8,9,0.08610084767316044,0.2308668758301014,0.0632043732379028
java,unixcoder,10,11,dfg,9,10,0.09247091878156574,0.09069878267020444,0.18426736090280155
java,unixcoder,11,12,ast,11,12,0.07970187096148247,0.24812730992427207,0.0669444415272453
java,unixcoder,11,12,dfg,2,3,0.0685591380801474,0.04682380795863126,0.48156796698310955
