x,y,role,token
10.966032028198242,14.92271614074707,other,public
11.68014144897461,16.020687103271484,other,static
103.47721099853516,29.56913948059082,other,byte
112.33039855957031,20.119199752807617,delimiter,[
116.39884948730469,21.732791900634766,delimiter,]
13.351612091064453,7.3632917404174805,identifier,encrypt
18.22938346862793,10.854730606079102,delimiter,(
104.88343048095703,29.942197799682617,other,byte
111.15471649169922,20.785110473632812,delimiter,[
116.50812530517578,23.097219467163086,delimiter,]
10.561517715454102,2.453277826309204,identifier,keyParam
19.847267150878906,11.211381912231445,delimiter,","
104.79588317871094,28.59335708618164,other,byte
111.8912353515625,21.812379837036133,delimiter,[
115.34745025634766,23.42572784423828,delimiter,]
11.677016258239746,6.63633918762207,identifier,dataToEncryptParam
20.560501098632812,11.486644744873047,delimiter,","
105.72029113769531,28.95583152770996,other,byte
110.8170166015625,22.1339054107666,delimiter,[
115.99810791015625,24.343246459960938,delimiter,]
13.82321548461914,2.5856289863586426,identifier,ivParam
16.813352584838867,15.948522567749023,delimiter,)
16.0848445892334,15.872572898864746,delimiter,{
8.022077560424805,23.79249382019043,control_flow,if
7.781028747558594,24.400436401367188,delimiter,(
10.37490463256836,6.770812034606934,identifier,dataToEncryptParam
-0.5692570209503174,24.71693229675293,logical_comparison,==
0.1415579468011856,24.972272872924805,literal,null
2.5554051399230957,27.78763771057129,delimiter,)
2.9985134601593018,28.312618255615234,delimiter,{
-63.63370895385742,-27.111417770385742,return_exception,throw
-40.9377555847168,-18.34862518310547,declaration,new
-69.4845199584961,-99.04371643066406,identifier,FluidClientException
-4.037806510925293,125.91727447509766,delimiter,(
7.93255090713501,13.836012840270996,other,"""No data to encrypt provided. """
47.107933044433594,-28.07389259338379,delimiter,","
-68.78157043457031,-99.34417724609375,identifier,FluidClientException
-31.822568893432617,-130.85694885253906,delimiter,.
55.2330436706543,-124.4548110961914,identifier,ErrorCode
19.79810333251953,-79.04327392578125,delimiter,.
99.84286499023438,-63.60041427612305,identifier,AES_256
67.93811798095703,54.77186584472656,delimiter,)
47.877967834472656,38.573848724365234,delimiter,;
45.87842559814453,37.962623596191406,delimiter,}
5.797915458679199,-4.438285827636719,identifier,Key
5.656172752380371,-3.4035565853118896,identifier,key
-3.8411240577697754,-11.028816223144531,assignment_operator,=
-6.403066158294678,-9.454161643981934,declaration,new
6.964367866516113,-7.429913520812988,identifier,SecretKeySpec
8.37868881225586,-9.800410270690918,delimiter,(
10.09421443939209,1.5411955118179321,identifier,keyParam
25.592254638671875,6.487346649169922,delimiter,","
12.105034828186035,-3.231877565383911,identifier,KEY_ALGO
33.69200134277344,12.469498634338379,delimiter,)
36.58554458618164,13.915452003479004,delimiter,;
14.961302757263184,27.627029418945312,return_exception,try
15.432581901550293,28.040468215942383,delimiter,{
0.09987306594848633,-29.319597244262695,identifier,Cipher
-4.326050758361816,-28.151229858398438,identifier,cipher
-3.379091262817383,-11.651959419250488,assignment_operator,=
-0.9424309134483337,-28.934070587158203,identifier,Cipher
2.066406488418579,-18.624881744384766,delimiter,.
12.795228004455566,-14.158404350280762,identifier,getInstance
14.323944091796875,-13.533021926879883,delimiter,(
12.938718795776367,-3.810990571975708,identifier,ALGO_CBC
33.59081268310547,11.714140892028809,delimiter,)
37.499122619628906,13.97232437133789,delimiter,;
-3.373356580734253,-26.980987548828125,identifier,cipher
-0.21294909715652466,-18.125062942504883,delimiter,.
16.761096954345703,-14.490406036376953,identifier,init
15.66128158569336,-13.476619720458984,delimiter,(
-0.41067519783973694,-28.063602447509766,identifier,Cipher
2.834519386291504,-18.874971389770508,delimiter,.
13.956581115722656,-4.493320941925049,identifier,ENCRYPT_MODE
27.32809829711914,5.260924816131592,delimiter,","
5.861622333526611,-2.008975028991699,identifier,key
26.534626007080078,5.800327301025391,delimiter,","
-7.125532627105713,-8.983924865722656,declaration,new
15.735084533691406,1.2383544445037842,identifier,IvParameterSpec
8.732168197631836,-10.413612365722656,delimiter,(
14.57408332824707,2.07525372505188,identifier,ivParam
34.068851470947266,18.05109977722168,delimiter,)
35.39389419555664,16.844051361083984,delimiter,)
36.629791259765625,15.403837203979492,delimiter,;
8.151288032531738,9.0468111038208,return_exception,return
-3.4148828983306885,-26.21199607849121,identifier,cipher
-0.898829460144043,-18.338336944580078,delimiter,.
18.287548065185547,-11.029532432556152,identifier,doFinal
17.554536819458008,-11.526511192321777,delimiter,(
9.750741004943848,7.392602920532227,identifier,dataToEncryptParam
34.92702865600586,19.13829231262207,delimiter,)
35.63020706176758,20.476459503173828,delimiter,;
37.829742431640625,30.745229721069336,delimiter,}
-36.367286682128906,73.89747619628906,return_exception,catch
-46.005374908447266,86.23066711425781,delimiter,(
-7.734193325042725,14.978281021118164,identifier,InvalidKeyException
-137.73098754882812,25.226764678955078,identifier,except
-2.6935014724731445,71.42465209960938,delimiter,)
-1.9664602279663086,66.65550231933594,delimiter,{
-61.9935188293457,-27.00088119506836,return_exception,throw
-42.38374328613281,-18.87017822265625,declaration,new
-72.53801727294922,-97.55685424804688,identifier,FluidClientException
-5.618229389190674,126.52937316894531,delimiter,(
5.949753284454346,12.537301063537598,other,"""Key: Unable to encrypt data. """
-15.910490036010742,-64.01811981201172,other,+
-129.95535278320312,37.06230926513672,identifier,except
90.51905822753906,-16.3544979095459,delimiter,.
-103.11170196533203,-13.299997329711914,identifier,getMessage
-82.206787109375,24.890361785888672,delimiter,(
-81.33403778076172,34.64634704589844,delimiter,)
49.79945373535156,-46.505638122558594,delimiter,","
-127.46685791015625,35.54214859008789,identifier,except
49.693111419677734,-32.4528694152832,delimiter,","
-75.92576599121094,-91.47219848632812,identifier,FluidClientException
-31.46360206604004,-129.1432647705078,delimiter,.
54.12566375732422,-123.22384643554688,identifier,ErrorCode
19.84760856628418,-80.71105194091797,delimiter,.
100.4097900390625,-61.99365234375,identifier,AES_256
69.42215728759766,56.56105422973633,delimiter,)
49.48705291748047,41.07318115234375,delimiter,;
38.01955032348633,32.66368103027344,delimiter,}
-37.31233215332031,72.66478729248047,return_exception,catch
-45.220401763916016,85.0139389038086,delimiter,(
-6.925589561462402,14.680105209350586,identifier,InvalidAlgorithmParameterException
-137.283203125,23.943565368652344,identifier,except
-2.4356980323791504,72.84574127197266,delimiter,)
-1.2445098161697388,65.43547821044922,delimiter,{
-60.670570373535156,-26.99795150756836,return_exception,throw
-43.1721076965332,-19.827760696411133,declaration,new
-72.88585662841797,-96.5325698852539,identifier,FluidClientException
-6.903947353363037,126.52984619140625,delimiter,(
4.803836822509766,12.827059745788574,other,"""Algo: Unable to encrypt data. """
-15.235757827758789,-64.99181365966797,other,+
-129.97366333007812,38.371150970458984,identifier,except
90.99346923828125,-15.184269905090332,delimiter,.
-101.78826141357422,-13.442299842834473,identifier,getMessage
-81.89643096923828,23.706745147705078,delimiter,(
-80.8779067993164,33.57120895385742,delimiter,)
50.64597702026367,-47.34092330932617,delimiter,","
-126.387451171875,35.96902847290039,identifier,except
49.412322998046875,-31.264789581298828,delimiter,","
-76.59371185302734,-90.46182250976562,identifier,FluidClientException
-30.22026252746582,-129.03692626953125,delimiter,.
53.53791046142578,-122.1886215209961,identifier,ErrorCode
21.055110931396484,-80.69005584716797,delimiter,.
101.48468017578125,-61.66923522949219,identifier,AES_256
68.90885162353516,57.622962951660156,delimiter,)
50.59988784790039,41.32627487182617,delimiter,;
37.66684341430664,33.782840728759766,delimiter,}
-37.161495208740234,71.61772918701172,return_exception,catch
-45.80229187011719,84.06364440917969,delimiter,(
-5.321882247924805,14.022076606750488,identifier,IllegalBlockSizeException
-137.49252319335938,22.831287384033203,identifier,except
-1.4193350076675415,73.52310943603516,delimiter,)
-0.15271471440792084,65.08786010742188,delimiter,{
-59.798057556152344,-26.08640480041504,return_exception,throw
-44.413719177246094,-19.925260543823242,declaration,new
-72.58238983154297,-95.1518783569336,identifier,FluidClientException
-7.845212936401367,125.74537658691406,delimiter,(
5.008878707885742,14.239917755126953,other,"""Block: Unable to encrypt data. """
-13.929435729980469,-65.24464416503906,other,+
-129.73072814941406,39.76371383666992,identifier,except
92.16507720947266,-14.606623649597168,delimiter,.
-100.94070434570312,-14.350963592529297,identifier,getMessage
-80.97486877441406,22.772171020507812,delimiter,(
-79.69660949707031,32.89198303222656,delimiter,)
50.55321502685547,-48.65685272216797,delimiter,","
-125.196044921875,36.87544250488281,identifier,except
50.15767288208008,-30.179319381713867,delimiter,","
-76.53116607666016,-88.96714782714844,identifier,FluidClientException
-29.319068908691406,-128.04835510253906,delimiter,.
53.693328857421875,-120.71524810791016,identifier,ErrorCode
22.044322967529297,-81.72615051269531,delimiter,.
