language,model,layer_index,layer_number_one_based,distance_mode,method,graph,head_index,head_number_one_based,ged_per_node
javascript,codet5,0,1,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.525108936733915
javascript,codet5,0,1,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,3.192381771309222
javascript,codet5,0,1,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,2.0008934168103107
javascript,codet5,1,2,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.5223860990795988
javascript,codet5,1,2,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,5,6,2.2762170517522753
javascript,codet5,1,2,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,0.9205627522319089
javascript,codet5,2,3,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.3823192108084257
javascript,codet5,2,3,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,1.9135977697383975
javascript,codet5,2,3,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,0.5276995615876892
javascript,codet5,3,4,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.3955148964759907
javascript,codet5,3,4,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,2.348562794992153
javascript,codet5,3,4,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,1.1258559317913424
javascript,codet5,4,5,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.589273590382064
javascript,codet5,4,5,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,2.538499406258083
javascript,codet5,4,5,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,1.019654663452274
javascript,codet5,5,6,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.6282764983392046
javascript,codet5,5,6,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,2.4499302443443876
javascript,codet5,5,6,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,1.1898474482287984
javascript,codet5,6,7,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.6653589724699516
javascript,codet5,6,7,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,2.666922849886487
javascript,codet5,6,7,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,1.3580510456079702
javascript,codet5,7,8,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.2670431740754355
javascript,codet5,7,8,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,6,7,2.473695870077427
javascript,codet5,7,8,legacy,legacy_networkx_optimize_first_candidate,dfg,6,7,1.3770057343808617
javascript,codet5,8,9,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.2220775855581127
javascript,codet5,8,9,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,2.53761977608811
javascript,codet5,8,9,legacy,legacy_networkx_optimize_first_candidate,dfg,6,7,1.6996329412385967
javascript,codet5,9,10,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.7515585392731405
javascript,codet5,9,10,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,2,3,2.6777124855156975
javascript,codet5,9,10,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,1.6609925001528711
javascript,codet5,10,11,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.424096560661047
javascript,codet5,10,11,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,3,4,2.781900366968101
javascript,codet5,10,11,legacy,legacy_networkx_optimize_first_candidate,dfg,7,8,1.5427324598262704
javascript,codet5,11,12,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,3.721131408515356
javascript,codet5,11,12,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,3.1389153575232123
javascript,codet5,11,12,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,2.17760391894353
