language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
javascript,codet5,0,1,ast,7,8,0.32970586785592526,0.39288213234060587,0.28980590668017525
javascript,codet5,0,1,dfg,4,5,0.0947939511787868,0.05475310423051373,0.5890377577503272
javascript,codet5,1,2,ast,7,8,0.3284527705610678,0.4184681331582773,0.27578546291365225
javascript,codet5,1,2,dfg,4,5,0.1341838829788827,0.08175336359861521,0.4806858863409591
javascript,codet5,2,3,ast,7,8,0.3220690513723731,0.4708743914685979,0.24943837513914668
javascript,codet5,2,3,dfg,0,1,0.17258769655867537,0.11024407492443726,0.5318203500690869
javascript,codet5,3,4,ast,7,8,0.3521909632320457,0.4574777904057691,0.29250734410475515
javascript,codet5,3,4,dfg,0,1,0.12045968590857212,0.06842327764262834,0.6095422017997114
javascript,codet5,4,5,ast,7,8,0.33757747106616065,0.42278293342451806,0.2875085957810204
javascript,codet5,4,5,dfg,4,5,0.1524320026501737,0.11419110399027496,0.40616057667620686
javascript,codet5,5,6,ast,7,8,0.33706129553375624,0.4113867498674764,0.2927720891545446
javascript,codet5,5,6,dfg,0,1,0.09138211681355494,0.05365734768763957,0.40972036478301294
javascript,codet5,6,7,ast,7,8,0.33034975912474346,0.4025962568189098,0.28753035136253496
javascript,codet5,6,7,dfg,0,1,0.10276181451821113,0.05799433183991059,0.5423652698640863
javascript,codet5,7,8,ast,3,4,0.33295127523252066,0.4618422152370965,0.26637183528066477
javascript,codet5,7,8,dfg,0,1,0.08581289045820606,0.047559116236333625,0.5606818036765627
javascript,codet5,8,9,ast,3,4,0.33603087693285316,0.48757011837040554,0.26172160366404695
javascript,codet5,8,9,dfg,5,6,0.11766234360877036,0.06659704827412408,0.609536664545348
javascript,codet5,9,10,ast,7,8,0.3384755065276292,0.40439434232164734,0.298518762335687
javascript,codet5,9,10,dfg,5,6,0.12306238460390799,0.0707406648780745,0.5672958867577309
javascript,codet5,10,11,ast,1,2,0.2721050450714807,0.25240623821313934,0.30439595280279574
javascript,codet5,10,11,dfg,7,8,0.1202522945388046,0.06941822423333319,0.5366519303897281
javascript,codet5,11,12,ast,3,4,0.3049489872218993,0.3805650043526497,0.26052008921726044
javascript,codet5,11,12,dfg,6,7,0.060248209807326696,0.032583833294773656,0.5204932395509262
