x,y,role,token
13.109811782836914,141.0767822265625,function,function
27.77511215209961,-21.083065032958984,identifier,findIndex
-11.180902481079102,-195.1251983642578,(,(
-7.255781173706055,-42.04228973388672,identifier,predicate
-26.4265193939209,-47.46609115600586,",",","
-28.160030364990234,1.6215157508850098,identifier,context
-163.81968688964844,-25.86831283569336,),)
-80.53414916992188,118.58043670654297,{,{
64.35960388183594,123.79473876953125,if,if
-103.94647216796875,-95.78707885742188,(,(
-150.58709716796875,11.03254222869873,),)
-38.92551040649414,161.80157470703125,{,{
-18.160160064697266,-18.929384231567383,identifier,TypeError
-23.76848602294922,-114.52264404296875,(,(
-76.89520263671875,10.342331886291504,),)
-117.61370086669922,59.77480697631836,},}
55.58076095581055,120.74461364746094,if,if
-102.59135437011719,-97.50914764404297,(,(
-7.238938331604004,-42.03569030761719,identifier,predicate
-149.66281127929688,12.25829029083252,),)
-38.85863494873047,161.10426330566406,{,{
-18.200414657592773,-18.92447853088379,identifier,TypeError
-23.663921356201172,-113.93357849121094,(,(
-77.22505187988281,10.388327598571777,),)
-118.98106384277344,59.55879592895508,},}
31.538145065307617,-49.685665130615234,identifier,list
21.33877182006836,60.93476104736328,=,=
66.76191711425781,23.725433349609375,identifier,Object
-14.179783821105957,-87.99231719970703,(,(
-75.87788391113281,-2.156642198562622,),)
145.98477172851562,-50.20641326904297,identifier,length
17.998804092407227,56.850746154785156,=,=
31.615129470825195,-49.90266036987305,identifier,list
120.55701446533203,35.087425231933594,.,.
147.6626434326172,-46.81081771850586,identifier,length
57.78792190551758,110.27368927001953,for,for
-102.95645141601562,-110.41627502441406,(,(
112.47496795654297,-90.57186889648438,identifier,i
1.342516541481018,66.07392120361328,=,=
113.400390625,-97.9155044555664,identifier,i
-12.137096405029297,58.32794189453125,<,<
147.54986572265625,-50.84074020385742,identifier,length
112.27388000488281,-99.25816345214844,identifier,i
-155.36402893066406,1.7221543788909912,),)
-50.13193130493164,150.82701110839844,{,{
57.733802795410156,130.46888732910156,if,if
-91.27398681640625,-95.82501983642578,(,(
-7.235940456390381,-42.033172607421875,identifier,predicate
112.30144500732422,25.98954963684082,.,.
-0.0942104235291481,20.586334228515625,identifier,call
-28.784482955932617,-96.33541870117188,(,(
-28.11311149597168,1.6755902767181396,identifier,context
4.1722283363342285,-7.622739315032959,",",","
31.555749893188477,-50.01490783691406,identifier,list
103.38540649414062,-99.8453369140625,identifier,i
-0.28923410177230835,1.849817156791687,",",","
106.1408920288086,-95.45196533203125,identifier,i
-1.5469152927398682,-2.215972661972046,",",","
31.36417579650879,-50.044395446777344,identifier,list
-62.6523323059082,13.779258728027344,),)
-140.42779541015625,13.70785140991211,),)
-37.6513557434082,154.44253540039062,{,{
11.646819114685059,198.12420654296875,return,return
105.72731018066406,-94.77826690673828,identifier,i
-127.05210876464844,74.79898834228516,},}
-118.55834197998047,69.3718032836914,},}
11.870233535766602,190.71995544433594,return,return
-135.68942260742188,-66.93537902832031,},}
11.487357139587402,144.23361206054688,function,function
31.353290557861328,-20.620180130004883,identifier,compileSass
-9.857701301574707,-196.82806396484375,(,(
20.6904296875,-50.92258834838867,identifier,_path
-29.22388458251953,-44.383544921875,",",","
48.798316955566406,12.813765525817871,identifier,ext
-27.863067626953125,-41.720088958740234,",",","
-11.402633666992188,-55.68476104736328,identifier,data
-26.53557777404785,-40.410404205322266,",",","
-44.57754898071289,-49.3302116394043,identifier,callback
-165.9766387939453,-23.355571746826172,),)
-82.32002258300781,122.96768188476562,{,{
45.1706428527832,-28.3027286529541,identifier,compiledCss
17.680768966674805,66.82103729248047,=,=
31.108482360839844,-20.620407104492188,identifier,sass
114.61543273925781,18.957170486450195,.,.
24.03816795349121,-16.710346221923828,identifier,renderSync
-36.83997344970703,-110.0901107788086,(,(
-45.39324188232422,129.6660614013672,{,{
-10.964810371398926,-55.182559967041016,identifier,data
-10.941512107849121,-55.72203826904297,identifier,data
-16.822731018066406,8.379290580749512,",",","
30.700908660888672,-22.556638717651367,identifier,outputStyle
-17.46566390991211,8.625101089477539,",",","
52.293914794921875,-28.147249221801758,identifier,importer
9.482959747314453,120.14661407470703,function,function
-52.120723724365234,-95.95905303955078,(,(
15.521186828613281,-47.736000061035156,identifier,url
-7.817722797393799,-11.197813034057617,",",","
41.72785186767578,-35.14974594116211,identifier,prev
-8.244945526123047,-11.585000038146973,",",","
