language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
javascript,codet5p_220,0,1,ast,7,8,0.34957461259303385,0.4234870812433544,0.3059379412499421
javascript,codet5p_220,0,1,dfg,4,5,0.07679951823161957,0.0789129427241732,0.18462828773953446
javascript,codet5p_220,1,2,ast,7,8,0.35202034963894,0.4254414484278856,0.30946726983832956
javascript,codet5p_220,1,2,dfg,4,5,0.15056130433970893,0.091382376834072,0.6002197253527315
javascript,codet5p_220,2,3,ast,7,8,0.32469005691661706,0.4639578310120395,0.25426221281577294
javascript,codet5p_220,2,3,dfg,0,1,0.1823708908497137,0.1298319173489844,0.44676672389542244
javascript,codet5p_220,3,4,ast,7,8,0.33764968433124787,0.4116359017341068,0.29415423371407073
javascript,codet5p_220,3,4,dfg,8,9,0.0777745830657245,0.055489894043039174,0.21582325925487522
javascript,codet5p_220,4,5,ast,3,4,0.27077820890696763,0.49775015784889304,0.19094100406866327
javascript,codet5p_220,4,5,dfg,4,5,0.19970071715546492,0.1533278697939984,0.41231350155575053
javascript,codet5p_220,5,6,ast,1,2,0.3271893233478365,0.3415555808599049,0.3223533312926915
javascript,codet5p_220,5,6,dfg,0,1,0.19905739017389795,0.16254637614317805,0.3096253124356377
javascript,codet5p_220,6,7,ast,7,8,0.27087087465240267,0.4431454930238954,0.19901686160152615
javascript,codet5p_220,6,7,dfg,0,1,0.11446144408798441,0.06539419116784913,0.5509221184761856
javascript,codet5p_220,7,8,ast,7,8,0.3461166235522339,0.5037069828998602,0.2684255503804873
javascript,codet5p_220,7,8,dfg,0,1,0.07664755803205758,0.04246191895671559,0.5183785099348186
javascript,codet5p_220,8,9,ast,7,8,0.31980488208033436,0.5122131154012519,0.2367046236526858
javascript,codet5p_220,8,9,dfg,5,6,0.10741200083554704,0.06019256031384982,0.6016946255908621
javascript,codet5p_220,9,10,ast,3,4,0.2950338725180364,0.389624034257347,0.24235556929973778
javascript,codet5p_220,9,10,dfg,0,1,0.11196370941031883,0.06902003018077023,0.3943758410430804
javascript,codet5p_220,10,11,ast,1,2,0.3025066532021636,0.2816592046897036,0.3368221791068984
javascript,codet5p_220,10,11,dfg,2,3,0.11087838321055746,0.06991089794362455,0.32020951215818694
javascript,codet5p_220,11,12,ast,7,8,0.3134333302830123,0.3522257545206753,0.29169333193882097
javascript,codet5p_220,11,12,dfg,6,7,0.05586845372284752,0.03073894176501361,0.44067122445078066
