x,y,role,token
-117.27867126464844,20.06499671936035,function,function
41.824134826660156,9.969245910644531,identifier,findIndex
-30.889598846435547,184.3248291015625,(,(
52.096282958984375,-3.9068970680236816,identifier,predicate
192.2394561767578,16.697711944580078,",",","
-27.718496322631836,-8.855454444885254,identifier,context
85.0121078491211,-154.15640258789062,),)
-115.00763702392578,-74.94863891601562,{,{
-183.5331573486328,9.102164268493652,if,if
-108.78516387939453,100.79293823242188,(,(
57.702903747558594,-153.62423706054688,),)
-99.50871276855469,-100.38531494140625,{,{
-8.57361125946045,7.127208709716797,identifier,TypeError
-56.85198974609375,121.24971008300781,(,(
7.430789947509766,-184.4058837890625,),)
-57.40776062011719,-7.982067108154297,},}
-165.1728973388672,8.470059394836426,if,if
-104.2540283203125,101.4903793334961,(,(
52.06538772583008,-3.9225900173187256,identifier,predicate
52.28772735595703,-154.43994140625,),)
-99.53251647949219,-99.45362091064453,{,{
-8.238362312316895,7.186238765716553,identifier,TypeError
-57.15780258178711,122.31938171386719,(,(
7.627058506011963,-184.10955810546875,),)
-59.12077331542969,-4.0525898933410645,},}
46.414737701416016,-28.121641159057617,identifier,list
-25.761768341064453,34.74534606933594,=,=
-4.7854132652282715,19.34963035583496,identifier,Object
-64.94188690185547,151.39085388183594,(,(
22.18297576904297,-175.98426818847656,),)
90.24436950683594,15.038294792175293,identifier,length
-24.66713523864746,39.34794998168945,=,=
46.03889846801758,-28.603967666625977,identifier,list
45.808528900146484,160.3777313232422,.,.
93.3228988647461,17.613739013671875,identifier,length
-176.46934509277344,21.878366470336914,for,for
-116.92969512939453,97.75890350341797,(,(
-13.689169883728027,-89.74144744873047,identifier,i
-16.87019920349121,58.89624786376953,=,=
-7.134399890899658,-89.35457611083984,identifier,i
-8.948918342590332,70.56232452392578,<,<
89.34591674804688,16.04747772216797,identifier,length
-5.875026226043701,-92.3877182006836,identifier,i
58.923484802246094,-145.46693420410156,),)
-108.21282196044922,-75.54413604736328,{,{
-178.29498291015625,6.5289177894592285,if,if
-110.46105194091797,107.39502716064453,(,(
52.05655288696289,-3.924726963043213,identifier,predicate
60.68034362792969,147.68580627441406,.,.
13.688148498535156,18.93782615661621,identifier,call
-62.00760269165039,135.3567657470703,(,(
-27.909740447998047,-8.34638500213623,identifier,context
169.39468383789062,24.80154037475586,",",","
46.9998779296875,-28.979873657226562,identifier,list
0.3416280746459961,-87.90438079833984,identifier,i
170.00155639648438,35.82905960083008,",",","
-2.068249225616455,-89.6192626953125,identifier,i
161.84219360351562,27.836671829223633,",",","
47.0572509765625,-29.00661849975586,identifier,list
18.56446075439453,-190.31202697753906,),)
48.89692306518555,-149.2323455810547,),)
-96.77684783935547,-93.87646484375,{,{
-144.50387573242188,-35.33403015136719,return,return
-0.27044638991355896,-92.06422424316406,identifier,i
-68.77413177490234,-20.9887638092041,},}
-69.2774429321289,-8.439549446105957,},}
-152.72657775878906,-29.448448181152344,return,return
-50.82721710205078,-137.98324584960938,},}
-117.92202758789062,19.97800064086914,function,function
43.776275634765625,6.1326165199279785,identifier,compileSass
-28.472084045410156,185.8592987060547,(,(
53.568729400634766,-37.316795349121094,identifier,_path
193.95401000976562,20.953229904174805,",",","
-25.57386589050293,7.459723949432373,identifier,ext
190.99314880371094,21.02497100830078,",",","
15.773200035095215,-53.59519958496094,identifier,data
188.07896423339844,19.395980834960938,",",","
-27.58469581604004,-24.016159057617188,identifier,callback
84.34383392333984,-156.4263458251953,),)
-119.42559051513672,-81.34979248046875,{,{
31.77638053894043,-13.952789306640625,identifier,compiledCss
-32.211727142333984,34.95878219604492,=,=
30.0894718170166,-3.665506601333618,identifier,sass
57.118743896484375,159.16888427734375,.,.
20.585376739501953,11.977901458740234,identifier,renderSync
-68.23841094970703,124.66695404052734,(,(
-87.74002838134766,-80.80215454101562,{,{
14.534133911132812,-53.45350646972656,identifier,data
14.655030250549316,-53.326316833496094,identifier,data
177.70529174804688,29.909029006958008,",",","
26.27587127685547,-12.038634300231934,identifier,outputStyle
177.51531982421875,38.380958557128906,",",","
34.5075798034668,-20.140485763549805,identifier,importer
-106.52085876464844,30.200239181518555,function,function
-47.77553176879883,161.67161560058594,(,(
33.049522399902344,-44.534366607666016,identifier,url
177.5760040283203,21.616544723510742,",",","
23.822965621948242,-27.968093872070312,identifier,prev
179.0295867919922,21.11611557006836,",",","
25.236595153808594,-11.501482009887695,identifier,done
70.36809539794922,-159.29954528808594,),)
-110.8781509399414,-75.38668823242188,{,{
-180.900634765625,7.691472053527832,if,if
-108.42678833007812,104.48340606689453,(,(
32.9350700378418,-44.474483489990234,identifier,url
46.83723831176758,149.09046936035156,.,.
23.46143913269043,22.56995391845703,identifier,startsWith
-47.28704833984375,124.19889831542969,(,(
15.526834487915039,-195.88014221191406,),)
52.08613204956055,-147.598388671875,),)
-107.80498504638672,-85.75603485107422,{,{
28.949373245239258,-42.12828063964844,identifier,newUrl
-19.73787498474121,33.95760726928711,=,=
56.36083984375,-38.49824523925781,identifier,path
58.141780853271484,150.0805206298828,.,.
23.381481170654297,41.355682373046875,identifier,join
-60.08251190185547,133.3944549560547,(,(
11.245261192321777,-11.145638465881348,identifier,__dirname
163.1862335205078,35.961910247802734,",",","
171.6502227783203,40.574642181396484,",",","
