language,model,layer_index,layer_number_one_based,distance_mode,method,graph,head_index,head_number_one_based,ged_per_node
javascript,graphcodebert,0,1,legacy,legacy_networkx_optimize_first_candidate,ast,9,10,3.034400638580619
javascript,graphcodebert,0,1,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,1.6633993803253067
javascript,graphcodebert,0,1,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,0.2940479220033524
javascript,graphcodebert,1,2,legacy,legacy_networkx_optimize_first_candidate,ast,2,3,3.050198939212741
javascript,graphcodebert,1,2,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,5,6,1.6477526763583532
javascript,graphcodebert,1,2,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,0.2991855070056233
javascript,graphcodebert,2,3,legacy,legacy_networkx_optimize_first_candidate,ast,9,10,3.03454680103398
javascript,graphcodebert,2,3,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,10,11,1.6443440653921086
javascript,graphcodebert,2,3,legacy,legacy_networkx_optimize_first_candidate,dfg,11,12,0.6744187038486639
javascript,graphcodebert,3,4,legacy,legacy_networkx_optimize_first_candidate,ast,6,7,3.0523235568911837
javascript,graphcodebert,3,4,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,2,3,1.638498107138746
javascript,graphcodebert,3,4,legacy,legacy_networkx_optimize_first_candidate,dfg,2,3,0.35812074199177507
javascript,graphcodebert,4,5,legacy,legacy_networkx_optimize_first_candidate,ast,2,3,3.0864941343450925
javascript,graphcodebert,4,5,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,5,6,1.812575836030733
javascript,graphcodebert,4,5,legacy,legacy_networkx_optimize_first_candidate,dfg,5,6,0.8214628513350805
javascript,graphcodebert,5,6,legacy,legacy_networkx_optimize_first_candidate,ast,3,4,2.9614224898968375
javascript,graphcodebert,5,6,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,11,12,1.7929099361873662
javascript,graphcodebert,5,6,legacy,legacy_networkx_optimize_first_candidate,dfg,11,12,0.47330516904295306
javascript,graphcodebert,6,7,legacy,legacy_networkx_optimize_first_candidate,ast,7,8,3.0326015581778156
javascript,graphcodebert,6,7,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,1.605909433136
javascript,graphcodebert,6,7,legacy,legacy_networkx_optimize_first_candidate,dfg,11,12,0.9260417538419665
javascript,graphcodebert,7,8,legacy,legacy_networkx_optimize_first_candidate,ast,8,9,3.1862685609895696
javascript,graphcodebert,7,8,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,7,8,1.7255675406366382
javascript,graphcodebert,7,8,legacy,legacy_networkx_optimize_first_candidate,dfg,7,8,0.9227253377179192
javascript,graphcodebert,8,9,legacy,legacy_networkx_optimize_first_candidate,ast,0,1,3.137217034493799
javascript,graphcodebert,8,9,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,8,9,1.663544344413425
javascript,graphcodebert,8,9,legacy,legacy_networkx_optimize_first_candidate,dfg,8,9,0.358419842778446
javascript,graphcodebert,9,10,legacy,legacy_networkx_optimize_first_candidate,ast,8,9,3.0858819114257026
javascript,graphcodebert,9,10,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,6,7,1.6821703195771267
javascript,graphcodebert,9,10,legacy,legacy_networkx_optimize_first_candidate,dfg,6,7,0.33939585776321685
javascript,graphcodebert,10,11,legacy,legacy_networkx_optimize_first_candidate,ast,0,1,3.268551039422781
javascript,graphcodebert,10,11,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,0,1,1.661449545123175
javascript,graphcodebert,10,11,legacy,legacy_networkx_optimize_first_candidate,dfg,10,11,0.44131114910528285
javascript,graphcodebert,11,12,legacy,legacy_networkx_optimize_first_candidate,ast,5,6,3.1355261034029946
javascript,graphcodebert,11,12,legacy,legacy_networkx_optimize_first_candidate,ast_wo_identifiers,4,5,1.652911622079128
javascript,graphcodebert,11,12,legacy,legacy_networkx_optimize_first_candidate,dfg,4,5,0.2803188524387485
