language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
javascript,graphcodebert,0,1,ast,6,7,0.3078081942298842,0.2789754500527664,0.35360684733623393
javascript,graphcodebert,0,1,dfg,7,8,0.1355137994220947,0.08169444379336539,0.558264932950372
javascript,graphcodebert,1,2,ast,0,1,0.3191544130571887,0.36841235757073143,0.2881381154784909
javascript,graphcodebert,1,2,dfg,9,10,0.09146395467081236,0.05104620883338367,0.5390858177691981
javascript,graphcodebert,2,3,ast,3,4,0.2971739168190401,0.30353063750585285,0.29963133736141606
javascript,graphcodebert,2,3,dfg,4,5,0.08396448847600771,0.0479850117524774,0.4070972423143857
javascript,graphcodebert,3,4,ast,9,10,0.3368385107304942,0.341947316560556,0.3405150871320441
javascript,graphcodebert,3,4,dfg,4,5,0.09010432622519804,0.049511088547899526,0.596553051646227
javascript,graphcodebert,4,5,ast,2,3,0.30628142724504115,0.41361509254151024,0.2474655093109242
javascript,graphcodebert,4,5,dfg,9,10,0.12404866315834659,0.07270024367694496,0.5685915908276086
javascript,graphcodebert,5,6,ast,3,4,0.3377785069350814,0.5443161124483398,0.24905926736759965
javascript,graphcodebert,5,6,dfg,6,7,0.14864464905545982,0.08708718877318256,0.6158647768077757
javascript,graphcodebert,6,7,ast,4,5,0.316038664737007,0.40926241187507745,0.2632732047213334
javascript,graphcodebert,6,7,dfg,2,3,0.11745344900797512,0.06663824087944797,0.5991115668134268
javascript,graphcodebert,7,8,ast,11,12,0.2942767461698753,0.4573355729105417,0.22122983015094125
javascript,graphcodebert,7,8,dfg,9,10,0.09263930892360762,0.052033137003566335,0.5102111727063438
javascript,graphcodebert,8,9,ast,6,7,0.3032479576237335,0.4425980997965451,0.23568768409472204
javascript,graphcodebert,8,9,dfg,1,2,0.014496358503691364,0.009396971742107681,0.03643987032971816
javascript,graphcodebert,9,10,ast,2,3,0.27163326214539735,0.44999157147412105,0.19872410870816093
javascript,graphcodebert,9,10,dfg,10,11,0.042171536070775416,0.028983071109079488,0.09637356034518337
javascript,graphcodebert,10,11,ast,3,4,0.13990714160209494,0.3121942694974002,0.09249714526697693
javascript,graphcodebert,10,11,dfg,6,7,0.1802529417103891,0.11159472728542116,0.5827858480368903
javascript,graphcodebert,11,12,ast,11,12,0.18787011145879037,0.2769827373400537,0.14569787020456626
javascript,graphcodebert,11,12,dfg,2,3,0.09790301863051598,0.05502136367740581,0.5464700833483352
