x,y,role,token
-141.376708984375,40.50431823730469,function,function
-34.10535430908203,73.38465118408203,identifier,findIndex
-101.96285247802734,22.960941314697266,(,(
-40.818603515625,86.35629272460938,identifier,predicate
-86.98041534423828,-54.54119873046875,",",","
-57.197261810302734,70.8862533569336,identifier,context
28.85027313232422,-158.6343536376953,),)
-75.78400421142578,-133.5171356201172,{,{
-164.80323791503906,-40.45549392700195,if,if
-146.14035034179688,-28.65229606628418,(,(
-30.068405151367188,-173.92564392089844,),)
-48.99348449707031,-163.2265625,{,{
-15.378580093383789,51.86307144165039,identifier,TypeError
-48.13313674926758,8.809809684753418,(,(
20.557836532592773,-117.31875610351562,),)
90.39000701904297,-124.88359832763672,},}
-167.18234252929688,-33.620296478271484,if,if
-150.69357299804688,-23.446630477905273,(,(
-40.82959747314453,86.32596588134766,identifier,predicate
-25.448375701904297,-174.10028076171875,),)
-49.77159118652344,-159.8247833251953,{,{
-15.456318855285645,52.53264236450195,identifier,TypeError
-47.401947021484375,8.225605010986328,(,(
22.212352752685547,-113.18278503417969,),)
87.6439437866211,-122.95901489257812,},}
-3.402691125869751,117.39640045166016,identifier,list
67.85350036621094,-28.552719116210938,=,=
-7.528234004974365,55.300575256347656,identifier,Object
-51.06410217285156,2.1924500465393066,(,(
18.883420944213867,-105.24053192138672,),)
81.41901397705078,86.30659484863281,identifier,length
65.41140747070312,-25.447559356689453,=,=
-3.3625335693359375,117.90375518798828,identifier,list
88.80448150634766,74.81166076660156,.,.
84.66168975830078,84.48944091796875,identifier,length
-147.8402099609375,-49.99494552612305,for,for
-142.17904663085938,-47.21815490722656,(,(
-5.630785942077637,161.41184997558594,identifier,i
80.94770812988281,-40.350311279296875,=,=
0.8981542587280273,162.71353149414062,identifier,i
6.326541900634766,-1.656997561454773,<,<
79.83229064941406,89.67739868164062,identifier,length
3.086987257003784,166.3743438720703,identifier,i
-17.478042602539062,-163.22537231445312,),)
-58.0571174621582,-145.7119140625,{,{
-171.1879119873047,-21.183197021484375,if,if
-160.86793518066406,-15.895293235778809,(,(
27.7800235748291,76.64033508300781,identifier,predicate
50.36394500732422,50.308631896972656,.,.
49.87590026855469,56.74312210083008,identifier,call
-35.67753601074219,-6.525447845458984,(,(
-59.09971237182617,70.81825256347656,identifier,context
-38.13101577758789,-50.47454833984375,",",","
-3.1842525005340576,118.54808044433594,identifier,list
3.233090400695801,154.91746520996094,identifier,i
-40.454532623291016,-51.42732620239258,",",","
4.413914680480957,158.17555236816406,identifier,i
-40.28690719604492,-51.584922790527344,",",","
-3.03468656539917,118.84030151367188,identifier,list
14.87319564819336,-91.69709014892578,),)
-10.517834663391113,-168.5186767578125,),)
-46.60336685180664,-149.5078887939453,{,{
129.92054748535156,-42.199974060058594,return,return
5.8100152015686035,155.9346466064453,identifier,i
82.67151641845703,-111.91776275634766,},}
76.52973175048828,-113.40681457519531,},}
133.8917999267578,-37.30716323852539,return,return
191.77671813964844,0.7323890328407288,},}
-140.1355438232422,44.07073211669922,function,function
-28.475914001464844,79.98223114013672,identifier,compileSass
-98.41928100585938,21.892690658569336,(,(
-40.10841369628906,108.54827117919922,identifier,_path
-89.64369201660156,-58.15591049194336,",",","
-2.469287395477295,90.7684326171875,identifier,ext
-85.58338928222656,-58.93086624145508,",",","
-49.328609466552734,98.02821350097656,identifier,data
-82.17241668701172,-57.091915130615234,",",","
-55.41366195678711,58.5373649597168,identifier,callback
28.132505416870117,-154.01065063476562,),)
-80.0611343383789,-137.5067596435547,{,{
-27.61659812927246,81.43079376220703,identifier,compiledCss
63.34630584716797,-42.02182388305664,=,=
-28.052490234375,80.39563751220703,identifier,sass
68.65895080566406,40.87105941772461,.,.
-15.65095043182373,70.48832702636719,identifier,renderSync
-58.189388275146484,-4.259484767913818,(,(
-46.715736389160156,-117.74920654296875,{,{
-50.63578414916992,97.35535430908203,identifier,data
-50.500579833984375,97.33032989501953,identifier,data
-56.44708251953125,-66.46113586425781,",",","
-17.90529441833496,81.41172790527344,identifier,outputStyle
-55.89537048339844,-66.484619140625,",",","
-10.929792404174805,79.60366821289062,identifier,importer
-129.79458618164062,37.070472717285156,function,function
-113.50827026367188,26.085763931274414,(,(
1.594510555267334,114.69011688232422,identifier,url
-79.88090515136719,-51.83229064941406,",",","
-7.032060623168945,79.100830078125,identifier,prev
-79.82938385009766,-51.85423278808594,",",","
-57.581668853759766,57.882850646972656,identifier,done
18.499359130859375,-154.4932861328125,),)
-65.12667846679688,-138.9990692138672,{,{
-169.21653747558594,-31.361942291259766,if,if
-152.5094757080078,-19.543529510498047,(,(
1.8244136571884155,115.55040740966797,identifier,url
54.268619537353516,36.82121276855469,.,.
-1.8988337516784668,63.65461349487305,identifier,startsWith
-58.177982330322266,13.158013343811035,(,(
8.651673316955566,-104.66776275634766,),)
-21.306259155273438,-169.23492431640625,),)
-56.88164520263672,-152.0546875,{,{
4.958911418914795,108.37550354003906,identifier,newUrl
65.0673828125,-27.187822341918945,=,=
50.05988311767578,90.83062744140625,identifier,path
61.962196350097656,33.14900207519531,.,.
8.87995719909668,35.42204666137695,identifier,join
-40.298500061035156,-10.236406326293945,(,(
2.875945806503296,83.87628173828125,identifier,__dirname
-42.283573150634766,-42.100433349609375,",",","
-46.351654052734375,-45.77607727050781,",",","
1.890582799911499,115.6815185546875,identifier,url
54.14493179321289,28.274953842163086,.,.
30.497699737548828,48.64750671386719,identifier,substr
-34.79228973388672,-17.872377395629883,(,(
11.07685375213623,-96.87821197509766,),)
24.356678009033203,-101.62548828125,),)
126.76821899414062,-42.84185028076172,return,return
-42.727294921875,-120.81548309326172,{,{
39.40999221801758,80.137451171875,identifier,file
12.928088188171387,108.69129180908203,identifier,newUrl
50.48115921020508,-110.04276275634766,},}
77.4566421508789,-127.63848876953125,},}
74.17005157470703,-133.74630737304688,else,else
-51.08412551879883,-142.41281127929688,{,{
127.19818115234375,-42.39607620239258,return,return
-42.551353454589844,-121.19306182861328,{,{
39.39244079589844,80.11915588378906,identifier,file
12.649483680725098,109.77863311767578,identifier,url
50.511512756347656,-109.5543212890625,},}
83.33714294433594,-114.38990783691406,},}
70.1915283203125,-115.19253540039062,},}
62.44251251220703,-109.26004791259766,},}
37.10496520996094,-87.04530334472656,),)
-52.459022521972656,56.477779388427734,identifier,callback
-31.123798370361328,0.7028842568397522,(,(
-34.8620719909668,-53.420372009277344,",",","
26.783037185668945,92.66883087158203,identifier,compiledCss
101.45271301269531,24.40217399597168,.,.
26.866619110107422,92.49884796142578,identifier,css
