language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
javascript,plbart,0,1,ast,7,8,0.0584495880198078,0.07068302279621463,0.05977404520181467
javascript,plbart,0,1,dfg,5,6,0.15097333486264866,0.09225369942522418,0.5632650138759556
javascript,plbart,1,2,ast,3,4,0.404286768946916,0.37427490414300163,0.4519931633633606
javascript,plbart,1,2,dfg,0,1,0.14399862105545813,0.08575794770150547,0.5737218351125335
javascript,plbart,2,3,ast,7,8,0.32965646110049396,0.30774936143016546,0.36437400296865396
javascript,plbart,2,3,dfg,8,9,0.0903750612558451,0.05054298146255076,0.5933698764369998
javascript,plbart,3,4,ast,1,2,0.36316558867047904,0.3300052763676301,0.41548648140200445
javascript,plbart,3,4,dfg,7,8,0.07950160024519141,0.04326864768390992,0.5854953203269
javascript,plbart,4,5,ast,4,5,0.3655426063549898,0.3571031227563683,0.38561593685151
javascript,plbart,4,5,dfg,5,6,0.02957756152705015,0.016431509740076015,0.17005506622521802
javascript,plbart,5,6,ast,5,6,0.32054159410927524,0.36768148756286706,0.2918342746609434
javascript,plbart,5,6,dfg,7,8,0.0890831641740675,0.04875189300311351,0.6219136648287598
