x,y,role,token
278.61151123046875,47.17031478881836,declaration,function
248.1240234375,106.20436096191406,delimiter,(
276.4514465332031,90.09091186523438,identifier,element
244.9497528076172,73.6681137084961,delimiter,)
317.9068603515625,8.599689483642578,delimiter,{
269.3189392089844,-129.42430114746094,declaration,var
193.51553344726562,-208.80474853515625,identifier,cache
222.38404846191406,-221.57957458496094,assignment_operator,=
199.5894317626953,-265.722900390625,other,this
165.5646209716797,-248.4262237548828,delimiter,.
169.39297485351562,-283.05133056640625,identifier,cache
249.3231201171875,-160.80015563964844,delimiter,","
191.82489013671875,-105.6319808959961,identifier,instance
248.64788818359375,-98.87044525146484,delimiter,","
296.28533935546875,-168.44041442871094,identifier,dom
233.6493682861328,-128.41372680664062,delimiter,","
191.82489013671875,-105.6319808959961,identifier,id
213.16766357421875,-154.15406799316406,delimiter,;
497.3924560546875,-145.52871704101562,control_flow,if
541.94287109375,-121.58850860595703,delimiter,(
558.861083984375,-79.86344909667969,logical_comparison,!
558.861083984375,-79.86344909667969,identifier,element
518.63232421875,-101.64849090576172,delimiter,)
523.5084228515625,-194.58917236328125,delimiter,{
506.1642150878906,-244.78260803222656,return_exception,return
506.1642150878906,-244.78260803222656,literal,null
541.4995727539062,-237.59814453125,delimiter,;
492.6490478515625,-197.80162048339844,delimiter,}
-423.8913879394531,-193.79046630859375,control_flow,if
-373.4272155761719,-201.6037139892578,delimiter,(
-292.00970458984375,-169.66873168945312,other,typeof
-313.83880615234375,-146.64352416992188,identifier,element
-332.90203857421875,-181.61544799804688,logical_comparison,==
-313.73626708984375,-212.6236114501953,other,'string'
-376.740234375,-173.18125915527344,delimiter,)
-590.8676147460938,-238.8681182861328,delimiter,{
-594.9539794921875,-112.73965454101562,identifier,dom
-594.9539794921875,-112.73965454101562,assignment_operator,=
-573.3369750976562,-21.135128021240234,identifier,document
-540.6322631835938,-33.718929290771484,delimiter,.
-565.0042724609375,-58.011070251464844,identifier,getElementById
-611.6956787109375,-56.078948974609375,delimiter,(
-645.1929931640625,-50.70009994506836,identifier,element
-622.6754150390625,-21.83271598815918,delimiter,)
-596.8668823242188,-160.4258270263672,delimiter,;
-602.9119873046875,-367.6351318359375,control_flow,if
