x,y,role,token
-19.828887939453125,-11.068190574645996,declaration,function
9.634500503540039,43.498573303222656,delimiter,(
-105.88542938232422,-54.54825210571289,identifier,element
11.327858924865723,41.998043060302734,delimiter,)
12.37034797668457,44.67754364013672,delimiter,{
-19.417335510253906,-10.074581146240234,declaration,var
9.780466079711914,-136.0612335205078,identifier,cache
25.717510223388672,-6.540823936462402,assignment_operator,=
5.08835506439209,-76.9588851928711,other,this
-77.42181396484375,3.0811221599578857,delimiter,.
10.256933212280273,-134.9694061279297,identifier,cache
22.794044494628906,-3.4860689640045166,delimiter,","
110.22991943359375,-58.51551055908203,identifier,instance
21.7487735748291,-2.6842455863952637,delimiter,","
-45.77130126953125,-75.1834487915039,identifier,dom
21.366031646728516,-1.5942654609680176,delimiter,","
-20.85414695739746,-36.53413772583008,identifier,id
48.21119689941406,-54.70960998535156,delimiter,;
-41.63690948486328,78.34922790527344,control_flow,if
-23.04120635986328,17.018463134765625,delimiter,(
-34.71255874633789,43.25292205810547,logical_comparison,!
-103.67159271240234,-54.42803955078125,identifier,element
11.697748184204102,38.92726135253906,delimiter,)
26.136348724365234,60.62115478515625,delimiter,{
152.44248962402344,-6.621878147125244,return_exception,return
65.46503448486328,-18.42745018005371,literal,null
50.83744430541992,-54.94044494628906,delimiter,;
80.27336883544922,29.51441764831543,delimiter,}
-41.624969482421875,79.54894256591797,control_flow,if
-22.25194549560547,17.898752212524414,delimiter,(
-27.843706130981445,-7.37175178527832,other,typeof
-103.65641021728516,-52.50484085083008,identifier,element
-24.604991912841797,-8.01119613647461,logical_comparison,==
-26.557212829589844,-9.330951690673828,other,'string'
10.496016502380371,33.7994384765625,delimiter,)
25.567394256591797,56.92501449584961,delimiter,{
-50.58975601196289,-75.22515869140625,identifier,dom
28.835222244262695,-9.74533462524414,assignment_operator,=
-42.94917678833008,-35.27430725097656,identifier,document
-59.942848205566406,-1.4759162664413452,delimiter,.
-41.424278259277344,-33.88385009765625,identifier,getElementById
-10.096309661865234,23.794330596923828,delimiter,(
-100.29081726074219,-51.88058853149414,identifier,element
6.422675132751465,27.5218448638916,delimiter,)
