x,y,role,token
207.30667114257812,1.163089632987976,function,function
39.39305877685547,-13.569201469421387,identifier,findIndex
-111.46282196044922,35.673892974853516,(,(
71.40727233886719,-35.818702697753906,identifier,predicate
-169.6292724609375,-13.78273868560791,",",","
29.899089813232422,-34.21599197387695,identifier,context
-70.44610595703125,-149.37147521972656,),)
-74.72340393066406,-2.001408338546753,{,{
102.45613098144531,120.38539123535156,if,if
-74.19187927246094,65.4322738647461,(,(
-52.3528938293457,-144.00547790527344,),)
-59.74026107788086,-26.49275779724121,{,{
11.897370338439941,-15.977472305297852,identifier,TypeError
-90.3040771484375,69.4343032836914,(,(
-89.41995239257812,-112.8723373413086,),)
28.970701217651367,-158.4478302001953,},}
102.35993957519531,107.54670715332031,if,if
-71.81832122802734,74.75123596191406,(,(
71.41187286376953,-35.80522155761719,identifier,predicate
-52.945152282714844,-136.82614135742188,),)
-56.63309860229492,-23.762710571289062,{,{
11.929976463317871,-15.650717735290527,identifier,TypeError
-91.10446166992188,71.98309326171875,(,(
-89.53070831298828,-110.80681610107422,),)
26.830678939819336,-160.56692504882812,},}
91.77198791503906,-12.517515182495117,identifier,list
72.33053588867188,167.86631774902344,=,=
25.902217864990234,-26.3399658203125,identifier,Object
-110.76180267333984,67.71654510498047,(,(
-83.51388549804688,-107.02581024169922,),)
55.58432388305664,70.62957000732422,identifier,length
73.33279418945312,170.30491638183594,=,=
91.94577026367188,-12.77391529083252,identifier,list
-11.977088928222656,145.39410400390625,.,.
54.56586837768555,73.87822723388672,identifier,length
91.27558898925781,100.29124450683594,for,for
-80.420166015625,77.7518081665039,(,(
139.99037170410156,58.85422134399414,identifier,i
52.01866149902344,154.9800567626953,=,=
141.0513916015625,55.58544158935547,identifier,i
23.369850158691406,57.302860260009766,<,<
54.752384185791016,70.62203979492188,identifier,length
141.07672119140625,55.067081451416016,identifier,i
-49.13398742675781,-129.95401000976562,),)
-52.01081085205078,-11.752080917358398,{,{
112.78955078125,115.51979064941406,if,if
-81.71778869628906,88.6795654296875,(,(
71.40009307861328,-35.793373107910156,identifier,predicate
-33.647300720214844,154.4982147216797,.,.
18.437213897705078,-7.9200334548950195,identifier,call
-111.38275146484375,85.68400573730469,(,(
29.899314880371094,-34.13470458984375,identifier,context
-147.63587951660156,-34.75442123413086,",",","
92.32988739013672,-12.913832664489746,identifier,list
136.0425262451172,50.46831512451172,identifier,i
-149.6702880859375,-38.95255661010742,",",","
136.63632202148438,53.80670166015625,identifier,i
-148.9273681640625,-38.264827728271484,",",","
92.52334594726562,-12.969791412353516,identifier,list
-66.04927825927734,-101.97329711914062,),)
-48.027992248535156,-125.52177429199219,),)
-46.020233154296875,-12.634663581848145,{,{
82.0007553100586,-142.1532440185547,return,return
137.09991455078125,54.483306884765625,identifier,i
12.397862434387207,-166.08514404296875,},}
19.684520721435547,-171.46981811523438,},}
79.76134490966797,-137.05775451660156,return,return
32.28570556640625,-196.22061157226562,},}
206.49598693847656,-0.3277333974838257,function,function
43.69258117675781,-16.4630069732666,identifier,compileSass
-111.14388275146484,33.41886520385742,(,(
59.32316589355469,-21.0809383392334,identifier,_path
-174.90628051757812,-11.348688125610352,",",","
43.602054595947266,25.84778594970703,identifier,ext
-173.0648193359375,-16.666948318481445,",",","
81.4016342163086,-52.27893829345703,identifier,data
-171.4391326904297,-17.373106002807617,",",","
36.286354064941406,-46.771484375,identifier,callback
-66.09854888916016,-148.80386352539062,),)
-70.17193603515625,-1.80520761013031,{,{
65.58106231689453,-11.309365272521973,identifier,compiledCss
67.32990264892578,155.6503143310547,=,=
50.49345397949219,-17.542484283447266,identifier,sass
-12.769998550415039,159.46719360351562,.,.
38.3035774230957,-6.870713710784912,identifier,renderSync
-90.10887145996094,62.17483139038086,(,(
-59.16806411743164,2.8321211338043213,{,{
80.65144348144531,-52.66158676147461,identifier,data
