language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
javascript,unixcoder,0,1,ast,6,7,0.34708802683776147,0.4325422894360918,0.2959142883702215
javascript,unixcoder,0,1,dfg,5,6,0.13325525427020404,0.07755290823475793,0.5864224332485228
javascript,unixcoder,1,2,ast,6,7,0.3011513327587451,0.3093150506385961,0.3015869841915187
javascript,unixcoder,1,2,dfg,10,11,0.12093164036997885,0.06881198573552114,0.5917167239495401
javascript,unixcoder,2,3,ast,8,9,0.299036645620702,0.45159709231229145,0.22763245293533074
javascript,unixcoder,2,3,dfg,2,3,0.09875051319381518,0.054776009310682536,0.6067032145792159
javascript,unixcoder,3,4,ast,11,12,0.32624760180236817,0.48467917717590586,0.2525619554185562
javascript,unixcoder,3,4,dfg,9,10,0.1433651775806103,0.1086431482272468,0.2912106001197169
javascript,unixcoder,4,5,ast,9,10,0.3031310670205067,0.43938354622860715,0.23541012265031047
javascript,unixcoder,4,5,dfg,1,2,0.10923410000568236,0.061780667619688125,0.5649215823151824
javascript,unixcoder,5,6,ast,0,1,0.31531030478147476,0.4382764883087446,0.2509510943929053
javascript,unixcoder,5,6,dfg,10,11,0.1353995255188835,0.08135599389823894,0.49391368172249434
javascript,unixcoder,6,7,ast,11,12,0.33697435946405796,0.41706539026756223,0.2894906936978172
javascript,unixcoder,6,7,dfg,0,1,0.08137919962602552,0.046042573070730904,0.45184229107508866
javascript,unixcoder,7,8,ast,10,11,0.316384274743362,0.5414707266034828,0.22808831626414383
javascript,unixcoder,7,8,dfg,8,9,0.035642956451809406,0.02089660043151482,0.14101649597842378
javascript,unixcoder,8,9,ast,5,6,0.15487428149018487,0.5089285471592356,0.09479335888169661
javascript,unixcoder,8,9,dfg,6,7,0.02683521764446577,0.015516033968965419,0.1363644552161906
javascript,unixcoder,9,10,ast,10,11,0.1169039596034257,0.1733077395887686,0.09879291544982002
javascript,unixcoder,9,10,dfg,5,6,0.1122656581913842,0.07995350347464741,0.3304615461125895
javascript,unixcoder,10,11,ast,8,9,0.07921656831186019,0.16207935214693306,0.060475818996019615
javascript,unixcoder,10,11,dfg,9,10,0.08925846089363819,0.07898745038363181,0.17152187135890573
javascript,unixcoder,11,12,ast,11,12,0.06470929446298482,0.28512291173371135,0.05170539090536173
javascript,unixcoder,11,12,dfg,2,3,0.054563008654810764,0.03570154556285469,0.3313107247463054
