layer_index,layer_number_one_based,graph,metric,pilot,reference,difference,absolute_difference
0,1,ast,fscore,0.33842683020505954,0.3385543457092239,-0.00012751550416434387,0.00012751550416434387
1,2,ast,fscore,0.3365459058638594,0.33665562948526484,-0.00010972362140543312,0.00010972362140543312
2,3,ast,fscore,0.3257930259593323,0.32580011096855543,-7.0850092231400374e-06,7.0850092231400374e-06
3,4,ast,fscore,0.3526255396076574,0.35271710946750173,-9.156985984432042e-05,9.156985984432042e-05
4,5,ast,fscore,0.3445650202820381,0.3446578066821274,-9.278640008930639e-05,9.278640008930639e-05
5,6,ast,fscore,0.3629877274263651,0.3629497022787627,3.8025147602371856e-05,3.8025147602371856e-05
6,7,ast,fscore,0.3422757054890072,0.3423742417806758,-9.85362916686161e-05,9.85362916686161e-05
7,8,ast,fscore,0.34124565334991025,0.34123383676196944,1.1816587940804979e-05,1.1816587940804979e-05
8,9,ast,fscore,0.34535080659760714,0.3453372931628125,1.3513434794665269e-05,1.3513434794665269e-05
9,10,ast,fscore,0.35184470800332746,0.3519401943217456,-9.548631841815869e-05,9.548631841815869e-05
10,11,ast,fscore,0.284736041265624,0.2847499521950178,-1.3910929393790017e-05,1.3910929393790017e-05
11,12,ast,fscore,0.33881703556965515,0.338901445599821,-8.441003016584903e-05,8.441003016584903e-05
0,1,ast,precision,0.42155532544616575,0.4217825685265734,-0.0002272430804076686,0.0002272430804076686
1,2,ast,precision,0.47505143942983824,0.4752933580846115,-0.00024191865477324326,0.00024191865477324326
2,3,ast,precision,0.4418085043918279,0.4419125621571715,-0.00010405776534361255,0.00010405776534361255
3,4,ast,precision,0.4923322340238282,0.49254780887326804,-0.00021557484943984795,0.00021557484943984795
4,5,ast,precision,0.4643490229256723,0.4645598999671976,-0.00021087704152528142,0.00021087704152528142
5,6,ast,precision,0.38127235709072604,0.38129649740627825,-2.4140315552201308e-05,2.4140315552201308e-05
6,7,ast,precision,0.44555666839805524,0.4457607655959417,-0.00020409719788644365,0.00020409719788644365
7,8,ast,precision,0.524458790434131,0.524558138115554,-9.934768142294548e-05,9.934768142294548e-05
8,9,ast,precision,0.5222108090672425,0.5223075339215416,-9.672485429912392e-05,9.672485429912392e-05
9,10,ast,precision,0.4629593550575067,0.46316544861189995,-0.00020609355439327182,0.00020609355439327182
10,11,ast,precision,0.46422510111833215,0.46436210942238015,-0.00013700830404800302,0.00013700830404800302
11,12,ast,precision,0.39827141181326353,0.3984307340116103,-0.00015932219834674521,0.00015932219834674521
0,1,ast,recall,0.2913197590607497,0.29138325490183464,-6.349584108494843e-05,6.349584108494843e-05
1,2,ast,recall,0.2679265725037612,0.2679741190190159,-4.754651525473719e-05,4.754651525473719e-05
2,3,ast,recall,0.26603026361441695,0.26598864442290826,4.1619191508690534e-05,4.1619191508690534e-05
3,4,ast,recall,0.28305654378925327,0.2830878572295275,-3.131344027423877e-05,3.131344027423877e-05
4,5,ast,recall,0.2831219302790148,0.2831527649131993,-3.083463418451782e-05,3.083463418451782e-05
5,6,ast,recall,0.36059110699421315,0.36048081074524435,0.00011029624896879975,0.00011029624896879975
6,7,ast,recall,0.28806578676668526,0.2881020689955958,-3.628222891055577e-05,3.628222891055577e-05
7,8,ast,recall,0.26029858141040246,0.2602477079920524,5.087341835008363e-05,5.087341835008363e-05
