language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
python,codet5,0,1,ast,7,8,0.33842683020505954,0.42155532544616575,0.2913197590607497
python,codet5,0,1,dfg,4,5,0.10800369884490012,0.06804006303227407,0.4889688543849536
python,codet5,1,2,ast,7,8,0.3365459058638594,0.47505143942983824,0.2679265725037612
python,codet5,1,2,dfg,4,5,0.1307183353423049,0.08380106118332205,0.3838978854487669
python,codet5,2,3,ast,3,4,0.3257930259593323,0.4418085043918279,0.26603026361441695
python,codet5,2,3,dfg,0,1,0.19419765905251166,0.13979444971480237,0.43844445472379184
python,codet5,3,4,ast,7,8,0.3526255396076574,0.4923322340238282,0.28305654378925327
python,codet5,3,4,dfg,0,1,0.16712497719524985,0.10194339225252518,0.5440381436059992
python,codet5,4,5,ast,7,8,0.3445650202820381,0.4643490229256723,0.2831219302790148
python,codet5,4,5,dfg,4,5,0.18134379883905183,0.1586170500895523,0.3754739990204728
python,codet5,5,6,ast,1,2,0.3629877274263651,0.38127235709072604,0.36059110699421315
python,codet5,5,6,dfg,0,1,0.11149221984636751,0.07083878671037173,0.3304393695651566
python,codet5,6,7,ast,7,8,0.3422757054890072,0.44555666839805524,0.28806578676668526
python,codet5,6,7,dfg,0,1,0.17614005584837875,0.11178078625647449,0.48936861539839993
python,codet5,7,8,ast,3,4,0.34124565334991025,0.524458790434131,0.26029858141040246
python,codet5,7,8,dfg,5,6,0.12391921206067262,0.08217543774741141,0.3046688597505464
python,codet5,8,9,ast,3,4,0.34535080659760714,0.5222108090672425,0.2646462914858217
python,codet5,8,9,dfg,5,6,0.1743143119131521,0.10660486219358023,0.5527350805497551
python,codet5,9,10,ast,7,8,0.35184470800332746,0.4629593550575067,0.2938225056629517
python,codet5,9,10,dfg,5,6,0.15551274831994066,0.0935694451706284,0.5261766407896529
python,codet5,10,11,ast,3,4,0.284736041265624,0.46422510111833215,0.2100426860463886
python,codet5,10,11,dfg,2,3,0.14844745701030004,0.09321642198032104,0.41525492604336806
python,codet5,11,12,ast,7,8,0.33881703556965515,0.39827141181326353,0.30555388196332717
python,codet5,11,12,dfg,6,7,0.07691745179335036,0.04328829826361601,0.4343087365304869
