x,y,role,token
-1710.049560546875,975.9345092773438,declaration,def
-1896.3475341796875,1120.4090576171875,identifier,_profile_package
-1785.78271484375,1345.27490234375,delimiter,(
-1576.74609375,1410.9775390625,identifier,self
-1581.5380859375,1195.7860107421875,delimiter,)
-1915.314697265625,916.8490600585938,delimiter,:
-2592.60546875,1969.83349609375,identifier,prof
-2728.3603515625,1858.672119140625,assignment_operator,=
-2816.472900390625,2172.076904296875,identifier,cProfile
-2893.086669921875,2377.705322265625,delimiter,.
-2667.48828125,2324.94482421875,identifier,Profile
-3016.989501953125,1970.3863525390625,delimiter,(
-3102.854248046875,2157.6015625,delimiter,)
-669.2284545898438,2336.34130859375,identifier,prof
-790.8592529296875,2150.58984375,delimiter,.
-585.1044311523438,2149.1064453125,identifier,enable
-915.3692626953125,2478.371337890625,delimiter,(
-1017.103515625,2323.99755859375,delimiter,)
-1814.685546875,408.12066650390625,return_exception,try
-1814.685546875,408.12066650390625,delimiter,:
-713.6357421875,-3496.570556640625,identifier,runpy
-497.9745178222656,-3390.171630859375,delimiter,.
-687.6231689453125,-3280.42529296875,identifier,run_path
-395.4497985839844,-3698.5927734375,delimiter,(
-175.61012268066406,-4033.543701171875,identifier,self
6.685873031616211,-3901.65234375,delimiter,.
-146.5421600341797,-3735.48681640625,identifier,_run_object
-398.88970947265625,-3919.9521484375,delimiter,","
-458.8505554199219,-4177.03955078125,identifier,run_name
-674.1068115234375,-4056.343017578125,assignment_operator,=
-675.7344970703125,-4313.43212890625,other,'__main__'
-596.1994018554688,-3809.056640625,delimiter,)
-1810.940673828125,126.45117950439453,return_exception,except
-2031.379150390625,233.00091552734375,identifier,SystemExit
-1986.6407470703125,17.024730682373047,delimiter,:
-2258.264892578125,77.72953796386719,other,pass
-767.96435546875,714.7142944335938,identifier,prof
-567.0464477539062,623.8335571289062,delimiter,.
-596.4195556640625,827.3764038085938,identifier,disable
-697.7088012695312,371.2383117675781,delimiter,(
-865.1445922851562,448.72265625,delimiter,)
-3242.468505859375,181.16676330566406,identifier,prof_stats
-3242.468505859375,181.16676330566406,assignment_operator,=
-3650.353515625,302.9034729003906,identifier,pstats
-3562.856689453125,108.36038208007812,delimiter,.
-3783.218505859375,101.49675750732422,identifier,Stats
-3395.00732421875,-117.69868469238281,delimiter,(
-3631.4619140625,-177.67025756835938,identifier,prof
-3458.831787109375,-321.98907470703125,delimiter,)
-1605.36962890625,-1038.15234375,identifier,prof_stats
-1414.0465087890625,-1112.515380859375,delimiter,.
-1458.629150390625,-895.230224609375,identifier,calc_callees
-1141.0523681640625,-1031.8583984375,delimiter,(
-1178.4530029296875,-850.7612915039062,delimiter,)
1222.9071044921875,198.5980987548828,return_exception,return
1524.918212890625,73.89004516601562,delimiter,{
1661.4549560546875,-643.35693359375,other,'objectName'
1842.835693359375,-841.5297241210938,delimiter,:
1508.0604248046875,-1295.431884765625,identifier,self
1703.4041748046875,-1201.6236572265625,delimiter,.
1517.46826171875,-1079.2554931640625,identifier,_object_name
1914.043212890625,349.81658935546875,delimiter,","
1803.9263916015625,927.070068359375,other,'callStats'
1890.7108154296875,722.2073364257812,delimiter,:
2227.6572265625,1745.8380126953125,identifier,self
2117.56689453125,1560.2181396484375,delimiter,.
2117.56689453125,1560.2181396484375,identifier,_transform_stats
1890.7738037109375,1971.5048828125,delimiter,(
1760.095703125,1799.609619140625,identifier,prof_stats
1760.095703125,1799.609619140625,delimiter,)
1925.3817138671875,114.89301300048828,delimiter,","
2574.375,574.1173095703125,other,'totalTime'
2829.6484375,480.2868957519531,delimiter,:
3093.540283203125,765.630126953125,identifier,prof_stats
2903.638427734375,882.52587890625,delimiter,.
3095.682861328125,982.5855102539062,identifier,total_tt
1714.274169921875,212.70420837402344,delimiter,","
940.0127563476562,655.0386962890625,other,'primitiveCalls'
691.0989379882812,761.9176635742188,delimiter,:
1081.6282958984375,1058.854736328125,identifier,prof_stats
881.0944213867188,1148.18701171875,delimiter,.
881.0944213867188,1148.18701171875,identifier,prim_calls
1692.6456298828125,448.6280822753906,delimiter,","
874.113525390625,-137.98960876464844,other,'totalCalls'
604.0972900390625,-171.31002807617188,delimiter,:
642.2916870117188,-555.8475341796875,identifier,prof_stats
765.5419921875,-732.3931274414062,delimiter,.
864.1808471679688,-539.6268920898438,identifier,total_calls
1504.499267578125,321.650390625,delimiter,","
2364.290771484375,-49.709171295166016,other,'timestamp'
2196.138916015625,-203.33917236328125,delimiter,:
2630.230712890625,-474.2082824707031,identifier,int
2906.99609375,-556.4597778320312,delimiter,(
3081.473876953125,-1126.9306640625,identifier,time
3048.494873046875,-915.42333984375,delimiter,.
3269.58935546875,-1000.5286254882812,identifier,time
3260.708251953125,-681.40087890625,delimiter,(
3260.708251953125,-681.40087890625,delimiter,)
2794.155029296875,-705.8980102539062,delimiter,)
1735.13671875,-31.226299285888672,delimiter,}
