x,y,role,token
122.4725570678711,105.89344024658203,def,def
41.3344612121582,-28.041946411132812,identifier,calculate_pair_to_kern_mapping
-80.3349380493164,133.66688537597656,(,(
61.06060028076172,-49.075016021728516,identifier,measurer
-171.36801147460938,4.529193878173828,:,:
60.70598602294922,-46.682125091552734,identifier,text_measurer
-49.237396240234375,-127.16239166259766,.,.
59.12680435180664,-46.82240676879883,identifier,TextMeasurer
-31.824453353881836,162.6481475830078,",",","
91.82603454589844,-19.79935073852539,identifier,char_to_length
-170.71771240234375,3.940286636352539,:,:
71.47227478027344,-0.5155380368232727,identifier,Mapping
33.031166076660156,43.32731246948242,identifier,str
-10.851664543151855,101.94815063476562,",",","
30.932025909423828,27.29669189453125,identifier,float
-31.639530181884766,161.52915954589844,",",","
84.6907958984375,29.86212730407715,identifier,characters
-170.3572998046875,3.307513952255249,:,:
26.003463745117188,5.410922050476074,identifier,Iterable
32.67377853393555,43.21650695800781,identifier,str
-122.9697036743164,106.74930572509766,),)
71.47005462646484,-0.5161150097846985,identifier,Mapping
32.396732330322266,42.834617614746094,identifier,str
-11.01214599609375,102.22752380371094,",",","
30.912504196166992,27.311437606811523,identifier,float
-179.07260131835938,17.72531509399414,:,:
84.47584533691406,-29.463918685913086,identifier,pair_to_kerning
68.33094787597656,134.0782928466797,for,for
101.046875,33.242408752441406,identifier,a
-14.347373008728027,114.033935546875,",",","
101.93521881103516,29.129899978637695,identifier,b
47.71755599975586,-6.570861339569092,identifier,itertools
-42.714805603027344,-112.2889175415039,.,.
59.32828140258789,-9.542309761047363,identifier,permutations
-67.25028991699219,-26.038179397583008,(,(
84.68938446044922,29.8649845123291,identifier,characters
-1.869083046913147,91.16069793701172,",",","
-109.93816375732422,77.11795806884766,),)
-179.99298095703125,-11.858234405517578,:,:
86.19932556152344,-31.23233985900879,identifier,kerned_width
61.004852294921875,-49.799163818359375,identifier,measurer
-37.29550552368164,-125.2492446899414,.,.
44.97278594970703,-8.992667198181152,identifier,text_width
-72.43524169921875,-30.846721649169922,(,(
101.326416015625,33.146854400634766,identifier,a
-25.131351470947266,91.81414794921875,+,+
101.97715759277344,29.523401260375977,identifier,b
-81.21935272216797,74.59600067138672,),)
85.76461791992188,-31.69504165649414,identifier,unkerned_width
91.83829498291016,-20.776641845703125,identifier,char_to_length
101.4257583618164,33.088077545166016,identifier,a
-26.1744327545166,92.8373031616211,+,+
92.0936508178711,-20.942272186279297,identifier,char_to_length
101.97880554199219,29.658992767333984,identifier,b
83.9017333984375,-32.35316467285156,identifier,kerning
85.80431365966797,-31.81672477722168,identifier,unkerned_width
25.504762649536133,73.98983001708984,-,-
86.29774475097656,-31.720455169677734,identifier,kerned_width
47.97137451171875,150.9562530517578,if,if
43.796539306640625,0.3282964825630188,identifier,abs
-87.35221862792969,-21.22519302368164,(,(
83.44369506835938,-32.715492248535156,identifier,kerning
-105.8717269897461,67.50605010986328,),)
-7.612620830535889,72.91224670410156,>,>
-177.9928436279297,-22.272022247314453,:,:
84.44554138183594,-28.886791229248047,identifier,pair_to_kerning
101.42900848388672,33.1105842590332,identifier,a
-24.718692779541016,91.26773071289062,+,+
101.98145294189453,29.67245864868164,identifier,b
26.874650955200195,30.127565383911133,identifier,round
-83.05142974853516,-36.09519577026367,(,(
83.37472534179688,-32.73563003540039,identifier,kerning
-2.7621800899505615,88.18113708496094,",",","
-78.81554412841797,58.10332107543945,),)
84.36969757080078,-28.391094207763672,identifier,pair_to_kerning
123.02989196777344,108.86729431152344,def,def
95.4725341796875,29.072736740112305,identifier,indent
-77.51844787597656,138.1831817626953,(,(
85.1584243774414,-2.8608241081237793,identifier,instr
-33.50551223754883,172.04591369628906,",",","
79.82038879394531,-16.111190795898438,identifier,nspaces
-34.93975067138672,159.0429229736328,",",","
76.46272277832031,-26.435346603393555,identifier,ntabs
-34.49551773071289,158.30361938476562,",",","
76.8887710571289,-12.638290405273438,identifier,flatten
-124.39950561523438,110.87715148925781,),)
-182.5431365966797,23.1558780670166,:,:
63.35184860229492,156.74722290039062,if,if
85.15142822265625,-2.860915422439575,identifier,instr
-162.6521759033203,-26.874073028564453,:,:
122.50809478759766,-28.975263595581055,identifier,ind
47.23686218261719,17.627918243408203,"""",'\t'
76.45775604248047,-26.43129539489746,identifier,ntabs
-24.788843154907227,93.38433074951172,+,+
50.13407897949219,20.438770294189453,"""",' '
79.8130111694336,-16.112817764282227,identifier,nspaces
53.15049743652344,157.14845275878906,if,if
76.874755859375,-12.634797096252441,identifier,flatten
-167.850341796875,-21.381603240966797,:,:
83.30384063720703,-0.16217085719108582,identifier,pat
22.321762084960938,-42.13027572631836,identifier,re
-40.239501953125,-113.64766693115234,.,.
36.067569732666016,-16.1873779296875,identifier,compile
-63.462886810302734,-28.117712020874023,(,(
50.37623596191406,16.560651779174805,"""",r'^\s*'
3.895531415939331,92.6912612915039,",",","
22.20429801940918,-42.379425048828125,identifier,re
-49.93210983276367,-135.63296508789062,.,.
65.14177703857422,-1.165657877922058,identifier,MULTILINE
-89.78211212158203,58.10664367675781,),)
32.21675109863281,173.38035583496094,else,else
-187.1844482421875,-37.63475799560547,:,:
83.29608154296875,-0.1567671298980713,identifier,pat
22.297801971435547,-42.17859649658203,identifier,re
-40.22365188598633,-113.61272430419922,.,.
36.06637191772461,-16.188026428222656,identifier,compile
-63.45661544799805,-28.10835075378418,(,(
50.39216232299805,16.53871726989746,"""",r'^'
4.001091957092285,92.74451446533203,",",","
22.202648162841797,-42.38274002075195,identifier,re
-49.93848419189453,-135.6425018310547,.,.
65.14409637451172,-1.1649839878082275,identifier,MULTILINE
-81.58360290527344,72.55685424804688,),)
113.96284484863281,-46.50495529174805,identifier,outstr
22.307819366455078,-42.151023864746094,identifier,re
-40.187286376953125,-113.3855972290039,.,.
32.90283966064453,16.235179901123047,identifier,sub
-72.97138977050781,-37.96021270751953,(,(
83.2933578491211,-0.15118417143821716,identifier,pat
3.9777700901031494,104.31822204589844,",",","
122.58675384521484,-28.857797622680664,identifier,ind
5.32114839553833,100.48075866699219,",",","
85.15260314941406,-2.8553168773651123,identifier,instr
-86.61517333984375,62.69825744628906,),)
53.468257904052734,149.09854125976562,if,if
113.78227233886719,-46.66645431518555,identifier,outstr
-30.347227096557617,-108.97004699707031,.,.
-10.291361808776855,56.15671157836914,identifier,endswith
-90.04865264892578,-21.1948184967041,(,(
40.25181579589844,28.99116325378418,identifier,os
-48.14553451538086,-116.80658721923828,.,.
44.46747970581055,18.727705001831055,identifier,linesep
-26.13186264038086,93.94597625732422,+,+
122.5977783203125,-28.83428192138672,identifier,ind
-105.92200469970703,75.21166229248047,),)
-169.25418090820312,-28.393972396850586,:,:
113.6651611328125,-46.69818115234375,identifier,outstr
-162.129638671875,-5.886215686798096,:,:
27.482730865478516,72.61750030517578,-,-
-2.743143081665039,25.316986083984375,identifier,len
-82.56002807617188,-23.119897842407227,(,(
122.61223602294922,-28.81695556640625,identifier,ind
-97.65583038330078,49.80750274658203,),)
33.816917419433594,176.90638732910156,else,else
-186.81427001953125,-42.35390853881836,:,:
113.4170913696289,-46.73900604248047,identifier,outstr
131.04042053222656,112.88101959228516,def,def
38.682254791259766,-31.246286392211914,identifier,get_partitions
-81.19876098632812,136.21182250976562,(,(
-3.8930647373199463,-204.28871154785156,identifier,self
-35.01605987548828,184.06919860839844,",",","
107.3862075805664,1.8353219032287598,identifier,database_name
-31.170757293701172,169.5240936279297,",",","
106.83647155761719,0.4481123387813568,identifier,table_name
-32.49344253540039,168.0288543701172,",",","
82.91960906982422,18.41462516784668,identifier,expression
