layer_index,layer_number_one_based,graph,metric,pilot,reference,difference,absolute_difference
0,1,ast,fscore,0.3539511421223578,0.35395114212235823,-4.440892098500626e-16,4.440892098500626e-16
1,2,ast,fscore,0.35639830763116825,0.3563983076311678,4.440892098500626e-16,4.440892098500626e-16
2,3,ast,fscore,0.32880733765677106,0.32880733765677134,-2.7755575615628914e-16,2.7755575615628914e-16
3,4,ast,fscore,0.348605406947837,0.3486054069478357,1.27675647831893e-15,1.27675647831893e-15
4,5,ast,fscore,0.2658310088577098,0.26583100885770966,1.6653345369377348e-16,1.6653345369377348e-16
5,6,ast,fscore,0.35108709578965586,0.35108709578965586,0.0,0.0
6,7,ast,fscore,0.2850318976970886,0.2850318976970892,-6.106226635438361e-16,6.106226635438361e-16
7,8,ast,fscore,0.3635367447571798,0.3635367447571798,0.0,0.0
8,9,ast,fscore,0.32744850127750347,0.327448501277504,-5.551115123125783e-16,5.551115123125783e-16
9,10,ast,fscore,0.31913357837600703,0.31913357837600753,-4.996003610813204e-16,4.996003610813204e-16
10,11,ast,fscore,0.33130498168413963,0.3313049816841407,-1.0547118733938987e-15,1.0547118733938987e-15
11,12,ast,fscore,0.343299175096829,0.343299175096829,0.0,0.0
0,1,ast,precision,0.45790637496890685,0.45790637496890574,1.1102230246251565e-15,1.1102230246251565e-15
1,2,ast,precision,0.46162229055704224,0.46162229055704307,-8.326672684688674e-16,8.326672684688674e-16
2,3,ast,precision,0.47242812776996423,0.47242812776996435,-1.1102230246251565e-16,1.1102230246251565e-16
3,4,ast,precision,0.4540195495723714,0.45401954957237295,-1.5543122344752192e-15,1.5543122344752192e-15
4,5,ast,precision,0.365350356375654,0.36535035637565244,1.5543122344752192e-15,1.5543122344752192e-15
5,6,ast,precision,0.3869813557480521,0.38698135574805254,-4.440892098500626e-16,4.440892098500626e-16
6,7,ast,precision,0.4883728919695307,0.48837289196953226,-1.5543122344752192e-15,1.5543122344752192e-15
7,8,ast,precision,0.533769611424825,0.533769611424825,0.0,0.0
8,9,ast,precision,0.4864118701978376,0.4864118701978397,-2.1094237467877974e-15,2.1094237467877974e-15
9,10,ast,precision,0.425115194047409,0.4251151940474089,1.1102230246251565e-16,1.1102230246251565e-16
10,11,ast,precision,0.5005608028950651,0.5005608028950653,-2.220446049250313e-16,2.220446049250313e-16
11,12,ast,precision,0.4281365945313223,0.42813659453132324,-9.43689570931383e-16,9.43689570931383e-16
0,1,ast,recall,0.30013313113040263,0.30013313113040324,-6.106226635438361e-16,6.106226635438361e-16
1,2,ast,recall,0.30313100628718004,0.3031310062871806,-5.551115123125783e-16,5.551115123125783e-16
2,3,ast,recall,0.26012252981208006,0.26012252981208017,-1.1102230246251565e-16,1.1102230246251565e-16
3,4,ast,recall,0.29396008199100093,0.2939600819910011,-1.6653345369377348e-16,1.6653345369377348e-16
4,5,ast,recall,0.21986197988768663,0.219861979887686,6.38378239159465e-16,6.38378239159465e-16
5,6,ast,recall,0.3333332100655641,0.33333321006556454,-4.440892098500626e-16,4.440892098500626e-16
6,7,ast,recall,0.20695767038619525,0.20695767038619511,1.3877787807814457e-16,1.3877787807814457e-16
7,8,ast,recall,0.2837546115691825,0.2837546115691826,-5.551115123125783e-17,5.551115123125783e-17
8,9,ast,recall,0.2560767939166373,0.2560767939166365,7.771561172376096e-16,7.771561172376096e-16
9,10,ast,recall,0.26379279582708287,0.2637927958270824,4.440892098500626e-16,4.440892098500626e-16
10,11,ast,recall,0.2556618978448433,0.25566189784484294,3.3306690738754696e-16,3.3306690738754696e-16
11,12,ast,recall,0.29907268106351653,0.2990726810635159,6.106226635438361e-16,6.106226635438361e-16
0,1,dfg,fscore,0.08132644111528092,0.08153353835048602,-0.00020709723520509482,0.00020709723520509482
1,2,dfg,fscore,0.16615426858911708,0.16597579884194802,0.00017846974716906328,0.00017846974716906328
2,3,dfg,fscore,0.21336960066146798,0.2133207610953184,4.883956614959439e-05,4.883956614959439e-05
3,4,dfg,fscore,0.10465588746403567,0.10467531084667842,-1.942338264274146e-05,1.942338264274146e-05
4,5,dfg,fscore,0.23399138731068042,0.23400127340252255,-9.886091842131739e-06,9.886091842131739e-06
5,6,dfg,fscore,0.18489658504132395,0.18488531930408436,1.1265737239585238e-05,1.1265737239585238e-05
6,7,dfg,fscore,0.15383401224939094,0.15383189598285943,2.1162665315155316e-06,2.1162665315155316e-06
7,8,dfg,fscore,0.097110383017516,0.0971157775649008,-5.394547384796056e-06,5.394547384796056e-06
8,9,dfg,fscore,0.14509396901630425,0.14505916141425385,3.480760205040734e-05,3.480760205040734e-05
9,10,dfg,fscore,0.167449163150947,0.16742656077524903,2.2602375697955424e-05,2.2602375697955424e-05
10,11,dfg,fscore,0.1383670265863896,0.13833636453609524,3.066205029436664e-05,3.066205029436664e-05
11,12,dfg,fscore,0.09469500131107905,0.0947053204395175,-1.0319128438449066e-05,1.0319128438449066e-05
0,1,dfg,precision,0.1069188252753901,0.10719583592368477,-0.00027701064829467603,0.00027701064829467603
1,2,dfg,precision,0.11000126891982795,0.10982665028044648,0.00017461863938146582,0.00017461863938146582
2,3,dfg,precision,0.19622985238308374,0.19612372595058117,0.00010612643250257348,0.00010612643250257348
3,4,dfg,precision,0.06075312958444825,0.060763020021723124,-9.890437274874542e-06,9.890437274874542e-06
4,5,dfg,precision,0.22715470353673337,0.22699063042242676,0.00016407311430660654,0.00016407311430660654
5,6,dfg,precision,0.19348955803260567,0.19337489024243518,0.00011466779017049733,0.00011466779017049733
6,7,dfg,precision,0.09290567460394059,0.0928932621191976,1.2412484742985175e-05,1.2412484742985175e-05
7,8,dfg,precision,0.056179507751267316,0.056174161511579626,5.346239687689658e-06,5.346239687689658e-06
8,9,dfg,precision,0.08508656229526645,0.08505682544933019,2.9736845936267908e-05,2.9736845936267908e-05
9,10,dfg,precision,0.121670109997466,0.12159712131387022,7.298868359577326e-05,7.298868359577326e-05
10,11,dfg,precision,0.08550219819292569,0.08547123597962651,3.0962213299179364e-05,3.0962213299179364e-05
11,12,dfg,precision,0.05521626797291101,0.05521598150272997,2.8647018103511446e-07,2.8647018103511446e-07
0,1,dfg,recall,0.16216886282802834,0.16263571819489459,-0.00046685536686624785,0.00046685536686624785
1,2,dfg,recall,0.5150397289606704,0.5155985293265889,-0.0005588003659184881,0.0005588003659184881
2,3,dfg,recall,0.35641244424076984,0.35684284446255005,-0.00043040022178020276,0.00043040022178020276
3,4,dfg,recall,0.43508684521410584,0.43532970803151816,-0.00024286281741231486,0.00024286281741231486
4,5,dfg,recall,0.3497031300138487,0.35019410144294794,-0.0004909714290992628,0.0004909714290992628
5,6,dfg,recall,0.2169005347272174,0.21708142179654707,-0.00018088706932967158,0.00018088706932967158
6,7,dfg,recall,0.5122203791142961,0.5126725353355669,-0.00045215622127081634,0.00045215622127081634
7,8,dfg,recall,0.45271662874482516,0.4533090420904917,-0.0005924133456665648,0.0005924133456665648
8,9,dfg,recall,0.5658462398629873,0.5662512706726345,-0.00040503080964715554,0.00040503080964715554
9,10,dfg,recall,0.3360397463618822,0.3364071594579153,-0.0003674130960330535,0.0003674130960330535
10,11,dfg,recall,0.44961568862623924,0.4500447542116155,-0.0004290655853762537,0.0004290655853762537
11,12,dfg,recall,0.4035574404727045,0.4039235454263113,-0.00036610495360683837,0.00036610495360683837
