language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
python,codet5p_220,0,1,ast,7,8,0.3539511421223578,0.45790637496890685,0.30013313113040263
python,codet5p_220,0,1,dfg,4,5,0.08132644111528092,0.1069188252753901,0.16216886282802834
python,codet5p_220,1,2,ast,7,8,0.35639830763116825,0.46162229055704224,0.30313100628718004
python,codet5p_220,1,2,dfg,4,5,0.16615426858911708,0.11000126891982795,0.5150397289606704
python,codet5p_220,2,3,ast,3,4,0.32880733765677106,0.47242812776996423,0.26012252981208006
python,codet5p_220,2,3,dfg,0,1,0.21336960066146798,0.19622985238308374,0.35641244424076984
python,codet5p_220,3,4,ast,7,8,0.348605406947837,0.4540195495723714,0.29396008199100093
python,codet5p_220,3,4,dfg,0,1,0.10465588746403567,0.06075312958444825,0.43508684521410584
python,codet5p_220,4,5,ast,2,3,0.2658310088577098,0.365350356375654,0.21986197988768663
python,codet5p_220,4,5,dfg,4,5,0.23399138731068042,0.22715470353673337,0.3497031300138487
python,codet5p_220,5,6,ast,1,2,0.35108709578965586,0.3869813557480521,0.3333332100655641
python,codet5p_220,5,6,dfg,0,1,0.18489658504132395,0.19348955803260567,0.2169005347272174
python,codet5p_220,6,7,ast,7,8,0.2850318976970886,0.4883728919695307,0.20695767038619525
python,codet5p_220,6,7,dfg,0,1,0.15383401224939094,0.09290567460394059,0.5122203791142961
python,codet5p_220,7,8,ast,7,8,0.3635367447571798,0.533769611424825,0.2837546115691825
python,codet5p_220,7,8,dfg,0,1,0.097110383017516,0.056179507751267316,0.45271662874482516
python,codet5p_220,8,9,ast,6,7,0.32744850127750347,0.4864118701978376,0.2560767939166373
python,codet5p_220,8,9,dfg,5,6,0.14509396901630425,0.08508656229526645,0.5658462398629873
python,codet5p_220,9,10,ast,3,4,0.31913357837600703,0.425115194047409,0.26379279582708287
python,codet5p_220,9,10,dfg,0,1,0.167449163150947,0.121670109997466,0.3360397463618822
python,codet5p_220,10,11,ast,7,8,0.33130498168413963,0.5005608028950651,0.2556618978448433
python,codet5p_220,10,11,dfg,5,6,0.1383670265863896,0.08550219819292569,0.44961568862623924
python,codet5p_220,11,12,ast,7,8,0.343299175096829,0.4281365945313223,0.29907268106351653
python,codet5p_220,11,12,dfg,10,11,0.09469500131107905,0.05521626797291101,0.4035574404727045
