x,y,role,token
-2.8312466144561768,5.779322147369385,declaration,def
-1.893465518951416,4.977405071258545,identifier,_profile_package
-27.992755889892578,43.0744514465332,delimiter,(
2.9194512367248535,26.42731285095215,identifier,self
36.590240478515625,2.109313726425171,delimiter,)
-5.037388801574707,-51.81557846069336,delimiter,:
-21.213823318481445,5.593774795532227,identifier,prof
4.462208271026611,-6.554690837860107,assignment_operator,=
-9.65986156463623,5.151137828826904,identifier,cProfile
-56.837852478027344,-29.640304565429688,delimiter,.
-8.315245628356934,4.888185501098633,identifier,Profile
-22.622894287109375,42.50653076171875,delimiter,(
34.589908599853516,-1.4304536581039429,delimiter,)
-21.031583786010742,6.957914352416992,identifier,prof
-53.36838912963867,-30.21527862548828,delimiter,.
-1.7438448667526245,12.977893829345703,identifier,enable
-22.49209213256836,43.70149612426758,delimiter,(
35.87050247192383,-2.0465760231018066,delimiter,)
1.9120457172393799,1.0569791793823242,return_exception,try
-6.398094177246094,-51.970794677734375,delimiter,:
-1.2293980121612549,0.2571886479854584,identifier,runpy
-53.072383880615234,-28.690895080566406,delimiter,.
-0.24892356991767883,1.698888897895813,identifier,run_path
-26.70332145690918,42.20730209350586,delimiter,(
2.4639410972595215,25.417123794555664,identifier,self
-48.802913665771484,-26.664794921875,delimiter,.
0.779711127281189,3.1054739952087402,identifier,_run_object
32.50634002685547,-43.508079528808594,delimiter,","
-0.6430554986000061,2.414458990097046,identifier,run_name
2.871100664138794,-5.520506381988525,assignment_operator,=
4.569885730743408,4.582581043243408,other,'__main__'
37.2386474609375,-0.7034915685653687,delimiter,)
8.972087860107422,2.9261701107025146,return_exception,except
7.792147636413574,11.217826843261719,identifier,SystemExit
-6.880143165588379,-51.76917266845703,delimiter,:
6.520752906799316,0.6146039962768555,other,pass
-21.069643020629883,7.532158851623535,identifier,prof
-52.770294189453125,-30.115934371948242,delimiter,.
-1.459323525428772,13.147863388061523,identifier,disable
-22.63115692138672,44.447715759277344,delimiter,(
34.48823928833008,-2.4863545894622803,delimiter,)
-15.891993522644043,4.1428022384643555,identifier,prof_stats
4.039194107055664,-6.262683868408203,assignment_operator,=
-11.387540817260742,5.3339104652404785,identifier,pstats
-56.563270568847656,-29.129493713378906,delimiter,.
-13.478229522705078,2.9837124347686768,identifier,Stats
-25.20793342590332,41.82951736450195,delimiter,(
-20.126981735229492,8.428459167480469,identifier,prof
34.998043060302734,-0.21627984941005707,delimiter,)
-14.231148719787598,4.868046760559082,identifier,prof_stats
-54.05681610107422,-27.421621322631836,delimiter,.
6.584186553955078,3.5902836322784424,identifier,calc_callees
-23.86431121826172,44.40567398071289,delimiter,(
35.62376403808594,-2.9438037872314453,delimiter,)
9.13039779663086,8.7542724609375,return_exception,return
2.8828983306884766,7.47002649307251,delimiter,{
5.454887866973877,6.368057727813721,other,'objectName'
-8.121649742126465,-55.395957946777344,delimiter,:
1.7174524068832397,24.847421646118164,identifier,self
-49.733558654785156,-26.269163131713867,delimiter,.
1.139197587966919,3.960632562637329,identifier,_object_name
32.84049987792969,-42.14255142211914,delimiter,","
6.827094554901123,5.5831828117370605,other,'callStats'
-9.109615325927734,-55.5611457824707,delimiter,:
1.993208646774292,24.22762107849121,identifier,self
-50.24625778198242,-26.635156631469727,delimiter,.
1.6648893356323242,5.328920841217041,identifier,_transform_stats
-25.70616912841797,42.35258865356445,delimiter,(
-16.226430892944336,6.271355152130127,identifier,prof_stats
36.1676139831543,0.7415894865989685,delimiter,)
33.20869445800781,-40.9254264831543,delimiter,","
7.047646999359131,7.200662612915039,other,'totalTime'
-8.962220191955566,-54.25176239013672,delimiter,:
-14.828375816345215,5.991079807281494,identifier,prof_stats
-54.146690368652344,-25.580303192138672,delimiter,.
12.42801284790039,4.850008487701416,identifier,total_tt
31.877275466918945,-41.864253997802734,delimiter,","
7.562071323394775,5.762406826019287,other,'primitiveCalls'
-9.837323188781738,-54.13641357421875,delimiter,:
-14.35782527923584,6.6001996994018555,identifier,prof_stats
-53.88756561279297,-24.826047897338867,delimiter,.
12.098770141601562,6.91021203994751,identifier,prim_calls
31.622417449951172,-40.844154357910156,delimiter,","
8.994179725646973,6.431530475616455,other,'totalCalls'
-10.635478019714355,-54.57163619995117,delimiter,:
-14.724141120910645,7.464960098266602,identifier,prof_stats
-54.650291442871094,-24.38254737854004,delimiter,.
11.833915710449219,5.939927101135254,identifier,total_calls
30.727327346801758,-41.11724853515625,delimiter,","
6.193057060241699,8.632454872131348,other,'timestamp'
-11.050507545471191,-56.23404312133789,delimiter,:
4.822262763977051,9.956595420837402,identifier,int
-26.566455841064453,40.24106216430664,delimiter,(
15.063959121704102,13.073710441589355,identifier,time
-54.39780044555664,-22.825529098510742,delimiter,.
15.308832168579102,12.862711906433105,identifier,time
-20.80386734008789,43.11771774291992,delimiter,(
31.841257095336914,-0.25390344858169556,delimiter,)
30.940168380737305,0.1193716898560524,delimiter,)
29.271682739257812,0.5933099389076233,delimiter,}
