x,y,role,token
-84.94511413574219,-143.18954467773438,def,def
-96.593994140625,-32.26044845581055,identifier,calculate_pair_to_kern_mapping
161.62937927246094,-76.37520599365234,(,(
-65.95980834960938,-18.150156021118164,identifier,measurer
86.46395874023438,-89.10736083984375,:,:
-65.72382354736328,-15.681285858154297,identifier,text_measurer
50.58370590209961,179.1322784423828,.,.
-67.20468139648438,-15.524628639221191,identifier,TextMeasurer
180.23654174804688,29.112838745117188,",",","
-50.74589920043945,0.22213423252105713,identifier,char_to_length
86.1538314819336,-91.06600189208984,:,:
-82.7032699584961,3.752607583999634,identifier,Mapping
-49.351749420166016,86.91436004638672,identifier,str
185.8154296875,50.14329147338867,",",","
-55.422611236572266,69.24726867675781,identifier,float
178.29771423339844,29.972898483276367,",",","
-31.973941802978516,20.260374069213867,identifier,characters
85.97560119628906,-91.27770233154297,:,:
-53.9821891784668,58.72690200805664,identifier,Iterable
-48.501564025878906,86.13255310058594,identifier,str
24.250869750976562,-187.84283447265625,),)
-82.69982147216797,3.752995729446411,identifier,Mapping
-48.36988067626953,86.5263900756836,identifier,str
185.60838317871094,50.52558898925781,",",","
-55.42877960205078,69.20084381103516,identifier,float
92.0821762084961,-95.82657623291016,:,:
-32.838626861572266,13.188346862792969,identifier,pair_to_kerning
-175.03689575195312,61.313865661621094,for,for
-18.37215805053711,47.08574676513672,identifier,a
182.7777862548828,42.71621322631836,",",","
-23.453760147094727,46.16831588745117,identifier,b
-61.76246643066406,24.714599609375,identifier,itertools
23.927043914794922,141.22000122070312,.,.
-64.55513000488281,26.377689361572266,identifier,permutations
102.84739685058594,-8.9678373336792,(,(
-31.995403289794922,20.209747314453125,identifier,characters
184.48744201660156,58.79507064819336,",",","
15.723406791687012,-187.7752685546875,),)
91.51728057861328,-99.13492584228516,:,:
-31.23935890197754,12.245373725891113,identifier,kerned_width
-66.72222137451172,-19.259719848632812,identifier,measurer
33.896080017089844,150.83811950683594,.,.
-74.57083892822266,34.252193450927734,identifier,text_width
106.07379150390625,-10.476109504699707,(,(
-18.856836318969727,46.71862030029297,identifier,a
-28.31293296813965,88.78495788574219,+,+
-23.264686584472656,45.777957916259766,identifier,b
7.986186504364014,-143.22213745117188,),)
-30.848438262939453,12.407949447631836,identifier,unkerned_width
-40.632869720458984,10.087273597717285,identifier,char_to_length
-19.01811408996582,46.60370635986328,identifier,a
-26.837543487548828,91.71057891845703,+,+
-40.35799026489258,10.166828155517578,identifier,char_to_length
-23.243404388427734,45.74034881591797,identifier,b
-30.54004669189453,14.887125015258789,identifier,kerning
