layer_index,layer_number_one_based,graph,metric,pilot,reference,difference,absolute_difference
0,1,ast,fscore,0.33752978823691226,0.33762686294966676,-9.707471275449686e-05,9.707471275449686e-05
1,2,ast,fscore,0.3301980759710657,0.330279826041637,-8.175007057131811e-05,8.175007057131811e-05
2,3,ast,fscore,0.31984180455562483,0.3198487528653713,-6.948309746457326e-06,6.948309746457326e-06
3,4,ast,fscore,0.3587080682435529,0.35879603336533206,-8.796512177916549e-05,8.796512177916549e-05
4,5,ast,fscore,0.32544939274200213,0.3254024416805621,4.695106144003702e-05,4.695106144003702e-05
5,6,ast,fscore,0.3442268396334759,0.3442838641642333,-5.7024530757399106e-05,5.7024530757399106e-05
6,7,ast,fscore,0.32257546545020854,0.32262705276166714,-5.158731145860074e-05,5.158731145860074e-05
7,8,ast,fscore,0.30303186356226913,0.30300813986136793,2.372370090120146e-05,2.372370090120146e-05
8,9,ast,fscore,0.3219251322893982,0.3218675847836202,5.754750577796619e-05,5.754750577796619e-05
9,10,ast,fscore,0.27225491786154565,0.2721871891307747,6.772873077093289e-05,6.772873077093289e-05
10,11,ast,fscore,0.16739050752941498,0.1673552887795733,3.521874984166451e-05,3.521874984166451e-05
11,12,ast,fscore,0.17333387895827948,0.17337722021880753,-4.334126052804588e-05,4.334126052804588e-05
0,1,ast,precision,0.32672623116309885,0.3268634670129919,-0.00013723584989305815,0.00013723584989305815
1,2,ast,precision,0.4064730451831026,0.40664148147682466,-0.00016843629372204072,0.00016843629372204072
2,3,ast,precision,0.3911756333243933,0.3912551674567763,-7.953413238298568e-05,7.953413238298568e-05
3,4,ast,precision,0.39005763337110444,0.3902084504940414,-0.0001508171229369637,0.0001508171229369637
4,5,ast,precision,0.5100441061668276,0.5100960659365271,-5.1959769699516656e-05,5.1959769699516656e-05
5,6,ast,precision,0.43480867835389464,0.43495719799235205,-0.00014851963845741167,0.00014851963845741167
6,7,ast,precision,0.3413370547316958,0.34144123443667596,-0.00010417970498016738,0.00010417970498016738
7,8,ast,precision,0.4973377315857168,0.4974141121159733,-7.638053025649238e-05,7.638053025649238e-05
8,9,ast,precision,0.5150339567801682,0.5150699088752081,-3.5952095039926135e-05,3.5952095039926135e-05
9,10,ast,precision,0.4713791530336796,0.4713889246630155,-9.771629335908472e-06,9.771629335908472e-06
10,11,ast,precision,0.28142153898782246,0.2814311295273028,-9.590539480353044e-06,9.590539480353044e-06
11,12,ast,precision,0.2315123446171834,0.23161580341118426,-0.00010345879400086577,0.00010345879400086577
0,1,ast,recall,0.3657359471454477,0.3657695482050419,-3.3601059594157157e-05,3.3601059594157157e-05
1,2,ast,recall,0.28766404108591165,0.2876865970009141,-2.255591500244236e-05,2.255591500244236e-05
2,3,ast,recall,0.27966400615519,0.2796178802974908,4.6125857699197415e-05,4.6125857699197415e-05
3,4,ast,recall,0.34517566133812305,0.3451971409413136,-2.1479603190543983e-05,2.1479603190543983e-05
4,5,ast,recall,0.24596011691120157,0.2458857855316788,7.433137952275737e-05,7.433137952275737e-05
5,6,ast,recall,0.29580939032098164,0.29580675795812733,2.6323628543045707e-06,2.6323628543045707e-06
6,7,ast,recall,0.3192634987345213,0.319254206842499,9.291892022311732e-06,9.291892022311732e-06
7,8,ast,recall,0.22396031094551835,0.22390927449312972,5.103645238863086e-05,5.103645238863086e-05
8,9,ast,recall,0.24069441557392776,0.24061259249013175,8.182308379600656e-05,8.182308379600656e-05
9,10,ast,recall,0.1973956601278291,0.197318100045087,7.756008274209525e-05,7.756008274209525e-05
10,11,ast,recall,0.12557806121779003,0.12553471823403162,4.3342983758409837e-05,4.3342983758409837e-05
11,12,ast,recall,0.14324393478455422,0.14325559604570248,-1.1661261148265822e-05,1.1661261148265822e-05
0,1,dfg,fscore,0.19123128555530028,0.1910794299450453,0.00015185561025499172,0.00015185561025499172
1,2,dfg,fscore,0.13355580525292665,0.13360505970049444,-4.925444756778696e-05,4.925444756778696e-05
2,3,dfg,fscore,0.12811224996375023,0.12813350924162178,-2.1259277871554794e-05,2.1259277871554794e-05
3,4,dfg,fscore,0.13137798822516342,0.13135341706099748,2.4571164165931858e-05,2.4571164165931858e-05
4,5,dfg,fscore,0.1629222200674945,0.1628957497516945,2.6470315799997923e-05,2.6470315799997923e-05
5,6,dfg,fscore,0.18817232013751634,0.1881181256924947,5.419444502163806e-05,5.419444502163806e-05
6,7,dfg,fscore,0.15965597729452788,0.15960202582674446,5.395146778341964e-05,5.395146778341964e-05
7,8,dfg,fscore,0.1322849580287155,0.13229008068738402,-5.12265866850492e-06,5.12265866850492e-06
8,9,dfg,fscore,0.02196745262665416,0.02195420003485284,1.3252591801321545e-05,1.3252591801321545e-05
9,10,dfg,fscore,0.06442964475395266,0.0644682283081662,-3.858355421354487e-05,3.858355421354487e-05
