language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
python,graphcodebert,0,1,ast,6,7,0.33752978823691226,0.32672623116309885,0.3657359471454477
python,graphcodebert,0,1,dfg,7,8,0.19123128555530028,0.12871638592598902,0.5028242253957966
python,graphcodebert,1,2,ast,0,1,0.3301980759710657,0.4064730451831026,0.28766404108591165
python,graphcodebert,1,2,dfg,9,10,0.13355580525292665,0.07919257108596318,0.49682087891115867
python,graphcodebert,2,3,ast,7,8,0.31984180455562483,0.3911756333243933,0.27966400615519
python,graphcodebert,2,3,dfg,4,5,0.12811224996375023,0.0785850042447924,0.397192115899626
python,graphcodebert,3,4,ast,9,10,0.3587080682435529,0.39005763337110444,0.34517566133812305
python,graphcodebert,3,4,dfg,4,5,0.13137798822516342,0.07590106927626498,0.5589713373934466
python,graphcodebert,4,5,ast,7,8,0.32544939274200213,0.5100441061668276,0.24596011691120157
python,graphcodebert,4,5,dfg,6,7,0.1629222200674945,0.09826334865670733,0.5508805617070333
python,graphcodebert,5,6,ast,8,9,0.3442268396334759,0.43480867835389464,0.29580939032098164
python,graphcodebert,5,6,dfg,6,7,0.18817232013751634,0.11710785966530331,0.5655280868578891
python,graphcodebert,6,7,ast,6,7,0.32257546545020854,0.3413370547316958,0.3192634987345213
python,graphcodebert,6,7,dfg,2,3,0.15965597729452788,0.09554241824924492,0.5592202950225454
python,graphcodebert,7,8,ast,11,12,0.30303186356226913,0.4973377315857168,0.22396031094551835
python,graphcodebert,7,8,dfg,9,10,0.1322849580287155,0.0782261395284273,0.4929819672561738
python,graphcodebert,8,9,ast,6,7,0.3219251322893982,0.5150339567801682,0.24069441557392776
python,graphcodebert,8,9,dfg,1,2,0.02196745262665416,0.01499372682104039,0.0449074420719137
python,graphcodebert,9,10,ast,2,3,0.27225491786154565,0.4713791530336796,0.1973956601278291
python,graphcodebert,9,10,dfg,10,11,0.06442964475395266,0.055804894128080394,0.09067197898293203
python,graphcodebert,10,11,ast,4,5,0.16739050752941498,0.28142153898782246,0.12557806121779003
python,graphcodebert,10,11,dfg,6,7,0.28054569001825835,0.19461509115955244,0.5837795876687857
python,graphcodebert,11,12,ast,11,12,0.17333387895827948,0.2315123446171834,0.14324393478455422
python,graphcodebert,11,12,dfg,2,3,0.1639903944802935,0.09802927231424381,0.5767951853831672
