x,y,role,token
-241.43235778808594,-17.007431030273438,def,def
96.36695098876953,-5.488982677459717,identifier,calculate_pair_to_kern_mapping
-170.69979858398438,8.682552337646484,(,(
88.12117767333984,1.241184115409851,identifier,measurer
-94.21724700927734,-157.99795532226562,:,:
90.075927734375,3.065162181854248,identifier,text_measurer
-39.579898834228516,96.72964477539062,.,.
90.54385375976562,1.1880254745483398,identifier,TextMeasurer
-100.22588348388672,-91.43059539794922,",",","
72.12503051757812,-1.9046907424926758,identifier,char_to_length
-95.75674438476562,-158.67991638183594,:,:
51.28346252441406,-20.82857894897461,identifier,Mapping
48.80472946166992,-36.3307991027832,identifier,str
-79.5150146484375,-79.27205657958984,",",","
47.25338363647461,-30.948312759399414,identifier,float
-99.24526977539062,-92.10023498535156,",",","
55.07284927368164,20.273155212402344,identifier,characters
-96.01715087890625,-159.2362823486328,:,:
48.036949157714844,-20.663358688354492,identifier,Iterable
48.548011779785156,-36.83511734008789,identifier,str
35.1951904296875,-199.02615356445312,),)
51.47526931762695,-20.77094078063965,identifier,Mapping
48.9927978515625,-35.98844909667969,identifier,str
-79.86162567138672,-79.49799346923828,",",","
47.25508499145508,-30.948654174804688,identifier,float
-89.8384017944336,-174.75192260742188,:,:
61.79689407348633,43.0561637878418,identifier,pair_to_kerning
8.033531188964844,-104.40339660644531,for,for
30.911298751831055,29.803415298461914,identifier,a
-96.52853393554688,-70.2396240234375,",",","
23.51556968688965,-18.60591697692871,identifier,b
20.483625411987305,7.412674903869629,identifier,itertools
-56.320560455322266,76.06576538085938,.,.
27.660160064697266,13.166756629943848,identifier,permutations
-96.72917938232422,7.926931858062744,(,(
54.96767807006836,20.54900550842285,identifier,characters
-68.3779296875,-65.13909149169922,",",","
61.01266098022461,-155.20074462890625,),)
-59.13542175292969,-161.7924041748047,:,:
50.4449348449707,50.21730422973633,identifier,kerned_width
40.59789276123047,64.3941879272461,identifier,measurer
-62.592864990234375,80.55493927001953,.,.
17.252456665039062,22.17338752746582,identifier,text_width
-95.02993774414062,2.343998670578003,(,(
30.555423736572266,30.21332359313965,identifier,a
-13.532102584838867,-18.850427627563477,+,+
28.53835105895996,32.68958282470703,identifier,b
57.717472076416016,-140.47996520996094,),)
47.79894256591797,52.10969161987305,identifier,unkerned_width
25.77055549621582,57.887325286865234,identifier,char_to_length
30.39166259765625,30.410911560058594,identifier,a
-15.558422088623047,-20.312175750732422,+,+
25.6160888671875,58.084346771240234,identifier,char_to_length
28.507259368896484,32.72221374511719,identifier,b
32.78680419921875,59.2523078918457,identifier,kerning
23.45686149597168,62.821075439453125,identifier,unkerned_width
-13.883513450622559,-5.64837646484375,-,-
23.360137939453125,62.818336486816406,identifier,kerned_width
-8.374438285827637,-112.84468078613281,if,if
4.5328545570373535,49.686767578125,identifier,abs
-121.83594512939453,9.90360164642334,(,(
26.230228424072266,66.75100708007812,identifier,kerning
74.55337524414062,-149.8048858642578,),)
22.83958625793457,-42.71834182739258,>,>
-43.497737884521484,-161.43685913085938,:,:
24.545621871948242,76.00131225585938,identifier,pair_to_kerning
14.411895751953125,58.35784149169922,identifier,a
-15.603361129760742,-17.568513870239258,+,+
14.972251892089844,57.90728759765625,identifier,b
-4.016880989074707,49.18765640258789,identifier,round
-77.82506561279297,0.13571515679359436,(,(
26.22490119934082,66.77640533447266,identifier,kerning
-66.43073272705078,-45.9215202331543,",",","
76.623291015625,-126.1138687133789,),)
18.666725158691406,80.36851501464844,identifier,pair_to_kerning
-241.29881286621094,-21.492942810058594,def,def
101.407470703125,0.023034384474158287,identifier,indent
-174.3981170654297,12.938132286071777,(,(
101.95231628417969,10.566206932067871,identifier,instr
-109.23027038574219,-92.59015655517578,",",","
76.19100952148438,-14.061033248901367,identifier,nspaces
-105.28459167480469,-94.8060531616211,",",","
76.17436218261719,-13.931078910827637,identifier,ntabs
-103.59638214111328,-97.85794830322266,",",","
72.19778442382812,-11.828384399414062,identifier,flatten
37.88304901123047,-197.24496459960938,),)
-89.45191192626953,-170.11428833007812,:,:
-9.141435623168945,-86.74166870117188,if,if
101.89892578125,10.482975959777832,identifier,instr
-63.322505950927734,-140.7660369873047,:,:
78.40216064453125,9.147992134094238,identifier,ind
40.03835678100586,-10.941608428955078,"""",'\t'
61.743953704833984,-4.544596195220947,identifier,ntabs
-13.997151374816895,-25.18488311767578,+,+
38.30801010131836,-10.882286071777344,"""",' '
61.72671127319336,-4.554387092590332,identifier,nspaces
-10.313363075256348,-93.07280731201172,if,if
64.63396453857422,-2.5606985092163086,identifier,flatten
-60.905887603759766,-147.10821533203125,:,:
7.707533836364746,-1.9627394676208496,identifier,pat
16.849672317504883,-4.777954578399658,identifier,re
-57.358642578125,73.98208618164062,.,.
19.82093048095703,-1.7535303831100464,identifier,compile
-94.69841003417969,16.9094181060791,(,(
27.947547912597656,2.409789800643921,"""",r'^\s*'
-68.05339050292969,-61.80516052246094,",",","
16.821760177612305,-4.473419666290283,identifier,re
-39.219696044921875,106.7834243774414,.,.
23.63530921936035,-2.2676963806152344,identifier,MULTILINE
52.06787872314453,-151.39700317382812,),)
-8.071759223937988,-152.46421813964844,else,else
-22.464067459106445,-152.90435791015625,:,:
7.589386940002441,-1.8376805782318115,identifier,pat
16.493192672729492,-4.560391902923584,identifier,re
-57.51493835449219,73.99202728271484,.,.
19.81072235107422,-1.7348474264144897,identifier,compile
-94.12165069580078,16.43047523498535,(,(
27.479698181152344,2.4895334243774414,"""",r'^'
-68.17350769042969,-61.388309478759766,",",","
16.613521575927734,-4.394181728363037,identifier,re
-39.106597900390625,106.83418273925781,.,.
23.609363555908203,-2.2582144737243652,identifier,MULTILINE
53.496421813964844,-142.177001953125,),)
51.793033599853516,53.54838943481445,identifier,outstr
15.875740051269531,-4.540328025817871,identifier,re
-59.994075775146484,71.19233703613281,.,.
-31.527790069580078,51.36687088012695,identifier,sub
-90.4432373046875,4.481010437011719,(,(
7.1649298667907715,-1.4055328369140625,identifier,pat
-69.35657501220703,-55.324371337890625,",",","
36.09647750854492,50.443992614746094,identifier,ind
-69.6628189086914,-55.41826629638672,",",","
102.15615844726562,11.151086807250977,identifier,instr
64.03718566894531,-137.51290893554688,),)
-9.478658676147461,-110.4027099609375,if,if
24.486648559570312,80.77847290039062,identifier,outstr
-43.0761604309082,73.70402526855469,.,.
2.2887229919433594,36.435890197753906,identifier,endswith
-84.62203979492188,4.4370808601379395,(,(
87.93714904785156,78.29331970214844,identifier,os
-60.72010040283203,65.88666534423828,.,.
2.0616419315338135,39.34236526489258,identifier,linesep
-16.43373680114746,-19.967527389526367,+,+
36.01417922973633,50.7313346862793,identifier,ind
67.81826782226562,-149.60964965820312,),)
-44.59185791015625,-157.33741760253906,:,:
24.090049743652344,80.84519958496094,identifier,outstr
-5.891810417175293,-3.7063567638397217,:,:
-10.672537803649902,-5.882796764373779,-,-
-27.870546340942383,-6.938210964202881,identifier,len
-85.66806030273438,-5.619353294372559,(,(
35.95552062988281,50.96026611328125,identifier,ind
78.656494140625,-154.66329956054688,),)
-10.834805488586426,-159.0401153564453,else,else
-22.855846405029297,-160.6174774169922,:,:
23.046504974365234,81.07206726074219,identifier,outstr
-235.9899139404297,-14.045586585998535,def,def
98.9289779663086,-2.741203546524048,identifier,get_partitions
-172.06927490234375,14.250997543334961,(,(
-29.51487159729004,177.3445281982422,identifier,self
-111.58295440673828,-84.85491943359375,",",","
83.17376708984375,-12.299108505249023,identifier,database_name
-105.80067443847656,-85.86121368408203,",",","
80.58058166503906,-11.882087707519531,identifier,table_name
-105.60616302490234,-92.52191925048828,",",","
73.82745361328125,-15.287063598632812,identifier,expression
40.575870513916016,-27.473182678222656,"""",''
-101.70965576171875,-95.61335754394531,",",","
73.90080261230469,-6.1047868728637695,identifier,page_size
-100.09806060791016,-97.69356536865234,",",","
73.01543426513672,-5.5155768394470215,identifier,max_items
36.010658264160156,-196.73330688476562,),)
-88.62249755859375,-173.24557495117188,:,:
85.07796478271484,29.43185043334961,identifier,config
43.14225387573242,-2.7423131465911865,"""",'PageSize'
-28.38815689086914,-43.55879592895508,:,:
61.2437629699707,-2.789337396621704,identifier,page_size
-89.3321304321289,-54.87714767456055,",",","
43.133426666259766,-2.756314992904663,"""",'MaxItems'
-28.322078704833984,-43.77631378173828,:,:
61.27299880981445,-2.7458183765411377,identifier,max_items
-61.97233963012695,-87.29121398925781,",",","
62.48076629638672,47.68413543701172,identifier,paginator
28.210229873657227,174.44236755371094,identifier,self
-77.21119689941406,114.81883239746094,.,.
38.45660400390625,12.167757034301758,identifier,get_conn
-105.75581359863281,35.40898132324219,(,(
74.0250473022461,-168.49559020996094,),)
-55.0725212097168,82.05870819091797,.,.
33.45610046386719,10.523322105407715,identifier,get_paginator
-100.48905181884766,10.503368377685547,(,(
27.754283905029297,9.423707008361816,"""",'get_partitions'
50.9581298828125,-147.27053833007812,),)
54.825008392333984,55.2305793762207,identifier,response
32.848697662353516,22.622499465942383,identifier,paginator
-60.82174301147461,79.67726135253906,.,.
32.814453125,22.6052303314209,identifier,paginate
-97.4945297241211,-2.2793996334075928,(,(
22.862924575805664,29.160451889038086,identifier,DatabaseName
32.11854934692383,33.567562103271484,identifier,database_name
-91.24980926513672,-47.54681396484375,",",","
22.804424285888672,29.13642692565918,identifier,TableName
31.97216796875,34.20318603515625,identifier,table_name
-91.00042724609375,-47.3874626159668,",",","
8.931676864624023,16.43902015686035,identifier,Expression
8.938161849975586,16.418079376220703,identifier,expression
-90.69971466064453,-47.35329818725586,",",","
9.255417823791504,27.784107208251953,identifier,PaginationConfig
35.28822708129883,45.28190231323242,identifier,config
58.055030822753906,-137.302978515625,),)
19.55398941040039,87.15442657470703,identifier,partitions
5.721494674682617,-13.433419227600098,identifier,set
