layer_index,layer_number_one_based,graph,metric,pilot,reference,difference,absolute_difference
0,1,ast,fscore,0.0658310744817389,0.09865887976375536,-0.03282780528201645,0.03282780528201645
1,2,ast,fscore,0.4258980791590309,0.4053960242181449,0.020502054940885972,0.020502054940885972
2,3,ast,fscore,0.3479893203949548,0.331535848564399,0.016453471830555788,0.016453471830555788
3,4,ast,fscore,0.3845398886479511,0.35651971147712536,0.028020177170825722,0.028020177170825722
4,5,ast,fscore,0.36306350359423195,0.38197223593228896,-0.01890873233805701,0.01890873233805701
5,6,ast,fscore,0.3350344234318871,0.339207872533067,-0.0041734491011798935,0.0041734491011798935
0,1,ast,precision,0.11627922438376367,0.11792301439962469,-0.001643790015861013,0.001643790015861013
1,2,ast,precision,0.41507501182321305,0.3914375775911429,0.023637434232070154,0.023637434232070154
2,3,ast,precision,0.3449094409048589,0.3219123791208896,0.02299706178396932,0.02299706178396932
3,4,ast,precision,0.37204312856880795,0.36679254594941,0.0052505826193979255,0.0052505826193979255
4,5,ast,precision,0.3892068897363138,0.38886527376339336,0.0003416159729204282,0.0003416159729204282
5,6,ast,precision,0.39674026092338605,0.336691044669616,0.06004921625377002,0.06004921625377002
0,1,ast,recall,0.05446254425816737,0.11015067949400716,-0.055688135235839785,0.055688135235839785
1,2,ast,recall,0.4573802694104691,0.43996562299110936,0.017414646419359747,0.017414646419359747
2,3,ast,recall,0.3665939844022379,0.35886498376480214,0.007729000637435757,0.007729000637435757
3,4,ast,recall,0.4180650683624775,0.36709003665469414,0.050975031707783336,0.050975031707783336
4,5,ast,recall,0.3552224912884999,0.3942231106469538,-0.03900061935845389,0.03900061935845389
5,6,ast,recall,0.30182459607450807,0.356312227564249,-0.05448763148974095,0.05448763148974095
0,1,dfg,fscore,0.18646454045727456,0.18440124592395013,0.0020632945333244335,0.0020632945333244335
1,2,dfg,fscore,0.18442803580310538,0.1769349050442736,0.00749313075883179,0.00749313075883179
2,3,dfg,fscore,0.12420199862843348,0.11829426177806393,0.005907736850369549,0.005907736850369549
3,4,dfg,fscore,0.10495918440621785,0.09962685731869655,0.005332327087521294,0.005332327087521294
4,5,dfg,fscore,0.04309538410362476,0.035038988453637426,0.008056395649987336,0.008056395649987336
5,6,dfg,fscore,0.11333408994830485,0.09683672988355287,0.016497360064751984,0.016497360064751984
0,1,dfg,precision,0.12638862363808157,0.12472330266403424,0.0016653209740473268,0.0016653209740473268
1,2,dfg,precision,0.12154177270651244,0.1166794611172257,0.004862311589286739,0.004862311589286739
2,3,dfg,precision,0.07316931475733794,0.06873575200524008,0.004433562752097858,0.004433562752097858
3,4,dfg,precision,0.05970724357464966,0.05604077092974226,0.0036664726449074023,0.0036664726449074023
4,5,dfg,precision,0.025102354919258545,0.019388988935161135,0.005713365984097409,0.005713365984097409
5,6,dfg,precision,0.06432993574121432,0.05386537135611772,0.010464564385096596,0.010464564385096596
0,1,dfg,recall,0.4953092662539154,0.49611779977805953,-0.0008085335241441172,0.0008085335241441172
1,2,dfg,recall,0.5040929914593566,0.5083026127121086,-0.004209621252752038,0.004209621252752038
2,3,dfg,recall,0.5383525450846058,0.55016650587699,-0.01181396079238417,0.01181396079238417
3,4,dfg,recall,0.49311684352429946,0.5106079079664357,-0.017491064442136273,0.017491064442136273
4,5,dfg,recall,0.16611234182111098,0.2013911865279439,-0.03527884470683293,0.03527884470683293
5,6,dfg,recall,0.5524154302123344,0.5569755253876174,-0.004560095175282997,0.004560095175282997
