x,y,role,token
29.75303840637207,8.893598556518555,declaration,def
28.956151962280273,8.981005668640137,identifier,_profile_package
31.143077850341797,7.6856889724731445,delimiter,(
30.413694381713867,6.897381782531738,identifier,self
31.298046112060547,6.808383941650391,delimiter,)
29.103967666625977,8.1906156539917,delimiter,:
16.35873794555664,51.32465744018555,identifier,prof
16.142236709594727,51.361412048339844,assignment_operator,=
15.71750545501709,54.41206741333008,identifier,cProfile
16.599138259887695,54.42341232299805,delimiter,.
16.069026947021484,53.6790885925293,identifier,Profile
18.196849822998047,52.89809799194336,delimiter,(
18.196849822998047,52.89809799194336,delimiter,)
29.7320556640625,24.869888305664062,identifier,prof
29.917177200317383,25.639148712158203,delimiter,.
29.132909774780273,25.571422576904297,identifier,enable
27.846378326416016,24.166074752807617,delimiter,(
28.15457534790039,23.8092098236084,delimiter,)
21.999101638793945,11.819530487060547,return_exception,try
22.06047248840332,12.324864387512207,delimiter,:
-13.41406536102295,32.76596450805664,identifier,runpy
-12.584070205688477,32.77751541137695,delimiter,.
-12.988880157470703,32.071163177490234,identifier,run_path
-13.09908390045166,38.07511520385742,delimiter,(
-10.038585662841797,38.89177322387695,identifier,self
-10.527234077453613,38.16802978515625,delimiter,.
-10.893659591674805,39.065181732177734,identifier,_run_object
-12.741369247436523,37.31904602050781,delimiter,","
-15.569694519042969,38.53301239013672,identifier,run_name
-15.287471771240234,39.025306701660156,assignment_operator,=
-16.513065338134766,39.45138168334961,other,'__main__'
-13.501455307006836,37.34329605102539,delimiter,)
19.68492889404297,12.214142799377441,return_exception,except
20.324033737182617,11.844589233398438,identifier,SystemExit
20.34597396850586,12.836015701293945,delimiter,:
18.72272491455078,13.391824722290039,other,pass
43.03284454345703,10.119826316833496,identifier,prof
42.999446868896484,10.905163764953613,delimiter,.
42.27674865722656,10.335487365722656,identifier,disable
41.45915222167969,12.110776901245117,delimiter,(
41.45915222167969,12.110776901245117,delimiter,)
30.13214874267578,-27.86188507080078,identifier,prof_stats
30.342893600463867,-27.865398406982422,assignment_operator,=
31.606836318969727,-31.076814651489258,identifier,pstats
31.544635772705078,-30.20865821838379,delimiter,.
32.287105560302734,-30.535188674926758,identifier,Stats
28.9259090423584,-31.094554901123047,delimiter,(
28.945459365844727,-30.22107696533203,identifier,prof
28.218564987182617,-30.58951759338379,delimiter,)
24.29637908935547,-3.7648887634277344,identifier,prof_stats
24.351787567138672,-2.9802355766296387,delimiter,.
23.571002960205078,-3.4627084732055664,identifier,calc_callees
22.764902114868164,-1.7401902675628662,delimiter,(
23.168710708618164,-1.4916350841522217,delimiter,)
30.933185577392578,16.301128387451172,return_exception,return
-17.014606475830078,-12.911589622497559,delimiter,{
-19.63573455810547,-7.910070896148682,other,'objectName'
-19.157428741455078,-6.9580769538879395,delimiter,:
-17.340654373168945,-3.6529107093811035,identifier,self
-17.283645629882812,-4.459346294403076,delimiter,.
-18.022275924682617,-4.084139347076416,identifier,_object_name
-16.670570373535156,-19.058929443359375,delimiter,","
-17.141590118408203,-24.544288635253906,other,'callStats'
-16.571086883544922,-25.576072692871094,delimiter,:
-11.663028717041016,-30.623098373413086,identifier,self
-11.289079666137695,-29.940261840820312,delimiter,.
-12.064371109008789,-29.921533584594727,identifier,_transform_stats
-14.976046562194824,-31.48917579650879,delimiter,(
-15.396129608154297,-32.1400146484375,identifier,prof_stats
-14.619865417480469,-32.21424102783203,delimiter,)
-22.175537109375,-22.249889373779297,delimiter,","
-29.9580020904541,-12.264993667602539,other,'totalTime'
-31.00341033935547,-12.079665184020996,delimiter,:
-33.94880676269531,-12.301579475402832,identifier,prof_stats
-33.971466064453125,-11.47476863861084,delimiter,.
-34.65546798706055,-11.91867446899414,identifier,total_tt
-27.21709442138672,-17.0313777923584,delimiter,","
-11.642669677734375,-15.936773300170898,other,'primitiveCalls'
-10.573709487915039,-15.838720321655273,delimiter,:
-7.913064002990723,-14.130751609802246,identifier,prof_stats
-7.626434326171875,-13.375762939453125,delimiter,.
-8.42618465423584,-13.482006072998047,identifier,prim_calls
-21.75128173828125,-16.516878128051758,delimiter,","
-28.021177291870117,-22.58010482788086,other,'totalCalls'
-28.734567642211914,-23.37098503112793,delimiter,:
-30.972339630126953,-25.442298889160156,identifier,prof_stats
-30.341201782226562,-25.984643936157227,delimiter,.
-31.104551315307617,-26.237186431884766,identifier,total_calls
-24.020784378051758,-11.4962797164917,delimiter,","
-31.120206832885742,2.273972272872925,other,'timestamp'
-31.6516170501709,3.337678909301758,delimiter,:
-32.93362045288086,5.980823516845703,identifier,int
-33.409446716308594,7.3805365562438965,delimiter,(
-33.488155364990234,11.327951431274414,identifier,time
-34.33064270019531,11.279949188232422,delimiter,.
-33.79055404663086,10.570195198059082,identifier,time
-36.083335876464844,9.687524795532227,delimiter,(
-35.84231948852539,9.306039810180664,delimiter,)
-33.71278762817383,7.23776912689209,delimiter,)
-26.568252563476562,-5.981533527374268,delimiter,}
