x,y,role,token
99.76298522949219,-96.58674621582031,def,def
75.86113739013672,2.2014365196228027,identifier,calculate_pair_to_kern_mapping
-139.83322143554688,43.08515548706055,(,(
66.25149536132812,-19.106168746948242,identifier,measurer
18.273677825927734,-182.2282257080078,:,:
58.90831756591797,3.3291337490081787,identifier,text_measurer
16.40656852722168,169.2417755126953,.,.
59.63640594482422,5.200412750244141,identifier,TextMeasurer
-160.04554748535156,-28.9521484375,",",","
34.37974548339844,-25.47824478149414,identifier,char_to_length
17.98609733581543,-180.71282958984375,:,:
62.286476135253906,28.64518165588379,identifier,Mapping
98.41636657714844,-22.54657745361328,identifier,str
-136.19683837890625,-18.667633056640625,",",","
52.632286071777344,30.604633331298828,identifier,float
-159.61273193359375,-29.97810173034668,",",","
36.66305923461914,-13.539917945861816,identifier,characters
17.608728408813477,-180.30178833007812,:,:
58.9191780090332,28.521371841430664,identifier,Iterable
97.89933776855469,-22.166303634643555,identifier,str
-85.51560974121094,-117.6469497680664,),)
62.31306838989258,28.591270446777344,identifier,Mapping
97.7048568725586,-22.288009643554688,identifier,str
-136.19691467285156,-19.05417251586914,",",","
52.58644104003906,30.675457000732422,identifier,float
35.3264274597168,-187.63294982910156,:,:
23.728233337402344,-15.880072593688965,identifier,pair_to_kerning
142.436767578125,8.437997817993164,for,for
-27.082992553710938,7.626526355743408,identifier,a
-149.80596923828125,-25.471961975097656,",",","
-25.607267379760742,13.684866905212402,identifier,b
37.3349723815918,14.196765899658203,identifier,itertools
-19.051054000854492,163.5725555419922,.,.
37.24775314331055,14.07395076751709,identifier,permutations
-109.56875610351562,81.48957061767578,(,(
36.64554977416992,-13.519686698913574,identifier,characters
-124.05854034423828,-27.936378479003906,",",","
-64.49813079833984,-139.39260864257812,),)
49.00856018066406,-174.68743896484375,:,:
2.296955108642578,2.146138906478882,identifier,kerned_width
67.14933776855469,-18.71475601196289,identifier,measurer
-5.3013386726379395,182.5027618408203,.,.
24.633987426757812,10.172343254089355,identifier,text_width
-108.89991760253906,87.5306625366211,(,(
-26.786008834838867,7.355194091796875,identifier,a
-16.203638076782227,67.07356262207031,+,+
-25.1418514251709,13.427204132080078,identifier,b
-66.57610321044922,-152.1451873779297,),)
2.2800705432891846,2.2669551372528076,identifier,unkerned_width
6.111643314361572,-14.343644142150879,identifier,char_to_length
-26.599021911621094,7.189426898956299,identifier,a
-15.05051040649414,68.34648132324219,+,+
6.094594478607178,-14.30238151550293,identifier,char_to_length
-25.013723373413086,13.35831069946289,identifier,b
2.3093132972717285,4.489548683166504,identifier,kerning
0.1418418139219284,-1.1908495426177979,identifier,unkerned_width
11.155925750732422,52.73029327392578,-,-
0.0670197457075119,-1.2574700117111206,identifier,kerned_width
189.2119598388672,-34.8160400390625,if,if
38.74665069580078,30.230241775512695,identifier,abs
-119.97091674804688,89.27108764648438,(,(
-10.810397148132324,-3.587507963180542,identifier,kerning
-67.7658462524414,-120.37688446044922,),)
49.323204040527344,78.19103240966797,>,>
40.181705474853516,-162.7402801513672,:,:
-3.146456718444824,-11.123703956604004,identifier,pair_to_kerning
-26.46527862548828,7.07194185256958,identifier,a
-16.23045539855957,65.60984802246094,+,+
-24.91058921813965,13.287862777709961,identifier,b
39.06755065917969,30.137849807739258,identifier,round
-117.33930206298828,100.44397735595703,(,(
-10.810135841369629,-3.618952989578247,identifier,kerning
-121.30091857910156,-29.95427703857422,",",","
-52.44007873535156,-158.0631866455078,),)
-7.332148551940918,-11.451427459716797,identifier,pair_to_kerning
99.765869140625,-99.6775131225586,def,def
