layer_index,layer_number_one_based,graph,metric,pilot,reference,difference,absolute_difference
0,1,ast,fscore,0.35000947850160585,0.3500729858482748,-6.350734666893398e-05,6.350734666893398e-05
1,2,ast,fscore,0.3247349388035136,0.32475026775629434,-1.5328952780724325e-05,1.5328952780724325e-05
2,3,ast,fscore,0.3191549986275182,0.31923724580596113,-8.224717844290685e-05,8.224717844290685e-05
3,4,ast,fscore,0.3381686716972774,0.3381208852064467,4.778649083070352e-05,4.778649083070352e-05
4,5,ast,fscore,0.3119041106587635,0.3120367988465183,-0.00013268818775480362,0.00013268818775480362
5,6,ast,fscore,0.33811613270232693,0.3381045547227722,1.157797955475548e-05,1.157797955475548e-05
6,7,ast,fscore,0.348939937990322,0.3489102057727614,2.9732217560640706e-05,2.9732217560640706e-05
7,8,ast,fscore,0.31527254610571964,0.3152050312424384,6.751486328121503e-05,6.751486328121503e-05
8,9,ast,fscore,0.17856487811208213,0.1785212257282199,4.365238386222492e-05,4.365238386222492e-05
9,10,ast,fscore,0.13244062377801777,0.1324167008390047,2.3922939013071298e-05,2.3922939013071298e-05
10,11,ast,fscore,0.09703249514747607,0.09701202659229097,2.0468555185101933e-05,2.0468555185101933e-05
11,12,ast,fscore,0.08415803547782075,0.08415284087017641,5.1946076443376565e-06,5.1946076443376565e-06
0,1,ast,precision,0.45802801978020724,0.4582044962183548,-0.00017647643814755476,0.00017647643814755476
1,2,ast,precision,0.3817098479025536,0.3817977277555517,-8.78798529981295e-05,8.78798529981295e-05
2,3,ast,precision,0.3314254436337369,0.3315512673499855,-0.00012582371624864086,0.00012582371624864086
3,4,ast,precision,0.5212152657552693,0.5212598497446154,-4.458398934603647e-05,4.458398934603647e-05
4,5,ast,precision,0.4631623294326873,0.4634445352720804,-0.0002822058393930904,0.0002822058393930904
5,6,ast,precision,0.4992040042140166,0.49929800726575174,-9.400305173512535e-05,9.400305173512535e-05
6,7,ast,precision,0.46264848737342973,0.4627062491147956,-5.776174136584711e-05,5.776174136584711e-05
7,8,ast,precision,0.578994139157308,0.5790162050772548,-2.206591994680096e-05,2.206591994680096e-05
8,9,ast,precision,0.4942011584359024,0.49421656221888755,-1.540378298514611e-05,1.540378298514611e-05
9,10,ast,precision,0.21638977581259894,0.21639233710100358,-2.561288404645534e-06,2.561288404645534e-06
10,11,ast,precision,0.28417026494662945,0.2841680157338538,2.2492127756401636e-06,2.2492127756401636e-06
11,12,ast,precision,0.3180259736115012,0.3180303091816297,-4.335570128521926e-06,4.335570128521926e-06
0,1,ast,recall,0.2927544456388082,0.2927587471789992,-4.301540190987385e-06,4.301540190987385e-06
1,2,ast,recall,0.29275366972581085,0.29271001107100125,4.365865480959741e-05,4.365865480959741e-05
2,3,ast,recall,0.3225273452699382,0.32255336959169295,-2.6024321754747337e-05,2.6024321754747337e-05
3,4,ast,recall,0.2575453836482165,0.2574670813835147,7.830226470179058e-05,7.830226470179058e-05
4,5,ast,recall,0.24076877863412127,0.2408373309011909,-6.855226706961592e-05,6.855226706961592e-05
5,6,ast,recall,0.2622702304537664,0.26221802855878606,5.220189498034156e-05,5.220189498034156e-05
6,7,ast,recall,0.2887263948400842,0.2886529374238201,7.345741626413327e-05,7.345741626413327e-05
7,8,ast,recall,0.22232985808448694,0.22225520329490805,7.465478957888183e-05,7.465478957888183e-05
8,9,ast,recall,0.11389365394835314,0.11385898696832383,3.4666980029310346e-05,3.4666980029310346e-05
9,10,ast,recall,0.109229286204417,0.10919875003427383,3.0536170143175e-05,3.0536170143175e-05
10,11,ast,recall,0.07079369206985296,0.0707757644158097,1.7927654043264907e-05,1.7927654043264907e-05
11,12,ast,recall,0.0705876218290834,0.0705826603286661,4.961500417302589e-06,4.961500417302589e-06
0,1,dfg,fscore,0.22113221604670977,0.22108775962234717,4.445642436259889e-05,4.445642436259889e-05
1,2,dfg,fscore,0.18583541825684124,0.1858738482984635,-3.843004162226715e-05,3.843004162226715e-05
2,3,dfg,fscore,0.14164040967483696,0.14162926749221094,1.1142182626017183e-05,1.1142182626017183e-05
3,4,dfg,fscore,0.14135824376102393,0.14146543712844808,-0.00010719336742415209,0.00010719336742415209
4,5,dfg,fscore,0.15294421105641365,0.15294761454606834,-3.403489654690839e-06,3.403489654690839e-06
5,6,dfg,fscore,0.179772977142828,0.17983373354971793,-6.0756406889933556e-05,6.0756406889933556e-05
6,7,dfg,fscore,0.11401812768693878,0.11401404184725622,4.085839682560488e-06,4.085839682560488e-06
7,8,dfg,fscore,0.05253813650515561,0.0524908260268459,4.731047830971308e-05,4.731047830971308e-05
8,9,dfg,fscore,0.02801354589915687,0.02804088751285193,-2.734161369506022e-05,2.734161369506022e-05
9,10,dfg,fscore,0.11839208213841844,0.11842886741093604,-3.678527251760322e-05,3.678527251760322e-05
10,11,dfg,fscore,0.09349686826936973,0.0935999835488632,-0.00010311527949347088,0.00010311527949347088
11,12,dfg,fscore,0.08706586380818192,0.08707037347802518,-4.509669843263953e-06,4.509669843263953e-06
0,1,dfg,precision,0.14857709658751278,0.14851130759481326,6.578899269951699e-05,6.578899269951699e-05
1,2,dfg,precision,0.11534565061658403,0.11536120387927429,-1.5553262690259917e-05,1.5553262690259917e-05
2,3,dfg,precision,0.08277051967835686,0.0827603592039765,1.0160474380363493e-05,1.0160474380363493e-05
3,4,dfg,precision,0.13653106358419875,0.13654047933087948,-9.415746680729864e-06,9.415746680729864e-06
4,5,dfg,precision,0.09190464803943056,0.09189508482204037,9.56321739019328e-06,9.56321739019328e-06
5,6,dfg,precision,0.11759759062409629,0.11762090441082744,-2.3313786731149477e-05,2.3313786731149477e-05
