language,model,layer_index,layer_number_one_based,graph,head_index,head_number_one_based,fscore,precision,recall
python,unixcoder,0,1,ast,6,7,0.35000947850160585,0.45802801978020724,0.2927544456388082
python,unixcoder,0,1,dfg,5,6,0.22113221604670977,0.14857709658751278,0.5165354728269089
python,unixcoder,1,2,ast,2,3,0.3247349388035136,0.3817098479025536,0.29275366972581085
python,unixcoder,1,2,dfg,10,11,0.18583541825684124,0.11534565061658403,0.5433484872347714
python,unixcoder,2,3,ast,6,7,0.3191549986275182,0.3314254436337369,0.3225273452699382
python,unixcoder,2,3,dfg,2,3,0.14164040967483696,0.08277051967835686,0.5639357777784487
python,unixcoder,3,4,ast,11,12,0.3381686716972774,0.5212152657552693,0.2575453836482165
python,unixcoder,3,4,dfg,9,10,0.14135824376102393,0.13653106358419875,0.18911771006869707
python,unixcoder,4,5,ast,9,10,0.3119041106587635,0.4631623294326873,0.24076877863412127
python,unixcoder,4,5,dfg,1,2,0.15294421105641365,0.09190464803943056,0.5230014191560539
python,unixcoder,5,6,ast,0,1,0.33811613270232693,0.4992040042140166,0.2622702304537664
python,unixcoder,5,6,dfg,10,11,0.179772977142828,0.11759759062409629,0.4496818026643294
python,unixcoder,6,7,ast,11,12,0.348939937990322,0.46264848737342973,0.2887263948400842
python,unixcoder,6,7,dfg,0,1,0.11401812768693878,0.06849281945619563,0.4230738024211785
python,unixcoder,7,8,ast,10,11,0.31527254610571964,0.578994139157308,0.22232985808448694
python,unixcoder,7,8,dfg,8,9,0.05253813650515561,0.033148540385680735,0.13971388994394274
python,unixcoder,8,9,ast,5,6,0.17856487811208213,0.4942011584359024,0.11389365394835314
python,unixcoder,8,9,dfg,6,7,0.02801354589915687,0.0175975235890802,0.08816489296848035
python,unixcoder,9,10,ast,10,11,0.13244062377801777,0.21638977581259894,0.109229286204417
python,unixcoder,9,10,dfg,5,6,0.11839208213841844,0.11165784615727728,0.21270708588629422
python,unixcoder,10,11,ast,8,9,0.09703249514747607,0.28417026494662945,0.07079369206985296
python,unixcoder,10,11,dfg,9,10,0.09349686826936973,0.11516928228312048,0.12566215367525807
python,unixcoder,11,12,ast,11,12,0.08415803547782075,0.3180259736115012,0.0705876218290834
python,unixcoder,11,12,dfg,2,3,0.08706586380818192,0.07200309463768839,0.28588114977698664
