x,y,role,token
-1088.530029296875,1424.3917236328125,declaration,func
-855.8413696289062,1193.2379150390625,identifier,Open
-770.4586181640625,2009.8470458984375,delimiter,(
-340.2545471191406,2396.860107421875,identifier,url
-340.2545471191406,2396.860107421875,identifier,string
-873.8392944335938,2392.24267578125,delimiter,","
-1292.740966796875,2671.15185546875,identifier,c
-1122.3636474609375,3133.1552734375,other,*
-1485.9697265625,3096.35498046875,identifier,Config
-1148.9625244140625,2124.936767578125,delimiter,)
-1547.6431884765625,982.3074340820312,delimiter,(
-2571.50830078125,1405.476318359375,identifier,io
-2665.095703125,1012.7235107421875,delimiter,.
-2942.337646484375,1287.7047119140625,identifier,ReadCloser
-1944.5589599609375,999.0902099609375,delimiter,","
-1775.419677734375,567.9852905273438,identifier,error
-1747.3883056640625,1315.54833984375,delimiter,)
1339.1544189453125,-865.5889282226562,delimiter,{
-645.749755859375,-1532.8798828125,control_flow,if
-179.8273162841797,-2160.801025390625,identifier,c
-530.6610107421875,-2043.540283203125,logical_comparison,==
-220.05934143066406,-1786.5703125,literal,nil
-1210.111328125,-1455.8673095703125,delimiter,{
-1875.1429443359375,-1965.25830078125,identifier,c
-1646.862060546875,-1635.65234375,assignment_operator,=
-1987.1041259765625,-1442.062255859375,identifier,DefaultConfig
-1207.1673583984375,-1796.9771728515625,delimiter,}
258.9297790527344,-500.7580261230469,identifier,r
506.1512145996094,-188.9666748046875,delimiter,","
133.2175750732422,-147.0086669921875,identifier,_
731.9776000976562,-636.8558349609375,assignment_operator,:=
-7471.5888671875,197.22311401367188,identifier,http
-7246.33642578125,514.18017578125,delimiter,.
-7629.37841796875,582.7369995117188,identifier,NewRequest
-8329.4443359375,529.0449829101562,delimiter,(
-9062.064453125,4.824134349822998,other,""""
-8897.458984375,-389.3747863769531,other,""""
-8017.80419921875,-223.6578369140625,delimiter,","
-8153.62353515625,161.12384033203125,identifier,url
-8519.8056640625,-10.992290496826172,delimiter,","
-8394.68359375,-407.4057922363281,literal,nil
-8710.341796875,356.1764221191406,delimiter,)
138.1492462158203,6900.36669921875,identifier,r
-289.85772705078125,6765.73583984375,delimiter,.
19.07308006286621,6534.63671875,identifier,Header
-16.008705139160156,7317.84326171875,delimiter,.
-364.1015319824219,7203.20751953125,identifier,Set
-607.7457885742188,8511.1279296875,delimiter,(
-888.7431030273438,7990.39501953125,other,""""
-1043.4095458984375,8321.27734375,other,""""
-443.2287902832031,8146.99658203125,delimiter,","
1556.5438232421875,10361.0859375,identifier,time
1829.23046875,10065.2978515625,delimiter,.
1944.4658203125,10479.041015625,identifier,Now
1183.1650390625,10724.5244140625,delimiter,(
1548.140869140625,10856.947265625,delimiter,)
991.688232421875,10209.611328125,delimiter,.
1227.3260498046875,9945.017578125,identifier,UTC
855.0094604492188,9489.603515625,delimiter,(
642.9075317382812,9768.9677734375,delimiter,)
101.91218566894531,9530.1162109375,delimiter,.
231.23553466796875,9234.6240234375,identifier,Format
-838.0119018554688,9245.337890625,delimiter,(
-1239.7237548828125,9458.998046875,identifier,http
-1371.2093505859375,9832.2275390625,delimiter,.
-975.4530639648438,9832.8193359375,identifier,TimeFormat
-621.4130249023438,9547.5830078125,delimiter,)
-235.4351348876953,8458.353515625,delimiter,)
-2627.79638671875,-8290.607421875,identifier,c
-2308.669921875,-8513.5927734375,delimiter,.
-2308.669921875,-8513.5927734375,identifier,Sign
-3020.7900390625,-8975.822265625,delimiter,(
-2635.04931640625,-9194.0390625,identifier,r
-2960.512939453125,-9422.625,delimiter,","
-3480.7587890625,-9201.228515625,other,*
-3442.298095703125,-9703.0087890625,identifier,c
-3809.020263671875,-9853.384765625,delimiter,.
-3858.4658203125,-9443.2998046875,identifier,Keys
-3020.7900390625,-8975.822265625,delimiter,)
2114.545166015625,-769.3825073242188,identifier,client
1879.9864501953125,-1038.8406982421875,assignment_operator,:=
2887.50439453125,-1270.3289794921875,identifier,c
2887.50439453125,-1270.3289794921875,delimiter,.
2887.50439453125,-1270.3289794921875,identifier,Client
4427.3447265625,-129.71751403808594,control_flow,if
4296.259765625,389.2866516113281,identifier,client
3939.832763671875,498.9341125488281,logical_comparison,==
3992.663330078125,124.53129577636719,literal,nil
4995.556640625,-225.6866455078125,delimiter,{
5594.80224609375,-379.3502502441406,identifier,client
5468.8408203125,-5.120008945465088,assignment_operator,=
6105.1025390625,52.43367004394531,identifier,http
6284.69775390625,393.7666320800781,delimiter,.
5898.7861328125,406.67236328125,identifier,DefaultClient
5002.71142578125,110.11165618896484,delimiter,}
1585.5850830078125,634.6184692382812,identifier,resp
1856.53466796875,895.1937255859375,delimiter,","
1973.3529052734375,536.5203857421875,identifier,err
1660.3995361328125,137.64389038085938,assignment_operator,:=
3212.8701171875,3088.321044921875,identifier,client
3049.888916015625,2746.02783203125,delimiter,.
2834.043701171875,3101.45947265625,identifier,Do
2237.19921875,2492.977783203125,delimiter,(
2398.267578125,2836.284912109375,identifier,r
2615.522216796875,2482.130859375,delimiter,)
-346.10186767578125,-4037.16845703125,control_flow,if
164.74745178222656,-4076.492919921875,identifier,err
13.733036994934082,-4447.75146484375,logical_comparison,!=
382.1187438964844,-4388.5625,literal,nil
-807.939208984375,-4419.65869140625,delimiter,{
-1106.497314453125,-4841.57763671875,return_exception,return
-1518.804443359375,-4604.76953125,literal,nil
-1499.3233642578125,-5058.44775390625,delimiter,","
-1825.06201171875,-4839.64208984375,identifier,err
-807.939208984375,-4419.65869140625,delimiter,}
3890.81201171875,-4411.83349609375,control_flow,if
4499.73486328125,-3565.418701171875,identifier,resp
4880.78271484375,-3492.8466796875,delimiter,.
4809.68798828125,-3874.202880859375,identifier,StatusCode
4167.94873046875,-3912.964111328125,logical_comparison,!=
4428.42919921875,-4161.109375,other,200
3993.352783203125,-5003.31982421875,delimiter,{
4091.328857421875,-5505.99609375,return_exception,return
3965.18115234375,-5969.11181640625,literal,nil
4354.1884765625,-5906.97998046875,delimiter,","
4152.25048828125,-6375.1142578125,identifier,newRespError
4624.69482421875,-6370.10009765625,delimiter,(
4722.6611328125,-6750.21044921875,identifier,resp
4315.91943359375,-6768.708984375,delimiter,)
3993.352783203125,-5003.31982421875,delimiter,}
1391.665771484375,-1858.61474609375,return_exception,return
1470.9150390625,-2864.552001953125,identifier,resp
1890.25341796875,-2737.244140625,delimiter,.
1773.18212890625,-3106.80712890625,identifier,Body
1344.260009765625,-2414.997802734375,delimiter,","
1694.2298583984375,-2316.979248046875,literal,nil
1262.464111328125,-1167.0989990234375,delimiter,}
