x,y,role,token
-75.7714614868164,-141.91273498535156,func,func
60.61742401123047,-44.49883270263672,identifier,New
-95.28778839111328,-82.81964111328125,(,(
128.89170837402344,-39.47247314453125,identifier,opts
71.0491943359375,-43.467567443847656,identifier,Options
-172.81173706054688,16.783859252929688,),)
-99.59424591064453,-62.33085632324219,(,(
86.36774444580078,-53.802127838134766,identifier,genny
9.913475036621094,100.6484603881836,.,.
70.861572265625,-40.335205078125,identifier,Generator
-95.77706909179688,-13.090412139892578,",",","
41.00283432006836,-109.84385681152344,identifier,error
-157.11019897460938,28.40880012512207,),)
-167.94210815429688,-39.34331130981445,{,{
128.6788330078125,-18.911182403564453,identifier,g
5.2320685386657715,-171.9208984375,:=,:=
86.95374298095703,-52.872493743896484,identifier,genny
32.927947998046875,87.74378967285156,.,.
50.56602096557617,-27.09795570373535,identifier,New
-53.54256820678711,-69.40776824951172,(,(
-157.3018341064453,84.85832214355469,),)
-41.34796142578125,91.67068481445312,if,if
110.99312591552734,73.54463958740234,identifier,err
-4.99193811416626,-162.05410766601562,:=,:=
131.14990234375,-39.022239685058594,identifier,opts
35.55868148803711,88.84725189208984,.,.
57.86750411987305,-34.709651947021484,identifier,Validate
-54.92951202392578,-70.78718566894531,(,(
-147.50904846191406,53.628082275390625,),)
128.3699951171875,77.97576141357422,identifier,err
-5.903562068939209,42.973175048828125,!=,!=
-156.6258544921875,-72.17024230957031,{,{
-19.6455135345459,173.2025146484375,return,return
143.62322998046875,-8.75057315826416,identifier,g
-108.74403381347656,6.201225280761719,",",","
127.33931732177734,65.938232421875,identifier,err
-98.64431762695312,94.89592742919922,},}
144.98695373535156,-8.137903213500977,identifier,g
39.2043342590332,86.37661743164062,.,.
71.2100601196289,-29.3920841217041,identifier,Box
-39.330078125,-57.20231628417969,(,(
85.72193908691406,-58.919193267822266,identifier,packr
28.634578704833984,80.5324478149414,.,.
49.974609375,-25.902816772460938,identifier,New
-29.86604881286621,-43.48436737060547,(,(
35.200355529785156,219.18402099609375,"""",""""
58.47950744628906,200.50433349609375,"""",""""
-58.41666030883789,0.9301792979240417,",",","
37.224002838134766,220.8956298828125,"""",""""
52.897911071777344,202.74258422851562,"""",""""
-138.55677795410156,55.5139274597168,),)
-157.08465576171875,79.947998046875,),)
141.65618896484375,-44.0647087097168,identifier,ctx
-3.220353126525879,-173.0894317626953,:=,:=
93.36833953857422,-54.40348815917969,identifier,plush
32.15160369873047,81.49409484863281,.,.
53.570621490478516,-25.38629722595215,identifier,NewContext
-50.272098541259766,-71.49182891845703,(,(
-161.6904296875,84.96410369873047,),)
141.76144409179688,-44.093299865722656,identifier,ctx
40.935665130615234,82.70283508300781,.,.
57.555789947509766,-8.938132286071777,identifier,Set
-44.156795501708984,-64.00994873046875,(,(
36.123287200927734,217.0769805908203,"""",""""
59.59716033935547,199.0141143798828,"""",""""
-49.48265838623047,10.221190452575684,",",","
131.17855834960938,-40.07359313964844,identifier,opts
43.940589904785156,104.97000885009766,.,.
85.49629211425781,1.680967926979065,identifier,App
-161.38954162597656,77.34071350097656,),)
145.45425415039062,-7.575284481048584,identifier,g
41.61699295043945,80.60987854003906,.,.
64.68977355957031,-7.410511016845703,identifier,Transformer
-34.19289016723633,-63.650535583496094,(,(
88.5841293334961,-55.34165573120117,identifier,plushgen
36.03424835205078,77.80398559570312,.,.
64.69005584716797,-7.393869400024414,identifier,Transformer
-31.39585304260254,-72.11246490478516,(,(
143.16708374023438,-46.67506790161133,identifier,ctx
-134.91600036621094,57.296119689941406,),)
-162.22213745117188,76.05189514160156,),)
145.7577362060547,-7.5546674728393555,identifier,g
41.3477897644043,79.72651672363281,.,.
64.67459869384766,-7.25606632232666,identifier,Transformer
-33.36319351196289,-64.0499038696289,(,(
87.65677642822266,-53.29234313964844,identifier,genny
46.11117172241211,82.69731140136719,.,.
74.42179870605469,-13.916814804077148,identifier,Dot
-50.1252555847168,-76.33403778076172,(,(
-129.49179077148438,53.946685791015625,),)
-161.1865234375,70.23761749267578,),)
-24.021074295043945,155.35665893554688,return,return
113.23534393310547,10.103229522705078,identifier,g
-101.48125457763672,10.426719665527344,",",","
-102.95618438720703,135.16517639160156,},}
-72.50028991699219,-132.02008056640625,func,func
69.73534393310547,-149.43653869628906,(,(
149.28932189941406,-33.297386169433594,identifier,jb
64.7432861328125,-47.541439056396484,identifier,Build
-73.10101318359375,-172.65682983398438,),)
63.75912857055664,-37.83225631713867,identifier,BuildID
-83.90803527832031,-85.93964385986328,(,(
-166.9161376953125,20.03407859802246,),)
36.437530517578125,-82.03848266601562,identifier,string
-162.97406005859375,-36.18629455566406,{,{
122.10759735107422,-25.31714630126953,identifier,buildID
38.79322052001953,-82.24871063232422,identifier,string
123.37787628173828,-21.12555694580078,identifier,hasProwJobID
6.252810001373291,-175.5872344970703,:=,:=
-40.53437805175781,78.8555908203125,for,for
21.61448860168457,26.513113021850586,identifier,_
-26.44917869567871,-0.6116437911987305,",",","
132.27310180664062,-19.84524154663086,identifier,action
-15.566948890686035,-177.51333618164062,:=,:=
149.0564727783203,-18.33934783935547,identifier,jb
42.85408020019531,95.89559173583984,.,.
70.4499740600586,-34.38958740234375,identifier,Actions
-157.1611785888672,-55.76945877075195,{,{
-42.50358581542969,77.93077087402344,for,for
22.589475631713867,26.16969108581543,identifier,_
-26.001619338989258,-0.589382529258728,",",","
129.575927734375,-15.884654998779297,identifier,p
-14.04660415649414,-177.62730407714844,:=,:=
113.10372924804688,-24.671688079833984,identifier,action
42.81635284423828,96.1413345336914,.,.
