x,y,role,token
36.10627746582031,-15.370251655578613,other,public
36.69337463378906,-14.97421932220459,other,static
43.1724967956543,17.261722564697266,other,byte
49.75302505493164,18.976280212402344,delimiter,[
48.66488265991211,16.54334831237793,delimiter,]
12.312530517578125,5.525768280029297,identifier,encrypt
31.521297454833984,-13.319605827331543,delimiter,(
43.56123733520508,18.63363265991211,other,byte
51.13505935668945,19.73151206970215,delimiter,[
48.836246490478516,14.985960960388184,delimiter,]
16.036840438842773,10.254133224487305,identifier,keyParam
30.120134353637695,-13.401917457580566,delimiter,","
42.478912353515625,19.068763732910156,other,byte
52.02529525756836,18.878246307373047,delimiter,[
49.9409065246582,14.82461929321289,delimiter,]
15.406634330749512,8.405362129211426,identifier,dataToEncryptParam
29.478885650634766,-13.756492614746094,delimiter,","
42.00837326049805,18.16550064086914,other,byte
51.32818603515625,18.155038833618164,delimiter,[
50.32711410522461,15.74882698059082,delimiter,]
14.779934883117676,9.874717712402344,identifier,ivParam
28.891263961791992,-16.630046844482422,delimiter,)
29.338064193725586,-17.44756317138672,delimiter,{
12.685822486877441,-4.185973167419434,control_flow,if
13.319851875305176,-4.037975311279297,delimiter,(
15.350232124328613,7.00106954574585,identifier,dataToEncryptParam
11.77973747253418,-1.0601751804351807,logical_comparison,==
11.409086227416992,0.09405946731567383,literal,null
7.297461986541748,-25.25153160095215,delimiter,)
6.514194965362549,-26.035417556762695,delimiter,{
-14.30986499786377,-22.845733642578125,return_exception,throw
-16.63001251220703,-15.121973037719727,declaration,new
-17.643938064575195,1.629188895225525,identifier,FluidClientException
-3.0501885414123535,-8.895652770996094,delimiter,(
10.444818496704102,3.6916282176971436,other,"""No data to encrypt provided. """
-3.7917985916137695,20.840938568115234,delimiter,","
-18.74352264404297,3.251863479614258,identifier,FluidClientException
-1.6590052843093872,44.11737060546875,delimiter,.
-10.58388900756836,39.72211837768555,identifier,ErrorCode
0.3451189696788788,42.66456985473633,delimiter,.
7.441497802734375,29.42990493774414,identifier,AES_256
18.209861755371094,-15.579113006591797,delimiter,)
30.886505126953125,-27.765939712524414,delimiter,;
27.005203247070312,-30.81000328063965,delimiter,}
22.02337074279785,14.3954496383667,identifier,Key
20.720596313476562,14.623495101928711,identifier,key
21.473400115966797,-5.843540191650391,assignment_operator,=
5.916123867034912,-7.830877780914307,declaration,new
21.11131477355957,10.347726821899414,identifier,SecretKeySpec
32.48843002319336,-4.131093502044678,delimiter,(
17.554046630859375,11.279380798339844,identifier,keyParam
25.763994216918945,-7.29538631439209,delimiter,","
23.80685043334961,8.0864896774292,identifier,KEY_ALGO
20.106637954711914,-15.130245208740234,delimiter,)
31.424985885620117,-26.407215118408203,delimiter,;
34.20406723022461,-21.735666275024414,return_exception,try
33.104488372802734,-22.7226505279541,delimiter,{
23.645912170410156,16.459192276000977,identifier,Cipher
21.530099868774414,17.28704261779785,identifier,cipher
22.08907127380371,-5.656325340270996,assignment_operator,=
24.509113311767578,17.538036346435547,identifier,Cipher
28.03139305114746,1.177734613418579,delimiter,.
27.879684448242188,2.295130968093872,identifier,getInstance
30.911117553710938,-3.7914509773254395,delimiter,(
23.75063133239746,7.213879585266113,identifier,ALGO_CBC
21.104196548461914,-15.05317497253418,delimiter,)
31.396583557128906,-24.574535369873047,delimiter,;
21.557790756225586,19.018646240234375,identifier,cipher
25.86608123779297,-0.33356183767318726,delimiter,.
25.264429092407227,2.1130757331848145,identifier,init
30.215829849243164,-4.548257350921631,delimiter,(
24.767030715942383,18.464561462402344,identifier,Cipher
28.58588981628418,-1.3306474685668945,delimiter,.
22.933393478393555,6.390032768249512,identifier,ENCRYPT_MODE
26.986083984375,-8.050119400024414,delimiter,","
18.422597885131836,14.050191879272461,identifier,key
27.606792449951172,-8.55904769897461,delimiter,","
5.228347301483154,-7.6165690422058105,declaration,new
20.337100982666016,9.534996032714844,identifier,IvParameterSpec
32.74039840698242,-5.550076484680176,delimiter,(
18.331073760986328,8.817461967468262,identifier,ivParam
22.79533576965332,-16.57938575744629,delimiter,)
20.35919761657715,-17.208852767944336,delimiter,)
30.271100997924805,-25.04332733154297,delimiter,;
28.435894012451172,-23.51705551147461,return_exception,return
21.336837768554688,19.822429656982422,identifier,cipher
25.073307037353516,-0.7806583046913147,delimiter,.
23.04193878173828,-0.0632193386554718,identifier,doFinal
31.165719985961914,-5.993988990783691,delimiter,(
17.1065731048584,7.426182746887207,identifier,dataToEncryptParam
21.589746475219727,-17.2613582611084,delimiter,)
33.504268646240234,-28.537322998046875,delimiter,;
22.34115982055664,-42.3900032043457,delimiter,}
14.52899169921875,-47.607086181640625,return_exception,catch
5.629700183868408,-47.30149459838867,delimiter,(
3.496518611907959,10.357793807983398,identifier,InvalidKeyException
-64.79946899414062,-26.044702529907227,identifier,except
7.269142150878906,-21.928306579589844,delimiter,)
1.695064902305603,-25.69649887084961,delimiter,{
-14.623530387878418,-24.165719985961914,return_exception,throw
-17.767093658447266,-14.214150428771973,declaration,new
-16.15530014038086,2.140718936920166,identifier,FluidClientException
-3.6288206577301025,-10.232117652893066,delimiter,(
7.8395795822143555,4.089972496032715,other,"""Key: Unable to encrypt data. """
-35.80126190185547,2.010441541671753,other,+
-70.6134262084961,-24.693435668945312,identifier,except
-34.98067855834961,24.12957000732422,delimiter,.
-28.624643325805664,26.576892852783203,identifier,getMessage
-40.777687072753906,33.89850616455078,delimiter,(
-34.36613082885742,40.832122802734375,delimiter,)
-12.046506881713867,23.79582977294922,delimiter,","
-72.47291564941406,-23.146923065185547,identifier,except
-10.460679054260254,20.063982009887695,delimiter,","
-17.958728790283203,4.900686740875244,identifier,FluidClientException
-0.4890994131565094,45.956748962402344,delimiter,.
-12.025903701782227,38.57942581176758,identifier,ErrorCode
1.9716373682022095,44.68126678466797,delimiter,.
8.830011367797852,30.96319007873535,identifier,AES_256
17.566240310668945,-18.367523193359375,delimiter,)
32.56947708129883,-29.74141502380371,delimiter,;
