x,y,role,token
13.957168579101562,-12.067790985107422,declaration,function
12.84736442565918,-10.479093551635742,delimiter,(
-10.244806289672852,-48.67109680175781,identifier,element
14.393250465393066,-9.316838264465332,delimiter,)
15.770623207092285,-8.92700481414795,delimiter,{
9.974411964416504,-45.330322265625,declaration,var
-0.48801353573799133,-73.8685531616211,identifier,cache
-33.314903259277344,-2.554957151412964,assignment_operator,=
-41.106483459472656,-16.57215118408203,other,this
-35.99717712402344,-13.904712677001953,delimiter,.
0.4572393000125885,-74.58625030517578,identifier,cache
10.005415916442871,-47.581565856933594,delimiter,","
5.78098726272583,-52.470706939697266,identifier,instance
8.714058876037598,-47.13206481933594,delimiter,","
4.64249849319458,-51.69136047363281,identifier,dom
8.344298362731934,-48.289833068847656,delimiter,","
5.599000453948975,-50.62395095825195,identifier,id
32.25080871582031,33.58626937866211,delimiter,;
-13.450507164001465,30.554296493530273,control_flow,if
-10.430462837219238,30.72103500366211,delimiter,(
-0.1616428941488266,24.870710372924805,logical_comparison,!
-11.829469680786133,-49.006797790527344,identifier,element
20.252981185913086,-1.162667155265808,delimiter,)
26.017919540405273,-0.00021632439165841788,delimiter,{
49.357147216796875,13.048371315002441,return_exception,return
47.758975982666016,0.12229406833648682,literal,null
35.83551025390625,41.242549896240234,delimiter,;
6.967559814453125,61.70753479003906,delimiter,}
-14.635641098022461,29.76837730407715,control_flow,if
-9.84852409362793,29.06125259399414,delimiter,(
-6.979020118713379,1.1804488897323608,other,typeof
-12.113452911376953,-50.25218963623047,identifier,element
-10.102150917053223,1.2863872051239014,logical_comparison,==
-9.21342658996582,0.15459929406642914,other,'string'
20.758724212646484,0.8469228148460388,delimiter,)
26.33051872253418,3.1040663719177246,delimiter,{
-9.939677238464355,-58.71144104003906,identifier,dom
-34.120262145996094,-0.6545374393463135,assignment_operator,=
-8.734811782836914,-56.563236236572266,identifier,document
-20.29395294189453,-4.5584282875061035,delimiter,.
-21.15873908996582,-3.113762140274048,identifier,getElementById
-19.483142852783203,2.5770156383514404,delimiter,(
-14.97529125213623,-50.149696350097656,identifier,element
8.944513320922852,-2.1496269702911377,delimiter,)
32.2860221862793,35.82474899291992,delimiter,;
-15.808489799499512,31.336959838867188,control_flow,if
-8.29849624633789,28.948631286621094,delimiter,(
-3.4628190994262695,-76.20899963378906,identifier,cache
-18.993896484375,-5.783543586730957,delimiter,.
-14.975236892700195,-2.322342872619629,identifier,hasOwnProperty
-18.32157325744629,3.265077590942383,delimiter,(
-14.435074806213379,-51.607582092285156,identifier,element
7.367660999298096,-2.517120361328125,delimiter,)
19.23657989501953,0.936181902885437,delimiter,)
28.13883399963379,1.522694706916809,delimiter,{
-31.795642852783203,-67.11373901367188,identifier,instance
-34.53915023803711,0.8863186836242676,assignment_operator,=
-1.719634771347046,-76.8870849609375,identifier,cache
-24.543203353881836,6.9020586013793945,delimiter,[
-16.4676570892334,-51.50080490112305,identifier,element
0.1288953274488449,8.303977012634277,delimiter,]
34.03778839111328,36.72040557861328,delimiter,;
8.365966796875,62.69281005859375,delimiter,}
-15.906136512756348,33.151695251464844,control_flow,if
-6.488997936248779,31.67144203186035,delimiter,(
-11.34825325012207,-63.162132263183594,identifier,dom
17.3033447265625,-0.4815962016582489,delimiter,)
29.356327056884766,-0.663533627986908,delimiter,{
-15.204293251037598,34.256324768066406,control_flow,if
-6.700842380523682,32.78951644897461,delimiter,(
-26.20562744140625,-65.26075744628906,identifier,instance
16.607332229614258,0.4923768639564514,delimiter,)
29.710002899169922,0.9966015219688416,delimiter,{
-29.123323440551758,-67.7999038696289,identifier,instance
-30.99064826965332,-11.225327491760254,delimiter,.
-12.588919639587402,-61.35942840576172,identifier,dom
-38.30528259277344,4.387311935424805,assignment_operator,=
-13.04202651977539,-62.89091491699219,identifier,dom
36.210479736328125,36.735530853271484,delimiter,;
10.224214553833008,64.94046020507812,delimiter,}
14.947093963623047,68.90843200683594,control_flow,else
31.774351119995117,1.808804988861084,delimiter,{
-30.54987335205078,-66.32373046875,identifier,instance
-34.9327278137207,2.4335947036743164,assignment_operator,=
-0.7913816571235657,-77.85681915283203,identifier,cache
-24.6339054107666,8.306429862976074,delimiter,[
-17.691709518432617,-51.82417678833008,identifier,element
-0.2916468679904938,9.889747619628906,delimiter,]
