result_id,analysis,language,model,task,layers,cohort_programs,status,provenance,primary_output,validation,production_script,paper_comparability,caveats
attention-python-codebert,attention_overlap,python,codebert,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/attention_final_3000/python/section_3_2_summary.json,analysis_results/attention_final_3000/python/python_final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-python-graphcodebert,attention_overlap,python,graphcodebert,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/python/graphcodebert/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/python/graphcodebert/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-python-unixcoder,attention_overlap,python,unixcoder,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/python/unixcoder/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/python/unixcoder/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-python-plbart,attention_overlap,python,plbart,AST+DFG,0-5,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/python/plbart/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/python/plbart/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,PLBART Python reference discrepancy
attention-python-codet5,attention_overlap,python,codet5,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/python/codet5/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/python/codet5/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-python-codet5p_220,attention_overlap,python,codet5p_220,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/python/codet5p_220/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/python/codet5p_220/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-java-codebert,attention_overlap,java,codebert,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/attention_final_3000/java/section_3_2_summary.json,,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-java-graphcodebert,attention_overlap,java,graphcodebert,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/java/graphcodebert/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/java/graphcodebert/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-java-unixcoder,attention_overlap,java,unixcoder,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/java/unixcoder/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/java/unixcoder/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-java-plbart,attention_overlap,java,plbart,AST+DFG,0-5,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/java/plbart/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/java/plbart/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,PLBART Python reference discrepancy
attention-java-codet5,attention_overlap,java,codet5,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/java/codet5/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/java/codet5/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-java-codet5p_220,attention_overlap,java,codet5p_220,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/java/codet5p_220/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/java/codet5p_220/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-javascript-codebert,attention_overlap,javascript,codebert,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/attention_final_3000/javascript/section_3_2_summary.json,,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-javascript-graphcodebert,attention_overlap,javascript,graphcodebert,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/javascript/graphcodebert/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/javascript/graphcodebert/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-javascript-unixcoder,attention_overlap,javascript,unixcoder,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/javascript/unixcoder/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/javascript/unixcoder/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-javascript-plbart,attention_overlap,javascript,plbart,AST+DFG,0-5,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/javascript/plbart/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/javascript/plbart/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,PLBART Python reference discrepancy
attention-javascript-codet5,attention_overlap,javascript,codet5,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/javascript/codet5/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/javascript/codet5/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-javascript-codet5p_220,attention_overlap,javascript,codet5p_220,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/javascript/codet5p_220/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/javascript/codet5p_220/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-go-codebert,attention_overlap,go,codebert,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/attention_final_3000/go/section_3_2_summary.json,,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-go-graphcodebert,attention_overlap,go,graphcodebert,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/go/graphcodebert/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/go/graphcodebert/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-go-unixcoder,attention_overlap,go,unixcoder,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/go/unixcoder/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/go/unixcoder/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-go-plbart,attention_overlap,go,plbart,AST+DFG,0-5,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/go/plbart/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/go/plbart/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,PLBART Python reference discrepancy
attention-go-codet5,attention_overlap,go,codet5,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/go/codet5/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/go/codet5/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
attention-go-codet5p_220,attention_overlap,go,codet5p_220,AST+DFG,0-11,3000,complete,final-3000 recomputation,analysis_results/final_3000_multimodel/go/codet5p_220/attention/section_3_2_summary.json,analysis_results/final_3000_multimodel/go/codet5p_220/final_validation.json,attention/run_staged_model_analysis.py,same threshold/head-selection protocol,language-specific AST/DFG extraction
paper-reference-attention-python-codebert,attention_overlap_reference,python,codebert,AST+DFG,0-11,3000,complete,original paper repository,attention/graph_comparision,,attention/graph_comp.py; attention/dfg_comp.py,paper source,aggregate output; legacy files omit coverage metadata
paper-reference-attention-python-graphcodebert,attention_overlap_reference,python,graphcodebert,AST+DFG,0-11,3000,complete,original paper repository,attention/graph_comparision,,attention/graph_comp.py; attention/dfg_comp.py,paper source,aggregate output; legacy files omit coverage metadata
paper-reference-attention-python-unixcoder,attention_overlap_reference,python,unixcoder,AST+DFG,0-11,3000,complete,original paper repository,attention/graph_comparision,,attention/graph_comp.py; attention/dfg_comp.py,paper source,aggregate output; legacy files omit coverage metadata
paper-reference-attention-python-plbart,attention_overlap_reference,python,plbart,AST+DFG,0-5,3000,complete,original paper repository,attention/graph_comparision,,attention/graph_comp.py; attention/dfg_comp.py,paper source,aggregate output; legacy files omit coverage metadata
paper-reference-attention-python-codet5,attention_overlap_reference,python,codet5,AST+DFG,0-11,3000,complete,original paper repository,attention/graph_comparision,,attention/graph_comp.py; attention/dfg_comp.py,paper source,aggregate output; legacy files omit coverage metadata
paper-reference-attention-python-codet5p_220,attention_overlap_reference,python,codet5p_220,AST+DFG,0-11,3000,complete,original paper repository,attention/graph_comparision,,attention/graph_comp.py; attention/dfg_comp.py,paper source,aggregate output; legacy files omit coverage metadata
ged-python-codebert,graph_edit_distance,python,codebert,AST+AST-no-identifiers+DFG,0-11,3000,complete,original paper repository,attention/graph_comparision/similarity/exp_0/codebert,,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy Python output; NetworkX/runtime provenance not recorded
ged-python-graphcodebert,graph_edit_distance,python,graphcodebert,AST+AST-no-identifiers+DFG,0-11,3000,complete,original paper repository,attention/graph_comparision/similarity/exp_0/graphcodebert,,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy Python output; NetworkX/runtime provenance not recorded
ged-python-codet5,graph_edit_distance,python,codet5,AST+AST-no-identifiers+DFG,0-11,3000,complete,original paper repository,attention/graph_comparision/similarity/exp_0/codet5,,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy Python output; NetworkX/runtime provenance not recorded
ged-java-codebert,graph_edit_distance,java,codebert,AST+AST-no-identifiers+DFG,0-11,3000,complete,multilingual final-3000 run,analysis_results/attention_final_3000/java/similarity_legacy/codebert,analysis_results/ged_final_3000/validation/java/codebert/ged_validation.json,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy GED mode; library version differs from stored Python reference
ged-java-graphcodebert,graph_edit_distance,java,graphcodebert,AST+AST-no-identifiers+DFG,0-11,3000,complete,multilingual final-3000 run,analysis_results/final_3000_multimodel/java/graphcodebert/attention/similarity_legacy/graphcodebert,analysis_results/ged_final_3000/validation/java/graphcodebert/ged_validation.json,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy GED mode; library version differs from stored Python reference
ged-java-codet5,graph_edit_distance,java,codet5,AST+AST-no-identifiers+DFG,0-11,3000,complete,multilingual final-3000 run,analysis_results/final_3000_multimodel/java/codet5/attention/similarity_legacy/codet5,analysis_results/ged_final_3000/validation/java/codet5/ged_validation.json,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy GED mode; library version differs from stored Python reference
ged-javascript-codebert,graph_edit_distance,javascript,codebert,AST+AST-no-identifiers+DFG,0-11,3000,complete,multilingual final-3000 run,analysis_results/attention_final_3000/javascript/similarity_legacy/codebert,analysis_results/ged_final_3000/validation/javascript/codebert/ged_validation.json,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy GED mode; library version differs from stored Python reference
ged-javascript-graphcodebert,graph_edit_distance,javascript,graphcodebert,AST+AST-no-identifiers+DFG,0-11,3000,complete,multilingual final-3000 run,analysis_results/final_3000_multimodel/javascript/graphcodebert/attention/similarity_legacy/graphcodebert,analysis_results/ged_final_3000/validation/javascript/graphcodebert/ged_validation.json,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy GED mode; library version differs from stored Python reference
ged-javascript-codet5,graph_edit_distance,javascript,codet5,AST+AST-no-identifiers+DFG,0-11,3000,complete,multilingual final-3000 run,analysis_results/final_3000_multimodel/javascript/codet5/attention/similarity_legacy/codet5,analysis_results/ged_final_3000/validation/javascript/codet5/ged_validation.json,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy GED mode; library version differs from stored Python reference
